id,Nome,ano_inaug,abbrev_state,lon_origem,lat_origem,hub_destino,lon_destino,lat_destino,tipo_instrumento
1,E.F. Recife a Limoeiro,1881,PE,953926.2150920017,9105986.279477693,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
3,Estrada de Ferro Paulo Afonso,1882,AL,636727.9048264641,8935807.95651253,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
4,E.F. Mossoró-Souza,1915,RN,707489.8982402459,9451555.889773108,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
5,E.F. Central do Rio Grande do Norte,1906,RN,920240.1588537778,9359625.908749545,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
6,E.F. São Luiz-Teresina,1895,MA,19469.364669921633,9461989.3620228,Nao_Identificado,NA,NA,NA
7,E.F. Central da Bahia,1876,BA,500376.8963146236,8618690.874169067,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
8,Ferrovia Teresina-Fortaleza,1932,CE,315124.0865142004,9427340.579911102,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
10,Linha Centro (Consolidada),1885,PE,955269.1520282777,9106280.107299827,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
11,E.F. Central de Alagoas,1884,AL,859800.7853596536,8929643.388613217,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
12,Ramal de Colégio,1911,AL,844734.7079880477,8951014.786921462,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
13,Linha Sul (CE - Consolidada),1873,CE,552170.8443271726,9588655.125664618,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
14,E.F. de Sobral,1882,CE,295545.3007512426,9679260.518072378,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
15,Linha Norte (CE - Consolidada),1940,CE,550179.3246572862,9589031.774112988,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
16,E.F. Conde d'Eu,1883,PB,960352.1438426025,9227022.220023818,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
17,Ramal de Campina Grande,1907,PB,904006.322506083,9187492.161261873,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
18,E.F. Natal a Nova Cruz,1881,RN,918436.8422025347,9358372.621314228,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
19,E.F. Central do Piauí,1920,PI,203516.07843045518,9681187.869713517,Epicentro_Seca_1877,-39.224536906392736,-5.2047046874298175,Seca_Clima
26,E.F. Bahia ao São Francisco,1860,BA,554273.2450961191,8568854.910793716,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
27,E.F. Ilhéus-Conquista,1911,BA,496388.55344196066,8363677.448217278,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
28,E.F. Leste Brasileiro (BA),1887,BA,562069.1494651404,8657472.945165943,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
29,Ramal de Jequié,1881,BA,489581.30882062315,8601814.076157069,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
30,Ramal de Nazaré,1875,BA,499426.72116173676,8559326.6151521,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
34,Estrada de Ferro Carajás (EFC),1985,MA,-95669.30139786704,9714816.491350718,Nao_Identificado,NA,NA,NA
42,E.F. Petrolina-Teresina,1932,PE,334422.50935143005,8961440.176926432,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
44,E.F. Sul de Pernambuco,1858,PE,954889.2360818796,9105798.684122123,Rio_SF_Cabrobo,-39.32933881935057,-8.386489597358796,Projeto_Imperial
69,E.F. de Santo Amaro (Recôncavo),1883,BA,530824.7141732611,8613094.339655882,Rio_SF_Juazeiro,-40.2729568602323,-9.544494938651999,Projeto_Imperial
