NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,,NA,2100055,Açailândia - MA,1974,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1974,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1974,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1975,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1975,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1975,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1976,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1976,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1976,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1977,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1977,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1977,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1978,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1978,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1978,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1979,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1979,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1979,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1980,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1980,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1980,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1981,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1981,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1981,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1982,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1982,Quantidade produzida,Total
6,Município,Mil Cruzeiros,NA,2100055,Açailândia - MA,1982,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1983,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1983,Quantidade produzida,Total
6,Município,Mil Cruzeiros,1040429,2100055,Açailândia - MA,1983,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1984,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1984,Quantidade produzida,Total
6,Município,Mil Cruzeiros,5859940,2100055,Açailândia - MA,1984,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1985,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1985,Quantidade produzida,Total
6,Município,Mil Cruzeiros,22196,2100055,Açailândia - MA,1985,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1986,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1986,Quantidade produzida,Total
6,Município,Mil Cruzados,53621,2100055,Açailândia - MA,1986,Valor da produção,Total
6,Município,,NA,2100055,Açailândia - MA,1987,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1987,Quantidade produzida,Total
6,Município,Mil Cruzados,101148,2100055,Açailândia - MA,1987,Valor da produção,Total
6,Município,Hectares,23639,2100055,Açailândia - MA,1988,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1988,Quantidade produzida,Total
6,Município,Mil Cruzados,1261049,2100055,Açailândia - MA,1988,Valor da produção,Total
6,Município,Hectares,23410,2100055,Açailândia - MA,1989,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1989,Quantidade produzida,Total
6,Município,Mil Cruzados Novos,32247,2100055,Açailândia - MA,1989,Valor da produção,Total
6,Município,Hectares,19089,2100055,Açailândia - MA,1990,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1990,Quantidade produzida,Total
6,Município,Mil Cruzeiros,190265,2100055,Açailândia - MA,1990,Valor da produção,Total
6,Município,Hectares,18950,2100055,Açailândia - MA,1991,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1991,Quantidade produzida,Total
6,Município,Mil Cruzeiros,3616845,2100055,Açailândia - MA,1991,Valor da produção,Total
6,Município,Hectares,18064,2100055,Açailândia - MA,1992,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1992,Quantidade produzida,Total
6,Município,Mil Cruzeiros,22470171,2100055,Açailândia - MA,1992,Valor da produção,Total
6,Município,Hectares,19686,2100055,Açailândia - MA,1993,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1993,Quantidade produzida,Total
6,Município,Mil Cruzeiros Reais,245528,2100055,Açailândia - MA,1993,Valor da produção,Total
6,Município,Hectares,14211,2100055,Açailândia - MA,1994,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1994,Quantidade produzida,Total
6,Município,Mil Reais,3480,2100055,Açailândia - MA,1994,Valor da produção,Total
6,Município,Hectares,14741,2100055,Açailândia - MA,1995,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1995,Quantidade produzida,Total
6,Município,Mil Reais,4626,2100055,Açailândia - MA,1995,Valor da produção,Total
6,Município,Hectares,15771,2100055,Açailândia - MA,1996,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1996,Quantidade produzida,Total
6,Município,Mil Reais,5365,2100055,Açailândia - MA,1996,Valor da produção,Total
6,Município,Hectares,4904,2100055,Açailândia - MA,1997,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1997,Quantidade produzida,Total
6,Município,Mil Reais,2089,2100055,Açailândia - MA,1997,Valor da produção,Total
6,Município,Hectares,4761,2100055,Açailândia - MA,1998,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1998,Quantidade produzida,Total
6,Município,Mil Reais,2196,2100055,Açailândia - MA,1998,Valor da produção,Total
6,Município,Hectares,3204,2100055,Açailândia - MA,1999,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,1999,Quantidade produzida,Total
6,Município,Mil Reais,2404,2100055,Açailândia - MA,1999,Valor da produção,Total
6,Município,Hectares,4650,2100055,Açailândia - MA,2000,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2000,Quantidade produzida,Total
6,Município,Mil Reais,4022,2100055,Açailândia - MA,2000,Valor da produção,Total
6,Município,Hectares,4033,2100055,Açailândia - MA,2001,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2001,Quantidade produzida,Total
6,Município,Mil Reais,5015,2100055,Açailândia - MA,2001,Valor da produção,Total
6,Município,Hectares,4221,2100055,Açailândia - MA,2002,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2002,Quantidade produzida,Total
6,Município,Mil Reais,4478,2100055,Açailândia - MA,2002,Valor da produção,Total
6,Município,Hectares,7366,2100055,Açailândia - MA,2003,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100055,Açailândia - MA,2003,Quantidade produzida,Total
6,Município,Mil Reais,9984,2100055,Açailândia - MA,2003,Valor da produção,Total
6,Município,Hectares,8517,2100055,Açailândia - MA,2004,Área plantada ou destinada à colheita,Total
