code_muni,ano,serie,value
2100055,1983,valor_producao_mil_reais,1040429
2100055,1984,valor_producao_mil_reais,5859940
2100055,1985,valor_producao_mil_reais,22196
2100055,1986,valor_producao_mil_reais,53621
2100055,1987,valor_producao_mil_reais,101148
2100055,1988,area_plantada_ha,23639
2100055,1988,valor_producao_mil_reais,1261049
2100055,1989,area_plantada_ha,23410
2100055,1989,valor_producao_mil_reais,32247
2100055,1990,area_plantada_ha,19089
2100055,1990,valor_producao_mil_reais,190265
2100055,1991,area_plantada_ha,18950
2100055,1991,valor_producao_mil_reais,3616845
2100055,1992,area_plantada_ha,18064
2100055,1992,valor_producao_mil_reais,22470171
2100055,1993,area_plantada_ha,19686
2100055,1993,valor_producao_mil_reais,245528
2100055,1994,area_plantada_ha,14211
2100055,1994,valor_producao_mil_reais,3480
2100055,1995,area_plantada_ha,14741
2100055,1995,valor_producao_mil_reais,4626
2100055,1996,area_plantada_ha,15771
2100055,1996,valor_producao_mil_reais,5365
2100055,1997,area_plantada_ha,4904
2100055,1997,valor_producao_mil_reais,2089
2100055,1998,area_plantada_ha,4761
2100055,1998,valor_producao_mil_reais,2196
2100055,1999,area_plantada_ha,3204
2100055,1999,valor_producao_mil_reais,2404
2100055,2000,area_plantada_ha,4650
2100055,2000,valor_producao_mil_reais,4022
2100055,2001,area_plantada_ha,4033
2100055,2001,valor_producao_mil_reais,5015
2100055,2002,area_plantada_ha,4221
2100055,2002,valor_producao_mil_reais,4478
2100055,2003,area_plantada_ha,7366
2100055,2003,valor_producao_mil_reais,9984
2100055,2004,area_plantada_ha,8517
2100055,2004,valor_producao_mil_reais,11650
2100055,2005,area_plantada_ha,8869
2100055,2005,valor_producao_mil_reais,9099
2100055,2006,area_plantada_ha,9757
2100055,2006,valor_producao_mil_reais,11268
2100055,2007,area_plantada_ha,10314
2100055,2007,valor_producao_mil_reais,15615
2100055,2008,area_plantada_ha,7330
2100055,2008,valor_producao_mil_reais,10530
2100055,2009,area_plantada_ha,6098
2100055,2009,valor_producao_mil_reais,5599
2100055,2010,area_plantada_ha,5833
2100055,2010,valor_producao_mil_reais,7793
2100055,2011,area_plantada_ha,5182
2100055,2011,valor_producao_mil_reais,6893
2100055,2012,area_plantada_ha,4676
2100055,2012,valor_producao_mil_reais,6570
2100055,2013,area_plantada_ha,8685
2100055,2013,valor_producao_mil_reais,21460
2100055,2014,area_plantada_ha,11133
2100055,2014,valor_producao_mil_reais,27530
2100055,2015,area_plantada_ha,15814
2100055,2015,valor_producao_mil_reais,45184
2100055,2016,area_plantada_ha,19527
2100055,2016,valor_producao_mil_reais,76023
2100055,2017,area_plantada_ha,27137
2100055,2017,valor_producao_mil_reais,89420
2100055,2018,area_plantada_ha,42246
2100055,2018,valor_producao_mil_reais,135848
2100055,2019,area_plantada_ha,55615
2100055,2019,valor_producao_mil_reais,225293
2100055,2020,area_plantada_ha,61875
2100055,2020,valor_producao_mil_reais,311801
2100055,2021,area_plantada_ha,71294
2100055,2021,valor_producao_mil_reais,636032
2100055,2022,area_plantada_ha,77700
2100055,2022,valor_producao_mil_reais,717106
2100055,2023,area_plantada_ha,83888
2100055,2023,valor_producao_mil_reais,432160
2100055,2024,area_plantada_ha,90392
2100055,2024,valor_producao_mil_reais,602985
2100105,1974,valor_producao_mil_reais,1185
2100105,1975,valor_producao_mil_reais,1830
2100105,1976,valor_producao_mil_reais,2703
2100105,1977,valor_producao_mil_reais,3749
2100105,1978,valor_producao_mil_reais,5806
2100105,1979,valor_producao_mil_reais,8820
2100105,1980,valor_producao_mil_reais,14821
2100105,1981,valor_producao_mil_reais,20677
2100105,1982,valor_producao_mil_reais,59771
2100105,1983,valor_producao_mil_reais,45100
2100105,1984,valor_producao_mil_reais,453806
2100105,1985,valor_producao_mil_reais,887
2100105,1986,valor_producao_mil_reais,2637
2100105,1987,valor_producao_mil_reais,7407
2100105,1988,area_plantada_ha,1536
2100105,1988,valor_producao_mil_reais,97362
2100105,1989,area_plantada_ha,1611
2100105,1989,valor_producao_mil_reais,850
2100105,1990,area_plantada_ha,1635
2100105,1990,valor_producao_mil_reais,18138
2100105,1991,area_plantada_ha,1516
2100105,1991,valor_producao_mil_reais,94904
2100105,1992,area_plantada_ha,1492
2100105,1992,valor_producao_mil_reais,844585
2100105,1993,area_plantada_ha,1282
2100105,1993,valor_producao_mil_reais,8786
2100105,1994,area_plantada_ha,1331
2100105,1994,valor_producao_mil_reais,274
2100105,1995,area_plantada_ha,1456
2100105,1995,valor_producao_mil_reais,265
2100105,1996,area_plantada_ha,1078
2100105,1996,valor_producao_mil_reais,367
2100105,1997,area_plantada_ha,1049
2100105,1997,valor_producao_mil_reais,357
2100105,1998,area_plantada_ha,1083
2100105,1998,valor_producao_mil_reais,342
2100105,1999,area_plantada_ha,886
2100105,1999,valor_producao_mil_reais,219
2100105,2000,area_plantada_ha,1214
2100105,2000,valor_producao_mil_reais,308
2100105,2001,area_plantada_ha,1297
2100105,2001,valor_producao_mil_reais,416
2100105,2002,area_plantada_ha,1389
2100105,2002,valor_producao_mil_reais,387
2100105,2003,area_plantada_ha,1498
2100105,2003,valor_producao_mil_reais,687
2100105,2004,area_plantada_ha,1583
2100105,2004,valor_producao_mil_reais,1078
2100105,2005,area_plantada_ha,1672
2100105,2005,valor_producao_mil_reais,674
2100105,2006,area_plantada_ha,1709
2100105,2006,valor_producao_mil_reais,722
2100105,2007,area_plantada_ha,1985
2100105,2007,valor_producao_mil_reais,992
2100105,2008,area_plantada_ha,1951
2100105,2008,valor_producao_mil_reais,1170
2100105,2009,area_plantada_ha,2181
2100105,2009,valor_producao_mil_reais,1308
2100105,2010,area_plantada_ha,2520
2100105,2010,valor_producao_mil_reais,2651
2100105,2011,area_plantada_ha,2341
2100105,2011,valor_producao_mil_reais,2057
2100105,2012,area_plantada_ha,2512
2100105,2012,valor_producao_mil_reais,1426
2100105,2013,area_plantada_ha,2527
2100105,2013,valor_producao_mil_reais,3220
2100105,2014,area_plantada_ha,2429
2100105,2014,valor_producao_mil_reais,5755
2100105,2015,area_plantada_ha,3114
2100105,2015,valor_producao_mil_reais,6345
2100105,2016,area_plantada_ha,4868
2100105,2016,valor_producao_mil_reais,6300
2100105,2017,area_plantada_ha,6388
2100105,2017,valor_producao_mil_reais,17098
2100105,2018,area_plantada_ha,6691
2100105,2018,valor_producao_mil_reais,20206
2100105,2019,area_plantada_ha,7306
2100105,2019,valor_producao_mil_reais,22370
2100105,2020,area_plantada_ha,7996
2100105,2020,valor_producao_mil_reais,32692
2100105,2021,area_plantada_ha,10096
2100105,2021,valor_producao_mil_reais,72552
2100105,2022,area_plantada_ha,10586
2100105,2022,valor_producao_mil_reais,85289
2100105,2023,area_plantada_ha,8452
2100105,2023,valor_producao_mil_reais,57795
2100105,2024,area_plantada_ha,11476
2100105,2024,valor_producao_mil_reais,57889
2100154,1997,area_plantada_ha,2428
2100154,1997,valor_producao_mil_reais,889
2100154,1998,area_plantada_ha,2445
2100154,1998,valor_producao_mil_reais,924
2100154,1999,area_plantada_ha,2581
2100154,1999,valor_producao_mil_reais,766
2100154,2000,area_plantada_ha,2631
2100154,2000,valor_producao_mil_reais,829
2100154,2001,area_plantada_ha,2651
2100154,2001,valor_producao_mil_reais,1054
2100154,2002,area_plantada_ha,2683
2100154,2002,valor_producao_mil_reais,1218
2100154,2003,area_plantada_ha,2710
2100154,2003,valor_producao_mil_reais,1687
2100154,2004,area_plantada_ha,2769
2100154,2004,valor_producao_mil_reais,1906
2100154,2005,area_plantada_ha,2893
2100154,2005,valor_producao_mil_reais,1931
2100154,2006,area_plantada_ha,3207
2100154,2006,valor_producao_mil_reais,1247
2100154,2007,area_plantada_ha,3351
2100154,2007,valor_producao_mil_reais,1228
2100154,2008,area_plantada_ha,3507
2100154,2008,valor_producao_mil_reais,3151
2100154,2009,area_plantada_ha,3672
2100154,2009,valor_producao_mil_reais,3545
2100154,2010,area_plantada_ha,3866
2100154,2010,valor_producao_mil_reais,4083
2100154,2011,area_plantada_ha,3866
2100154,2011,valor_producao_mil_reais,3835
2100154,2012,area_plantada_ha,2745
2100154,2012,valor_producao_mil_reais,2482
2100154,2013,area_plantada_ha,4209
2100154,2013,valor_producao_mil_reais,5210
2100154,2014,area_plantada_ha,4117
2100154,2014,valor_producao_mil_reais,3913
2100154,2015,area_plantada_ha,2976
2100154,2015,valor_producao_mil_reais,2747
2100154,2016,area_plantada_ha,2479
2100154,2016,valor_producao_mil_reais,3004
2100154,2017,area_plantada_ha,2113
2100154,2017,valor_producao_mil_reais,2423
2100154,2018,area_plantada_ha,1449
2100154,2018,valor_producao_mil_reais,1716
2100154,2019,area_plantada_ha,1089
2100154,2019,valor_producao_mil_reais,1205
2100154,2020,area_plantada_ha,1038
2100154,2020,valor_producao_mil_reais,1277
2100154,2021,area_plantada_ha,1014
2100154,2021,valor_producao_mil_reais,2033
2100154,2022,area_plantada_ha,985
2100154,2022,valor_producao_mil_reais,2815
2100154,2023,area_plantada_ha,969
2100154,2023,valor_producao_mil_reais,3065
2100154,2024,area_plantada_ha,979
2100154,2024,valor_producao_mil_reais,3213
2100204,1974,valor_producao_mil_reais,3771
2100204,1975,valor_producao_mil_reais,8456
2100204,1976,valor_producao_mil_reais,12346
2100204,1977,valor_producao_mil_reais,12472
2100204,1978,valor_producao_mil_reais,13877
2100204,1979,valor_producao_mil_reais,21855
2100204,1980,valor_producao_mil_reais,39150
2100204,1981,valor_producao_mil_reais,89239
2100204,1982,valor_producao_mil_reais,97279
2100204,1983,valor_producao_mil_reais,105633
2100204,1984,valor_producao_mil_reais,375853
2100204,1985,valor_producao_mil_reais,429
2100204,1986,valor_producao_mil_reais,8032
