serie,code_muni,ano,value
PIB,2100055,1985,545222.707131239
PIB,2100055,1996,484052.613298928
PIB,2100055,1999,855042.969434268
PIB,2100055,2000,993347.856769066
PIB,2100055,2001,1082634.86578789
PIB,2100055,2002,1279464.44634576
PIB,2100055,2003,1437751.13978103
PIB,2100055,2004,1487117.48600522
PIB,2100055,2005,1648905.08245625
PIB,2100055,2006,1862546.47402864
PIB,2100055,2007,2267462.2082673
PIB,2100055,2008,2054983.57504995
PIB,2100055,2009,1410682.10534274
PIB,2100055,2010,1307215.276
PIB,2100105,1970,4657.7844719351
PIB,2100105,1975,10346.9766314247
PIB,2100105,1980,8285.6041099139
PIB,2100105,1985,9689.9361015397
PIB,2100105,1996,7094.1453550381
PIB,2100105,1999,10956.2465828847
PIB,2100105,2000,12244.8680848193
PIB,2100105,2001,12841.4632202316
PIB,2100105,2002,13299.1342865385
PIB,2100105,2003,13345.8452607667
PIB,2100105,2004,15917.9770348307
PIB,2100105,2005,16144.2244931105
PIB,2100105,2006,16892.1655328577
PIB,2100105,2007,19273.1821906267
PIB,2100105,2008,21603.751048078
PIB,2100105,2009,22209.4854152448
PIB,2100105,2010,24508.857
PIB,2100154,1999,20959.4680166732
PIB,2100154,2000,21968.9376850341
PIB,2100154,2001,23151.2001950199
PIB,2100154,2002,24078.9909882764
PIB,2100154,2003,25747.785576524
PIB,2100154,2004,25683.0521675253
PIB,2100154,2005,25179.5313777399
PIB,2100154,2006,31443.6865911348
PIB,2100154,2007,32043.6983578537
PIB,2100154,2008,39203.9688787639
PIB,2100154,2009,40908.3478220095
PIB,2100154,2010,40748.331
PIB,2100204,1920,4135.2255337145
PIB,2100204,1939,5797.097469624
PIB,2100204,1949,3272.3967644308
PIB,2100204,1959,5900.1765253151
PIB,2100204,1970,15090.8079569913
PIB,2100204,1975,19274.5950353259
PIB,2100204,1980,30055.8844823505
PIB,2100204,1985,43811.2411099088
PIB,2100204,1996,66632.1693027191
PIB,2100204,1999,78774.2497986458
PIB,2100204,2000,68465.7963237247
PIB,2100204,2001,57715.8020690676
PIB,2100204,2002,66533.4288802092
PIB,2100204,2003,55411.7315659164
PIB,2100204,2004,59321.8863133833
PIB,2100204,2005,63336.3321219464
PIB,2100204,2006,64463.6846779663
PIB,2100204,2007,70158.9744155842
PIB,2100204,2008,72307.2501111271
PIB,2100204,2009,70968.5123713176
PIB,2100204,2010,74901.257
PIB,2100303,1970,33247.6515141503
PIB,2100303,1975,30384.9531144019
PIB,2100303,1980,41093.3348971316
PIB,2100303,1985,148996.41323605
PIB,2100303,1996,28820.8051646668
PIB,2100303,1999,51639.5074271058
PIB,2100303,2000,48509.3536492803
PIB,2100303,2001,45720.4801895742
PIB,2100303,2002,45086.9289271626
PIB,2100303,2003,45568.8186601475
PIB,2100303,2004,47779.2882610257
PIB,2100303,2005,51412.3655126196
PIB,2100303,2006,58262.5310029737
PIB,2100303,2007,60700.010552851
PIB,2100303,2008,109867.794175601
PIB,2100303,2009,110650.512003476
PIB,2100303,2010,133380.563
PIB,2100402,1970,25318.8688417732
PIB,2100402,1975,47022.2828833004
PIB,2100402,1980,67476.8604707369
PIB,2100402,1985,41737.6833826239
PIB,2100402,1996,27331.9101732294
PIB,2100402,1999,17423.9334790578
PIB,2100402,2000,19691.6030355788
PIB,2100402,2001,20575.6495054882
PIB,2100402,2002,19469.7403716148
PIB,2100402,2003,23369.4546931305
PIB,2100402,2004,25494.7611019513
PIB,2100402,2005,26322.4726074394
PIB,2100402,2006,28411.7853110183
PIB,2100402,2007,29235.6344736836
PIB,2100402,2008,35371.7652484253
PIB,2100402,2009,33346.691696715
PIB,2100402,2010,35996.674
PIB,2100436,1999,41588.8156818568
PIB,2100436,2000,47779.6010024718
