serie,code_muni,ano,value
POPUR,2100055,1991,46195
POPUR,2100055,1996,47881
POPUR,2100055,2000,64164
POPUR,2100055,2007,73386
POPUR,2100055,2010,78237
POPUR,2100055,2022,94580
POPUR,2100105,1970,382
POPUR,2100105,1980,586
POPUR,2100105,1991,1589
POPUR,2100105,1996,1760
POPUR,2100105,2000,2255
POPUR,2100105,2007,3063
POPUR,2100105,2010,3234
POPUR,2100105,2022,3035
POPUR,2100154,2000,2455
POPUR,2100154,2007,2989
POPUR,2100154,2010,3133
POPUR,2100154,2022,3006
POPUR,2100204,1940,1842
POPUR,2100204,1950,3303
POPUR,2100204,1960,1814
POPUR,2100204,1970,2005
POPUR,2100204,1980,2146
POPUR,2100204,1991,3993
POPUR,2100204,1996,4893
POPUR,2100204,2000,5665
POPUR,2100204,2007,5974
POPUR,2100204,2010,6399
POPUR,2100204,2022,4987
POPUR,2100303,1970,216
POPUR,2100303,1980,1582
POPUR,2100303,1991,5437
POPUR,2100303,1996,5893
POPUR,2100303,2000,7375
POPUR,2100303,2007,10796
POPUR,2100303,2010,13634
POPUR,2100303,2022,15716
POPUR,2100402,1970,1826
POPUR,2100402,1980,1974
POPUR,2100402,1991,2535
POPUR,2100402,1996,2869
POPUR,2100402,2000,2894
POPUR,2100402,2007,2722
POPUR,2100402,2010,4583
POPUR,2100402,2022,2966
POPUR,2100436,2000,12997
POPUR,2100436,2007,14941
POPUR,2100436,2010,19374
POPUR,2100436,2022,19350
POPUR,2100477,2000,7909
POPUR,2100477,2007,9418
POPUR,2100477,2010,9829
POPUR,2100477,2022,14079
POPUR,2100501,1940,822
POPUR,2100501,1950,1127
POPUR,2100501,1960,1393
POPUR,2100501,1970,1318
POPUR,2100501,1980,2229
POPUR,2100501,1991,4508
POPUR,2100501,1996,5470
POPUR,2100501,2000,6038
POPUR,2100501,2007,6260
POPUR,2100501,2010,7028
POPUR,2100501,2022,8362
POPUR,2100550,2000,3979
POPUR,2100550,2007,4530
POPUR,2100550,2010,4841
POPUR,2100550,2022,5430
POPUR,2100600,1960,1624
POPUR,2100600,1970,1932
POPUR,2100600,1980,2870
POPUR,2100600,1991,7344
POPUR,2100600,1996,10085
POPUR,2100600,2000,10818
POPUR,2100600,2007,14247
POPUR,2100600,2010,15308
POPUR,2100600,2022,15802
POPUR,2100709,1940,1137
POPUR,2100709,1950,1870
POPUR,2100709,1960,1990
POPUR,2100709,1970,2289
POPUR,2100709,1980,3061
POPUR,2100709,1991,4361
POPUR,2100709,1996,4869
POPUR,2100709,2000,5992
POPUR,2100709,2007,6455
POPUR,2100709,2010,7015
POPUR,2100709,2022,8285
POPUR,2100808,1970,655
POPUR,2100808,1980,1515
POPUR,2100808,1991,3269
POPUR,2100808,1996,3861
POPUR,2100808,2000,4601
POPUR,2100808,2007,6108
POPUR,2100808,2010,7164
POPUR,2100808,2022,7716
POPUR,2100832,2000,5553
POPUR,2100832,2007,7664
POPUR,2100832,2010,9162
POPUR,2100832,2022,11593
POPUR,2100873,2000,3899
POPUR,2100873,2007,4586
POPUR,2100873,2010,5377
POPUR,2100873,2022,5122
POPUR,2100907,1940,3001
POPUR,2100907,1950,1895
POPUR,2100907,1960,2084
POPUR,2100907,1970,4859
POPUR,2100907,1980,6537
POPUR,2100907,1991,8504
POPUR,2100907,1996,9432
POPUR,2100907,2000,9134
POPUR,2100907,2007,10028
POPUR,2100907,2010,12045
POPUR,2100907,2022,11187
POPUR,2100956,1991,11208
POPUR,2100956,1996,10731
POPUR,2100956,2000,11461
POPUR,2100956,2007,11029
POPUR,2100956,2010,12551
POPUR,2100956,2022,10557
POPUR,2101004,1940,4019
POPUR,2101004,1950,3766
POPUR,2101004,1960,4308
POPUR,2101004,1970,5889
POPUR,2101004,1980,8679
POPUR,2101004,1991,12875
POPUR,2101004,1996,14023
POPUR,2101004,2000,15453
POPUR,2101004,2007,16415
POPUR,2101004,2010,17483
POPUR,2101004,2022,17494
POPUR,2101103,1940,1192
POPUR,2101103,1950,621
POPUR,2101103,1960,782
POPUR,2101103,1970,751
POPUR,2101103,1980,919
POPUR,2101103,1991,1265
POPUR,2101103,1996,1291
POPUR,2101103,2000,1202
POPUR,2101103,2007,1841
POPUR,2101103,2010,4703
POPUR,2101103,2022,4870
POPUR,2101202,1940,4162
POPUR,2101202,1950,4857
POPUR,2101202,1960,15437
POPUR,2101202,1970,29671
POPUR,2101202,1980,43062
POPUR,2101202,1991,64783
POPUR,2101202,1996,69633
POPUR,2101202,2000,71408
POPUR,2101202,2007,73704
POPUR,2101202,2010,77860
POPUR,2101202,2022,83031
POPUR,2101251,2000,1892
POPUR,2101251,2007,3156
POPUR,2101251,2010,3324
POPUR,2101251,2022,11815
POPUR,2101301,1970,1293
POPUR,2101301,1980,2161
POPUR,2101301,1991,4330
POPUR,2101301,1996,5818
POPUR,2101301,2000,7649
POPUR,2101301,2007,7805
POPUR,2101301,2010,8686
POPUR,2101301,2022,8344
POPUR,2101350,2000,1139
POPUR,2101350,2007,1315
POPUR,2101350,2010,1424
POPUR,2101350,2022,1437
POPUR,2101400,1940,2165
POPUR,2101400,1950,3528
POPUR,2101400,1960,4572
POPUR,2101400,1970,7108
POPUR,2101400,1980,13514
POPUR,2101400,1991,30633
POPUR,2101400,1996,37595
POPUR,2101400,2000,50144
POPUR,2101400,2007,66263
POPUR,2101400,2010,72771
POPUR,2101400,2022,89502
POPUR,2101509,1940,791
POPUR,2101509,1950,1086
POPUR,2101509,1960,1922
POPUR,2101509,1970,2723
POPUR,2101509,1980,4282
POPUR,2101509,1991,5666
POPUR,2101509,1996,7161
POPUR,2101509,2000,7694
POPUR,2101509,2007,8695
POPUR,2101509,2010,10338
POPUR,2101509,2022,12496
POPUR,2101608,1940,2997
POPUR,2101608,1950,5263
POPUR,2101608,1960,4858
POPUR,2101608,1970,10895
POPUR,2101608,1980,20567
POPUR,2101608,1991,34163
POPUR,2101608,1996,38029
POPUR,2101608,2000,43412
POPUR,2101608,2007,46861
POPUR,2101608,2010,51648
POPUR,2101608,2022,58268
POPUR,2101707,1940,1290
POPUR,2101707,1950,1576
POPUR,2101707,1960,2172
POPUR,2101707,1970,3399
POPUR,2101707,1980,4948
POPUR,2101707,1991,7442
POPUR,2101707,1996,9950
POPUR,2101707,2000,13209
POPUR,2101707,2007,18024
POPUR,2101707,2010,22326
POPUR,2101707,2022,28711
POPUR,2101731,2000,1829
POPUR,2101731,2007,2516
POPUR,2101731,2010,3263
POPUR,2101731,2022,4448
POPUR,2101772,2000,3464
POPUR,2101772,2007,4145
POPUR,2101772,2010,5170
POPUR,2101772,2022,7028
POPUR,2101806,1940,342
POPUR,2101806,1950,297
POPUR,2101806,1960,339
POPUR,2101806,1970,408
POPUR,2101806,1980,764
POPUR,2101806,1991,1679
POPUR,2101806,1996,2146
POPUR,2101806,2000,2259
POPUR,2101806,2007,2525
POPUR,2101806,2010,2813
POPUR,2101806,2022,3377
POPUR,2101905,1940,627
POPUR,2101905,1950,565
POPUR,2101905,1960,949
POPUR,2101905,1970,1371
POPUR,2101905,1980,2569
POPUR,2101905,1991,4410
POPUR,2101905,1996,4927
POPUR,2101905,2000,5148
POPUR,2101905,2007,5543
POPUR,2101905,2010,6606
POPUR,2101905,2022,6005
POPUR,2101939,2000,1546
POPUR,2101939,2007,2028
POPUR,2101939,2010,2324
POPUR,2101939,2022,2583
POPUR,2101970,2000,4077
POPUR,2101970,2007,5288
POPUR,2101970,2010,5619
POPUR,2101970,2022,6148
POPUR,2102002,1970,3457
POPUR,2102002,1980,4353
POPUR,2102002,1991,7686
POPUR,2102002,1996,11721
POPUR,2102002,2000,12126
POPUR,2102002,2007,14706
POPUR,2102002,2010,16386
POPUR,2102002,2022,16247
POPUR,2102036,2000,7967
POPUR,2102036,2007,11250
POPUR,2102036,2010,13431
POPUR,2102036,2022,18093
POPUR,2102077,2000,1929
POPUR,2102077,2007,2776
POPUR,2102077,2010,4181
POPUR,2102077,2022,3876
POPUR,2102101,1940,2911
POPUR,2102101,1950,2766
POPUR,2102101,1960,3343
POPUR,2102101,1970,4356
POPUR,2102101,1980,5818
POPUR,2102101,1991,8452
POPUR,2102101,1996,9671
POPUR,2102101,2000,10656
POPUR,2102101,2007,11499
POPUR,2102101,2010,12340
POPUR,2102101,2022,15992
POPUR,2102150,2000,2181
POPUR,2102150,2007,2707
POPUR,2102150,2010,2853
POPUR,2102150,2022,2990
POPUR,2102200,1940,1396
POPUR,2102200,1950,1325
POPUR,2102200,1960,1902
POPUR,2102200,1970,1851
POPUR,2102200,1980,3260
POPUR,2102200,1991,4900
POPUR,2102200,1996,6078
POPUR,2102200,2000,7195
POPUR,2102200,2007,8093
POPUR,2102200,2010,8399
POPUR,2102200,2022,9890
POPUR,2102309,1940,1026
POPUR,2102309,1950,1788
POPUR,2102309,1960,2452
POPUR,2102309,1970,3313
POPUR,2102309,1980,6360
POPUR,2102309,1991,10162
POPUR,2102309,1996,12459
POPUR,2102309,2000,14886
POPUR,2102309,2007,16048
POPUR,2102309,2010,17014
POPUR,2102309,2022,17040
POPUR,2102325,2000,26017
POPUR,2102325,2007,31210
POPUR,2102325,2010,35789
POPUR,2102325,2022,39923
POPUR,2102358,2000,3784
POPUR,2102358,2007,4211
POPUR,2102358,2010,4146
POPUR,2102358,2022,3989
POPUR,2102374,2000,2852
POPUR,2102374,2007,3472
POPUR,2102374,2010,3792
POPUR,2102374,2022,4339
POPUR,2102408,1940,896
POPUR,2102408,1950,1344
POPUR,2102408,1960,2162
POPUR,2102408,1970,1411
POPUR,2102408,1980,1622
POPUR,2102408,1991,2259
POPUR,2102408,1996,2747
POPUR,2102408,2000,2853
POPUR,2102408,2007,3263
POPUR,2102408,2010,3885
POPUR,2102408,2022,3622
POPUR,2102507,1950,1024
POPUR,2102507,1960,1364
POPUR,2102507,1970,1478
POPUR,2102507,1980,2284
POPUR,2102507,1991,2951
POPUR,2102507,1996,3375
POPUR,2102507,2000,3543
POPUR,2102507,2007,4080
POPUR,2102507,2010,4284
POPUR,2102507,2022,3731
POPUR,2102556,2000,8591
POPUR,2102556,2007,9534
POPUR,2102556,2010,10621
POPUR,2102556,2022,9762
POPUR,2102606,1950,2406
POPUR,2102606,1960,3476
POPUR,2102606,1970,2925
POPUR,2102606,1980,4009
POPUR,2102606,1991,5932
POPUR,2102606,1996,7452
POPUR,2102606,2000,9492
POPUR,2102606,2007,11098
POPUR,2102606,2010,11911
POPUR,2102606,2022,13467
POPUR,2102705,1960,1692
POPUR,2102705,1970,1854
POPUR,2102705,1980,3034
POPUR,2102705,1991,6018
POPUR,2102705,1996,7219
POPUR,2102705,2000,8526
POPUR,2102705,2007,11833
POPUR,2102705,2010,12959
POPUR,2102705,2022,16523
POPUR,2102754,2000,4024
POPUR,2102754,2007,4439
POPUR,2102754,2010,5610
POPUR,2102754,2022,5987
POPUR,2102804,1940,3359
POPUR,2102804,1950,4790
POPUR,2102804,1960,9792
POPUR,2102804,1970,10869
POPUR,2102804,1980,15070
POPUR,2102804,1991,12198
POPUR,2102804,1996,12664
POPUR,2102804,2000,14362
POPUR,2102804,2007,15132
POPUR,2102804,2010,16237
POPUR,2102804,2022,16712
POPUR,2102903,1940,1825
POPUR,2102903,1950,3138
POPUR,2102903,1960,4523
POPUR,2102903,1970,2891
POPUR,2102903,1980,4057
POPUR,2102903,1991,10327
POPUR,2102903,1996,13143
POPUR,2102903,2000,13138
POPUR,2102903,2007,13861
POPUR,2102903,2010,16224
POPUR,2102903,2022,17875
POPUR,2103000,1940,7042
POPUR,2103000,1950,14445
POPUR,2103000,1960,19025
POPUR,2103000,1970,30735
POPUR,2103000,1980,56718
POPUR,2103000,1991,84331
POPUR,2103000,1996,90369
POPUR,2103000,2000,103485
POPUR,2103000,2007,108542
POPUR,2103000,2010,118534
POPUR,2103000,2022,121275
POPUR,2103109,1970,518
POPUR,2103109,1980,966
POPUR,2103109,1991,1626
POPUR,2103109,1996,1942
POPUR,2103109,2000,1976
POPUR,2103109,2007,2184
POPUR,2103109,2010,2397
POPUR,2103109,2022,2422
POPUR,2103125,2000,3013
POPUR,2103125,2007,4232
POPUR,2103125,2010,4086
POPUR,2103125,2022,4112
POPUR,2103158,2000,3401
POPUR,2103158,2007,4549
POPUR,2103158,2010,7072
POPUR,2103158,2022,7142
POPUR,2103174,2000,3127
POPUR,2103174,2007,4530
POPUR,2103174,2010,5522
POPUR,2103174,2022,7365
POPUR,2103208,1940,964
POPUR,2103208,1950,1700
POPUR,2103208,1960,3611
POPUR,2103208,1970,10264
POPUR,2103208,1980,16595
POPUR,2103208,1991,28694
POPUR,2103208,1996,33648
POPUR,2103208,2000,37231
POPUR,2103208,2007,44819
POPUR,2103208,2010,52882
POPUR,2103208,2022,61373
POPUR,2103257,2000,4623
POPUR,2103257,2007,5068
POPUR,2103257,2010,6036
POPUR,2103257,2022,7063
POPUR,2103307,1940,3405
POPUR,2103307,1950,7416
POPUR,2103307,1960,11235
POPUR,2103307,1970,19990
POPUR,2103307,1980,34765
POPUR,2103307,1991,58469
POPUR,2103307,1996,67754
POPUR,2103307,2000,75093
POPUR,2103307,2007,76209
POPUR,2103307,2010,81045
POPUR,2103307,2022,83203
POPUR,2103406,1940,641
POPUR,2103406,1950,610
POPUR,2103406,1960,1057
POPUR,2103406,1970,2759
POPUR,2103406,1980,11577
POPUR,2103406,1991,31052
POPUR,2103406,1996,32943
POPUR,2103406,2000,34747
POPUR,2103406,2007,36917
POPUR,2103406,2010,38729
POPUR,2103406,2022,34494
POPUR,2103505,1940,2666
POPUR,2103505,1950,4634
POPUR,2103505,1960,2959
POPUR,2103505,1970,4480
POPUR,2103505,1980,7711
POPUR,2103505,1991,13587
POPUR,2103505,1996,17198
POPUR,2103505,2000,20821
POPUR,2103505,2007,22742
POPUR,2103505,2010,25575
POPUR,2103505,2022,27683
POPUR,2103554,2000,5252
POPUR,2103554,2007,6516
POPUR,2103554,2010,6869
POPUR,2103554,2022,7083
POPUR,2103604,1940,3452
POPUR,2103604,1950,6036
POPUR,2103604,1960,7979
POPUR,2103604,1970,13390
POPUR,2103604,1980,18691
POPUR,2103604,1991,28768
POPUR,2103604,1996,32146
POPUR,2103604,2000,33419
POPUR,2103604,2007,40850
POPUR,2103604,2010,43057
POPUR,2103604,2022,42193
POPUR,2103703,1940,2967
POPUR,2103703,1950,3416
POPUR,2103703,1960,4776
POPUR,2103703,1970,8318
POPUR,2103703,1980,10274
POPUR,2103703,1991,17492
POPUR,2103703,1996,20392
POPUR,2103703,2000,21468
POPUR,2103703,2007,22359
POPUR,2103703,2010,22270
POPUR,2103703,2022,22523
POPUR,2103752,2000,10231
POPUR,2103752,2007,9733
POPUR,2103752,2010,10487
POPUR,2103752,2022,12718
POPUR,2103802,1960,2765
POPUR,2103802,1970,6165
POPUR,2103802,1980,9039
POPUR,2103802,1991,10858
POPUR,2103802,1996,12226
POPUR,2103802,2000,14037
POPUR,2103802,2007,14409
POPUR,2103802,2010,15261
POPUR,2103802,2022,16433
POPUR,2103901,1960,1399
POPUR,2103901,1970,1815
POPUR,2103901,1980,1872
POPUR,2103901,1991,2725
POPUR,2103901,1996,3613
POPUR,2103901,2000,4190
POPUR,2103901,2007,4952
POPUR,2103901,2010,5340
POPUR,2103901,2022,5615
POPUR,2104008,1960,1199
POPUR,2104008,1970,2268
POPUR,2104008,1980,5403
POPUR,2104008,1991,6789
POPUR,2104008,1996,7595
POPUR,2104008,2000,9823
POPUR,2104008,2007,9443
POPUR,2104008,2010,10035
POPUR,2104008,2022,10014
POPUR,2104057,1991,11571
POPUR,2104057,1996,14145
POPUR,2104057,2000,15846
POPUR,2104057,2007,18728
POPUR,2104057,2010,25778
POPUR,2104057,2022,25756
POPUR,2104073,2000,1030
POPUR,2104073,2007,2093
POPUR,2104073,2010,1927
POPUR,2104073,2022,2832
POPUR,2104081,2000,800
POPUR,2104081,2007,1243
POPUR,2104081,2010,1506
POPUR,2104081,2022,2112
POPUR,2104099,2000,2189
