serie,code_muni,ano,value
ADH_IDHM,2100055,1991,0.344
ADH_IDHM,2100055,2000,0.498
ADH_IDHM,2100055,2010,0.672
ADH_IDHM,2100105,1991,0.278
ADH_IDHM,2100105,2000,0.337
ADH_IDHM,2100105,2010,0.529
ADH_IDHM,2100154,1991,0.21
ADH_IDHM,2100154,2000,0.293
ADH_IDHM,2100154,2010,0.5
ADH_IDHM,2100204,1991,0.271
ADH_IDHM,2100204,2000,0.405
ADH_IDHM,2100204,2010,0.573
ADH_IDHM,2100303,1991,0.257
ADH_IDHM,2100303,2000,0.349
ADH_IDHM,2100303,2010,0.513
ADH_IDHM,2100402,1991,0.27
ADH_IDHM,2100402,2000,0.384
ADH_IDHM,2100402,2010,0.549
ADH_IDHM,2100436,1991,0.209
ADH_IDHM,2100436,2000,0.331
ADH_IDHM,2100436,2010,0.554
ADH_IDHM,2100477,1991,0.19
ADH_IDHM,2100477,2000,0.336
ADH_IDHM,2100477,2010,0.558
ADH_IDHM,2100501,1991,0.308
ADH_IDHM,2100501,2000,0.435
ADH_IDHM,2100501,2010,0.633
ADH_IDHM,2100550,1991,0.165
ADH_IDHM,2100550,2000,0.327
ADH_IDHM,2100550,2010,0.52
ADH_IDHM,2100600,1991,0.284
ADH_IDHM,2100600,2000,0.374
ADH_IDHM,2100600,2010,0.555
ADH_IDHM,2100709,1991,0.26
ADH_IDHM,2100709,2000,0.397
ADH_IDHM,2100709,2010,0.581
ADH_IDHM,2100808,1991,0.292
ADH_IDHM,2100808,2000,0.421
ADH_IDHM,2100808,2010,0.581
ADH_IDHM,2100832,1991,0.238
ADH_IDHM,2100832,2000,0.327
ADH_IDHM,2100832,2010,0.568
ADH_IDHM,2100873,1991,0.184
ADH_IDHM,2100873,2000,0.359
ADH_IDHM,2100873,2010,0.533
ADH_IDHM,2100907,1991,0.199
ADH_IDHM,2100907,2000,0.298
ADH_IDHM,2100907,2010,0.521
ADH_IDHM,2100956,1991,0.21
ADH_IDHM,2100956,2000,0.334
ADH_IDHM,2100956,2010,0.512
ADH_IDHM,2101004,1991,0.331
ADH_IDHM,2101004,2000,0.47
ADH_IDHM,2101004,2010,0.626
ADH_IDHM,2101103,1991,0.31
ADH_IDHM,2101103,2000,0.464
ADH_IDHM,2101103,2010,0.641
ADH_IDHM,2101202,1991,0.372
ADH_IDHM,2101202,2000,0.481
ADH_IDHM,2101202,2010,0.651
ADH_IDHM,2101251,1991,0.341
ADH_IDHM,2101251,2000,0.433
ADH_IDHM,2101251,2010,0.629
ADH_IDHM,2101301,1991,0.272
ADH_IDHM,2101301,2000,0.403
ADH_IDHM,2101301,2010,0.578
ADH_IDHM,2101350,1991,0.216
ADH_IDHM,2101350,2000,0.369
ADH_IDHM,2101350,2010,0.537
ADH_IDHM,2101400,1991,0.347
ADH_IDHM,2101400,2000,0.521
ADH_IDHM,2101400,2010,0.687
ADH_IDHM,2101509,1991,0.31
ADH_IDHM,2101509,2000,0.424
ADH_IDHM,2101509,2010,0.592
ADH_IDHM,2101608,1991,0.287
ADH_IDHM,2101608,2000,0.423
ADH_IDHM,2101608,2010,0.606
ADH_IDHM,2101707,1991,0.251
ADH_IDHM,2101707,2000,0.361
ADH_IDHM,2101707,2010,0.57
ADH_IDHM,2101731,1991,0.199
ADH_IDHM,2101731,2000,0.32
ADH_IDHM,2101731,2010,0.512
ADH_IDHM,2101772,1991,0.175
ADH_IDHM,2101772,2000,0.355
ADH_IDHM,2101772,2010,0.554
ADH_IDHM,2101806,1991,0.24
ADH_IDHM,2101806,2000,0.379
ADH_IDHM,2101806,2010,0.546
ADH_IDHM,2101905,1991,0.299
