code_muni,ano,serie,value
2100055,2021,PIB,3828533
2100055,2023,PIB,4274162
2100105,2021,PIB,85052
2100105,2023,PIB,105581
2100154,2021,PIB,101642
2100154,2023,PIB,130746
2100204,2021,PIB,148763
2100204,2023,PIB,170261
2100303,2021,PIB,249396
2100303,2023,PIB,335246
2100402,2021,PIB,71512
2100402,2023,PIB,88343
2100436,2021,PIB,303118
2100436,2023,PIB,378314
2100477,2021,PIB,251719
2100477,2023,PIB,310142
2100501,2021,PIB,578961
2100501,2023,PIB,573769
2100550,2021,PIB,70198
2100550,2023,PIB,95026
2100600,2021,PIB,388636
2100600,2023,PIB,500782
2100709,2021,PIB,207606
2100709,2023,PIB,255439
2100808,2021,PIB,149102
2100808,2023,PIB,192813
2100832,2021,PIB,133946
2100832,2023,PIB,170117
2100873,2021,PIB,101728
2100873,2023,PIB,127935
2100907,2021,PIB,282769
2100907,2023,PIB,351324
2100956,2021,PIB,290315
2100956,2023,PIB,320623
2101004,2021,PIB,313251
2101004,2023,PIB,422713
2101103,2021,PIB,97422
2101103,2023,PIB,118131
2101202,2021,PIB,1514560
2101202,2023,PIB,1912868
2101251,2021,PIB,599285
2101251,2023,PIB,466226
2101301,2021,PIB,122872
2101301,2023,PIB,156363
2101350,2021,PIB,39590
2101350,2023,PIB,52138
2101400,2021,PIB,6307425
2101400,2023,PIB,7529798
2101509,2021,PIB,268538
2101509,2023,PIB,309910
2101608,2021,PIB,889190
2101608,2023,PIB,1157930
2101707,2021,PIB,635711
2101707,2023,PIB,816789
2101731,2021,PIB,60711
2101731,2023,PIB,100863
2101772,2021,PIB,107543
2101772,2023,PIB,133414
2101806,2021,PIB,73150
2101806,2023,PIB,94454
2101905,2021,PIB,138114
2101905,2023,PIB,166173
2101939,2021,PIB,105114
2101939,2023,PIB,276118
2101970,2021,PIB,67540
2101970,2023,PIB,93312
2102002,2021,PIB,411352
2102002,2023,PIB,571101
2102036,2021,PIB,375665
2102036,2023,PIB,456766
2102077,2021,PIB,117960
2102077,2023,PIB,149056
2102101,2021,PIB,328633
2102101,2023,PIB,426439
2102150,2021,PIB,71065
2102150,2023,PIB,90089
2102200,2021,PIB,277919
2102200,2023,PIB,332530
2102309,2021,PIB,238673
2102309,2023,PIB,309327
2102325,2021,PIB,748028
2102325,2023,PIB,1008378
2102358,2021,PIB,122474
2102358,2023,PIB,156524
2102374,2021,PIB,60974
2102374,2023,PIB,85043
2102408,2021,PIB,70653
2102408,2023,PIB,81775
2102507,2021,PIB,128078
2102507,2023,PIB,155103
2102556,2021,PIB,214011
2102556,2023,PIB,303257
2102606,2021,PIB,146788
2102606,2023,PIB,204526
2102705,2021,PIB,153398
2102705,2023,PIB,233273
2102754,2021,PIB,283976
2102754,2023,PIB,215754
2102804,2021,PIB,525893
2102804,2023,PIB,595614
2102903,2021,PIB,201999
2102903,2023,PIB,246447
2103000,2021,PIB,2112638
2103000,2023,PIB,2696021
2103109,2021,PIB,78583
2103109,2023,PIB,86165
2103125,2021,PIB,58347
2103125,2023,PIB,69154
2103158,2021,PIB,103737
2103158,2023,PIB,137520
2103174,2021,PIB,200757
2103174,2023,PIB,236610
2103208,2021,PIB,894366
2103208,2023,PIB,1130462
2103257,2021,PIB,183560
2103257,2023,PIB,242330
2103307,2021,PIB,1648585
2103307,2023,PIB,1808033
2103406,2021,PIB,465859
2103406,2023,PIB,486211
2103505,2021,PIB,553171
2103505,2023,PIB,729810
2103554,2021,PIB,147189
2103554,2023,PIB,159750
2103604,2021,PIB,533579
2103604,2023,PIB,637484
2103703,2021,PIB,264536
2103703,2023,PIB,343104
