code_muni,municipio,estado,sabem(7a14),nsabem(7a14),sabem(15a),nsabem(15a),chave_join,numeroestabelecimento,commaquinas,cominstruagra,fabeofi,casaneg,popu
2700102,Agua Branca,AL,87,913,212,788,agua branca_AL,688,116,0,9,68,20361
2704708,Alagôas,AL,169,831,239,761,alagoas_AL,153,4,0,0,9,18816
2700201,Anadia,AL,56,944,113,887,anadia_AL,546,28,0,0,23,51150
2700409,Atalaia,AL,59,941,123,877,atalaia_AL,182,152,8,0,58,64035
2799903,Bello Monte,AL,98,902,255,745,bello monte_AL,74,0,0,1,4,8117
2702306,Coruripe,AL,106,894,183,817,coruripe_AL,403,27,0,1,81,15625
2799902,Junqueiro.,AL,74,926,152,848,junqueiro_AL,0,0,0,3,20,15185
2702108,Leopoldina,AL,56,944,105,895,leopoldina_AL,52,41,8,3,20,24945
2704203,Limoeiro.,AL,58,942,130,870,limoeiro_AL,0,0,0,31,27,28555
2704302,Maceió,AL,465,535,544,456,maceio_AL,0,0,0,38,492,74166
2704500,Maragogy,AL,84,916,137,863,maragogy_AL,163,22,15,0,12,16593
2705507,Muricy,AL,71,929,134,866,muricy_AL,157,60,0,0,70,38458
2706307,Palmeira dos Indios ..,AL,94,906,181,819,palmeira dos indios_AL,0,0,0,12,48,39271
2706406,Pão de Assucar.,AL,94,906,213,787,pao de assucar_AL,0,0,0,7,54,21812
2701704,Parahyba.,AL,93,907,150,850,parahyba_AL,0,0,0,12,14,28758
2706505,"Passo de Camaragibe,",AL,76,924,121,879,passo de camaragibe_AL,0,0,0,28,40,24757
2705002,Paulo Affonso.,AL,69,931,165,835,paulo affonso_AL,0,0,0,0,21,21516
2706703,Penedo.,AL,254,746,313,687,penedo_AL,0,0,0,20,52,25060
2706802,Piassabussú,AL,152,848,226,774,piassabussu_AL,165,5,0,6,31,7315
2706901,Pilar,AL,199,801,340,660,pilar_AL,37,35,0,17,62,16763
2707107,Piranhas,AL,126,874,356,644,piranhas_AL,59,0,0,1,25,3476
2707305,Porto Calvo,AL,120,880,188,812,porto calvo_AL,82,61,21,139,56,23220
2707404,Porto de Pedras.,AL,128,872,211,789,porto de pedras_AL,0,0,0,0,12,18802
2707503,Porto Real do Collegio.,AL,105,895,167,833,porto real do collegio_AL,0,0,0,131,13,12762
2707701,Santa Luzia do Norte ..,AL,183,817,257,743,santa luzia do norte_AL,0,0,0,1,92,23413
2799904,São Braz.,AL,124,876,263,737,sao braz_AL,0,0,0,121,16,13922
2708303,São José da Lage,AL,120,880,207,793,sao jose da lage_AL,360,10,3,85,26,47729
2708501,São Luiz do Quitunde ..,AL,72,928,181,819,sao luiz do quitunde_AL,0,0,0,72,52,25069
2709202,Traipú,AL,73,927,209,791,traipu_AL,139,0,0,1,40,20355
2703205,Triumpho.,AL,40,960,100,900,triumpho_AL,99,5,0,78,21,16958
2709301,União,AL,64,936,151,849,uniao_AL,250,32,1,1,3,56394
2709400,Viçosa,AL,82,918,136,864,vicosa_AL,788,93,0,129,112,55790
2707602,Victoria .......,AL,89,911,163,837,victoria_AL,0,0,0,16,99,34317
2905701,Abrantes,BA,99,901,189,811,abrantes_BA,155,2,3,6,8,16995
2908309,Affonso Penna.,BA,68,932,147,853,affonso penna_BA,0,0,0,7,51,37924
2900702,Alagoinhas.,BA,190,810,285,715,alagoinhas_BA,0,0,0,17,115,36621
2901007,Amargosa,BA,106,894,208,792,amargosa_BA,754,191,1,0,8,42275
2907905,Amparo.,BA,51,949,187,813,amparo_BA,0,0,0,0,23,8473
2901304,Andarahy,BA,307,693,352,648,andarahy_BA,43,3,0,0,22,9285
2999916,Aracy,BA,51,949,196,804,aracy_BA,388,1,0,0,17,6588
2902302,Aratuhype.,BA,169,831,206,794,aratuhype_BA,0,0,0,4,35,7100
2932101,Areia,BA,93,907,178,822,areia_BA,1877,127,0,10,154,70598
2999917,Baixa Grande,BA,68,932,168,832,baixa grande_BA,252,3,1,0,30,12008
2914901,Barra do Rio de Contas.,BA,159,841,312,688,barra do rio de contas_BA,0,0,0,0,101,24350
2902708,Barra do Rio Grande,BA,126,874,243,757,barra do rio grande_BA,246,67,1,70,82,26128
2903201,Barreiras,BA,89,911,200,800,barreiras_BA,294,81,1,4,54,31108
2903904,Bom Jesus da Lapa.,BA,92,908,220,780,bom jesus da lapa_BA,0,0,0,0,7,14098
2904605,Bom Jesus dos Meiras ...,BA,53,947,175,825,bom jesus dos meiras_BA,0,0,0,0,29,24544
2930105,Bomfim,BA,144,856,288,712,bomfim_BA,284,6,0,15,139,37517
2904506,Brotas de Macahubas.,BA,108,892,280,720,brotas de macahubas_BA,0,0,0,0,0,34522
2904902,Cachoeira,BA,145,855,263,737,cachoeira_BA,394,7,11,29,202,61980
