Coluna,Tipo,Descricao
code_amc,numeric,Código único da AMC
area_km2,numeric,Área da AMC em km²
dist_rail_sintetica_km,numeric,Distância até rede sintética LCP (km)
dummy_atendida_sintetica,numeric,Dummy: 1 se ≤25km de rede sintética
cobertura_continua_sintetica,numeric,Cobertura contínua (inverso de distância) - sintética
cobertura_continua_real_1858,numeric,Cobertura contínua (inverso de distância) - real até 1858
cobertura_continua_real_1860,numeric,Cobertura contínua (inverso de distância) - real até 1860
cobertura_continua_real_1862,numeric,Cobertura contínua (inverso de distância) - real até 1862
cobertura_continua_real_1863,numeric,Cobertura contínua (inverso de distância) - real até 1863
cobertura_continua_real_1873,numeric,Cobertura contínua (inverso de distância) - real até 1873
cobertura_continua_real_1875,numeric,Cobertura contínua (inverso de distância) - real até 1875
cobertura_continua_real_1876,numeric,Cobertura contínua (inverso de distância) - real até 1876
cobertura_continua_real_1880,numeric,Cobertura contínua (inverso de distância) - real até 1880
cobertura_continua_real_1881,numeric,Cobertura contínua (inverso de distância) - real até 1881
cobertura_continua_real_1882,numeric,Cobertura contínua (inverso de distância) - real até 1882
cobertura_continua_real_1883,numeric,Cobertura contínua (inverso de distância) - real até 1883
cobertura_continua_real_1884,numeric,Cobertura contínua (inverso de distância) - real até 1884
cobertura_continua_real_1885,numeric,Cobertura contínua (inverso de distância) - real até 1885
cobertura_continua_real_1886,numeric,Cobertura contínua (inverso de distância) - real até 1886
cobertura_continua_real_1887,numeric,Cobertura contínua (inverso de distância) - real até 1887
cobertura_continua_real_1888,numeric,Cobertura contínua (inverso de distância) - real até 1888
cobertura_continua_real_1891,numeric,Cobertura contínua (inverso de distância) - real até 1891
cobertura_continua_real_1892,numeric,Cobertura contínua (inverso de distância) - real até 1892
cobertura_continua_real_1894,numeric,Cobertura contínua (inverso de distância) - real até 1894
cobertura_continua_real_1895,numeric,Cobertura contínua (inverso de distância) - real até 1895
cobertura_continua_real_1896,numeric,Cobertura contínua (inverso de distância) - real até 1896
