code_amc,area_amc_km2,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,densidade_buffer_real_1882,densidade_buffer_sintetica_1882,densidade_buffer_real_1883,densidade_buffer_sintetica_1883,densidade_buffer_real_1884,densidade_buffer_sintetica_1884,densidade_buffer_real_1885,densidade_buffer_sintetica_1885,densidade_buffer_real_1886,densidade_buffer_sintetica_1886,densidade_buffer_real_1887,densidade_buffer_sintetica_1887,densidade_buffer_real_1888,densidade_buffer_sintetica_1888,densidade_buffer_real_1891,densidade_buffer_sintetica_1891,densidade_buffer_real_1892,densidade_buffer_sintetica_1892,densidade_buffer_real_1894,densidade_buffer_sintetica_1894,densidade_buffer_real_1895,densidade_buffer_sintetica_1895,densidade_buffer_real_1896,densidade_buffer_sintetica_1896,densidade_buffer_real_1900,densidade_buffer_sintetica_1900,densidade_buffer_real_1901,densidade_buffer_sintetica_1901,densidade_buffer_real_1902,densidade_buffer_sintetica_1902,densidade_buffer_real_1904,densidade_buffer_sintetica_1904,densidade_buffer_real_1905,densidade_buffer_sintetica_1905,densidade_buffer_real_1906,densidade_buffer_sintetica_1906,densidade_buffer_real_1907,densidade_buffer_sintetica_1907,densidade_buffer_real_1908,densidade_buffer_sintetica_1908,densidade_buffer_real_1910,densidade_buffer_sintetica_1910,densidade_buffer_real_1911,densidade_buffer_sintetica_1911,densidade_buffer_real_1912,densidade_buffer_sintetica_1912,densidade_buffer_real_1913,densidade_buffer_sintetica_1913,densidade_buffer_real_1914,densidade_buffer_sintetica_1914,densidade_buffer_real_1915,densidade_buffer_sintetica_1915,densidade_buffer_real_1916,densidade_buffer_sintetica_1916,densidade_buffer_real_1917,densidade_buffer_sintetica_1917,densidade_buffer_real_1918,densidade_buffer_sintetica_1918,densidade_buffer_real_1919,densidade_buffer_sintetica_1919,densidade_buffer_real_1920,densidade_buffer_sintetica_1920,densidade_buffer_real_1921,densidade_buffer_sintetica_1921,densidade_buffer_real_1922,densidade_buffer_sintetica_1922,densidade_buffer_real_1923,densidade_buffer_sintetica_1923,densidade_buffer_real_1924,densidade_buffer_sintetica_1924,densidade_buffer_real_1925,densidade_buffer_sintetica_1925,densidade_buffer_real_1926,densidade_buffer_sintetica_1926,densidade_buffer_real_1927,densidade_buffer_sintetica_1927,densidade_buffer_real_1929,densidade_buffer_sintetica_1929,densidade_buffer_real_1931,densidade_buffer_sintetica_1931,densidade_buffer_real_1932,densidade_buffer_sintetica_1932,densidade_buffer_real_1933,densidade_buffer_sintetica_1933,densidade_buffer_real_1934,densidade_buffer_sintetica_1934,densidade_buffer_real_1936,densidade_buffer_sintetica_1936,densidade_buffer_real_1937,densidade_buffer_sintetica_1937,densidade_buffer_real_1940,densidade_buffer_sintetica_1940,densidade_buffer_real_1941,densidade_buffer_sintetica_1941,densidade_buffer_real_1944,densidade_buffer_sintetica_1944,densidade_buffer_real_1947,densidade_buffer_sintetica_1947,densidade_buffer_real_1948,densidade_buffer_sintetica_1948,densidade_buffer_real_1949,densidade_buffer_sintetica_1949,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,densidade_buffer_real_1951,densidade_buffer_sintetica_1951,densidade_buffer_real_1953,densidade_buffer_sintetica_1953,densidade_buffer_real_1955,densidade_buffer_sintetica_1955,densidade_buffer_real_1956,densidade_buffer_sintetica_1956,densidade_buffer_real_1957,densidade_buffer_sintetica_1957,densidade_buffer_real_1958,densidade_buffer_sintetica_1958,densidade_buffer_real_1961,densidade_buffer_sintetica_1961,densidade_buffer_real_1962,densidade_buffer_sintetica_1962,densidade_buffer_real_1966,densidade_buffer_sintetica_1966,densidade_buffer_real_1969,densidade_buffer_sintetica_1969,densidade_buffer_real_1972,densidade_buffer_sintetica_1972,densidade_buffer_real_1985,densidade_buffer_sintetica_1985,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,densidade_buffer_real_2003,densidade_buffer_sintetica_2003
3001,30178.028608364704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07772807830326338,0.10800621963687237,0.10416127872702313,0.12149839631726643,0.10416127872702313,0.12149891380960706
3002,373.2582773469803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017,0,0.6076030664586017
3003,2230.910170549793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0,1.584012809028286e-4,0
3004,1499.8585012291417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.026828593802447193,0,0.03232257208410088,0,0.03232257208410088,0,0.03232257208410088
3005,1950.2443830545894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19767007891482938,0,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938,0.052274406143962664,0.19767007891482938
3006,730.7344170017417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,15081.88035401608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0,0.09149485585354372,0
3008,16259.365407518051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07860194123411665,0.0739950090554522,0.07860194123411665,0.08705887167635445,0.07860194123411665,0.08705925721479217
3009,11298.292733249406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,7563.645163260072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053088636844865485,0,0.053091273327195536
