code_amc,densidade_sintetica_1858,densidade_sintetica_1860,densidade_sintetica_1862,densidade_sintetica_1863,densidade_sintetica_1876,densidade_sintetica_1881,densidade_sintetica_1882,densidade_sintetica_1883,densidade_sintetica_1884,densidade_sintetica_1885,densidade_sintetica_1886,densidade_sintetica_1887,densidade_sintetica_1888,densidade_sintetica_1894,densidade_sintetica_1896,densidade_sintetica_1901,densidade_sintetica_1902,densidade_sintetica_1904,densidade_sintetica_1905,densidade_sintetica_1906,densidade_sintetica_1907,densidade_sintetica_1910,densidade_sintetica_1912,densidade_sintetica_1913,densidade_sintetica_1915,densidade_sintetica_1916,densidade_sintetica_1917,densidade_sintetica_1919,densidade_sintetica_1920,densidade_sintetica_1921,densidade_sintetica_1923,densidade_sintetica_1925,densidade_sintetica_1926,densidade_sintetica_1927,densidade_sintetica_1931,densidade_sintetica_1933,densidade_sintetica_1934,densidade_sintetica_1937,densidade_sintetica_1941,densidade_sintetica_1947,densidade_sintetica_1948,densidade_sintetica_1949,densidade_sintetica_1950,densidade_sintetica_1951,densidade_sintetica_1956,densidade_sintetica_1957,densidade_sintetica_1958,densidade_sintetica_1962,densidade_sintetica_1966,densidade_sintetica_1969,densidade_sintetica_1972,densidade_sintetica_1985,densidade_sintetica_1996,densidade_sintetica_2003
3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1325176431173,21.8066033135481,24.4290273728309
3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035,67.5445421510035
3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,1.80173943251998,9.24657584279921,14.2098001163185,19.1730243898377
3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251,20.9358874364251
3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2591060113614,45.7174405017521,67.1280388082923
3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34458203327404,13.0337460998221
3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2479826684168,22.0799711140279,30.911959559639
3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875,9.5841121392875
3013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2378916044715,50.3964860074529,70.5550804104342
3015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551,31.7503074903551
3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,25.5119195947408,125.643617169016,192.398082218533,259.15254726805
3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
