id_deputado,ano_mes,siglaPartido,tamanho_bancada_mensal,is_mesa_diretora,sessoes_presente,total_sessoes_camara,taxa_presenca,vol_proposicoes_subst,data_primeiro_choque,tratado,cent_grau_rolling
4931,2011-02,PP,39,0,11,12,0.9167,0,,0,0.0
4931,2011-03,PP,41,0,13,78,0.1667,0,,0,0.0
4931,2011-04,PP,41,0,23,120,0.1917,1,,0,0.0
4931,2011-05,PP,41,0,33,161,0.205,0,,0,0.0
4931,2011-06,PP,41,0,28,177,0.1582,0,,0,0.0
4931,2011-07,PP,41,0,9,78,0.1154,0,,0,0.0
4931,2011-08,PP,42,0,28,174,0.1609,1,,0,1.0000000000000002
4931,2011-09,PP,42,0,27,129,0.2093,0,,0,1.0000000000000002
4931,2011-10,PP,41,0,26,142,0.1831,0,,0,1.0000000000000002
4931,2011-11,PP,41,0,36,175,0.2057,1,,0,1.999999999999997
4931,2011-12,PP,41,0,17,111,0.1532,0,,0,1.999999999999997
4931,2012-02,PP,39,0,11,25,0.44,2,,0,3.9999999999999982
4931,2012-03,PP,38,0,25,117,0.2137,1,,0,3.9999999999999982
4931,2012-04,PP,36,0,28,148,0.1892,0,,0,3.9999999999999982
4931,2012-05,PP,37,0,38,192,0.1979,0,,0,3.9999999999999982
4931,2012-06,PP,37,0,23,145,0.1586,0,,0,3.9999999999999982
4931,2012-07,PP,36,0,18,92,0.1957,3,,0,3.9999999999999982
4931,2012-08,PP,36,0,10,78,0.1282,1,,0,4.000000000000002
4931,2012-09,PP,36,0,13,68,0.1912,0,,0,4.000000000000002
4931,2012-10,PP,36,0,13,90,0.1444,0,,0,4.000000000000002
4931,2012-11,PP,36,0,37,155,0.2387,1,,0,3.999999999999999
4931,2012-12,PP,35,0,21,106,0.1981,0,,0,3.999999999999999
4931,2013-02,PP,39,0,11,30,0.3667,1,,0,1.9999999999999991
4931,2013-03,PP,39,0,23,102,0.2255,1,,0,1.9999999999999991
4931,2013-04,PP,39,0,29,163,0.1779,1,,0,1.9999999999999991
4931,2013-05,PP,39,0,33,169,0.1953,2,,0,1.9999999999999991
4931,2013-06,PP,38,0,33,156,0.2115,0,,0,1.9999999999999991
4931,2013-07,PP,38,0,25,110,0.2273,2,,0,1.9999999999999991
4931,2013-08,PP,38,0,30,165,0.1818,2,,0,0.9999999999999992
4931,2013-09,PP,38,0,40,172,0.2326,0,,0,0.9999999999999992
4931,2013-10,PP,38,0,44,209,0.2105,1,,0,0.9999999999999992
4931,2013-11,PP,38,0,31,186,0.1667,0,,0,0.0
4931,2013-12,PP,38,0,28,132,0.2121,0,,0,0.0
4931,2014-02,PP,37,0,23,51,0.451,0,,0,0.0
4931,2014-03,PP,39,0,22,115,0.1913,0,,0,0.0
4931,2014-04,PP,42,0,50,193,0.2591,1,,0,1.0
4931,2014-05,PP,40,0,47,189,0.2487,0,,0,1.0
4931,2014-06,PP,39,0,17,79,0.2152,0,,0,1.0
4931,2014-07,PP,36,0,21,91,0.2308,0,,0,1.0
4931,2014-08,PP,33,0,12,45,0.2667,0,,0,1.0
4931,2014-09,PP,28,0,9,26,0.3462,0,,0,1.0
4931,2014-10,PP,37,0,18,78,0.2308,0,,0,1.0
4931,2014-11,PP,40,0,40,170,0.2353,0,,0,1.0
4931,2014-12,PP,39,0,38,164,0.2317,0,,0,1.0
4931,2015-02,PP,51,0,12,17,0.7059,0,,0,1.0
4931,2015-03,PP,51,0,29,132,0.2197,3,,0,2.0
4931,2015-04,PP,51,0,26,167,0.1557,1,,0,2.0
4931,2015-05,PP,51,0,38,208,0.1827,1,,0,3.0
4931,2015-06,PP,51,0,30,158,0.1899,1,,0,4.000000000000002
4931,2015-07,PP,51,0,59,148,0.3986,0,,0,4.000000000000002
4931,2015-08,PP,51,0,76,205,0.3707,1,,0,4.000000000000002
4931,2015-09,PP,50,0,83,244,0.3402,1,,0,5.000000000000002
4931,2015-10,PP,50,0,77,232,0.3319,0,,0,5.000000000000002
4931,2015-11,PP,49,0,55,215,0.2558,0,,0,5.000000000000002
4931,2015-12,PP,49,0,17,186,0.0914,1,,0,5.999999999999998
