code_amc,ano,pib_total,pop_total,pib_percapita
3001,1970,257344.4625339231,104638,2459.3786438380234
3001,1980,1635332.719838055,255072,6411.259251654651
3001,1996,1571206.1973156303,453219,3466.7703633687693
3001,2000,2974077.077595125,485334,6127.897649031646
3001,2007,5427084.9201405095,513033,10578.432420800436
3001,2010,4596564.976,559010,8222.688281068316
3002,1970,4657.7844719351,3045,1529.6500728850901
3002,1980,8285.6041099139,3422,2421.2753097352133
3002,1996,7094.1453550381,4565,1554.0296506107559
3002,2000,12244.8680848193,4680,2616.4248044485685
3002,2007,19273.1821906267,5651,3410.5790462974164
3002,2010,24508.857,5905,4150.52616426757
3003,1970,38586.2708327422,39561,975.3613617639139
3003,1980,57640.2320039993,44351,1299.637708371836
3003,1996,55514.6676396257,45208,1227.9832693245821
3003,2000,102512.35883469749,44609,2298.019656004338
3003,2007,136372.5378115937,49484,2755.891557101158
3003,2010,209609.604,54086,3875.487261028732
3004,1970,15090.8079569913,16627,907.6085858538102
3004,1980,30055.8844823505,18509,1623.8524221919336
3004,1996,66632.1693027191,18943,3517.5088055070005
3004,2000,68465.7963237247,21291,3215.7153878974545
3004,2007,70158.9744155842,21349,3286.2885575710434
3004,2010,74901.257,21851,3427.8182691867646
3005,1970,33247.6515141503,16845,1973.7400720777855
3005,1980,41093.3348971316,18994,2163.4903073144997
3005,1996,28820.8051646668,19125,1506.9702046884602
3005,2000,48509.3536492803,18827,2576.5843548775856
3005,2007,60700.010552851,21645,2804.3432918850085
3005,2010,133380.563,23952,5568.660779893119
3006,1970,25318.8688417732,21345,1186.1732884410026
3006,1980,67476.8604707369,24722,2729.4256318557113
3006,1996,27331.9101732294,16939,1613.549216201039
3006,2000,19691.6030355788,8865,2221.275018113796
3006,2007,29235.6344736836,7365,3969.5362489726544
3006,2010,35996.674,11063,3253.7895688330473
3007,1970,632969.9594192979,321221,1970.5123868591963
3007,1980,1279033.6666990242,362492,3528.4466048878985
3007,1996,914890.2693500466,394858,2317.0108478238926
3007,2000,1233139.3022017558,426573,2890.8048615401253
3007,2007,1729575.3113382144,443209,3902.392125020508
3007,2010,2063943.328,470292,4388.642222278925
3008,1970,129020.1308231584,92847,1389.5993497168286
3008,1980,451817.2631980998,146958,3074.46524311776
3008,1996,290907.582702037,180618,1610.6234301234483
3008,2000,744353.6481280547,237247,3137.4628472775407
3008,2007,1151431.216616196,251771,4573.327415056524
3008,2010,1202264.221,269251,4465.217291672083
3009,1970,5314.1274906336,7209,737.1518228094882
3009,1980,20664.8141284362,7731,2672.9807435566163
3009,1996,25455.7289429936,10535,2416.3008014232178
3009,2000,37817.6254115213,10174,3717.085257668695
3009,2007,45894.9254782627,10304,4454.088264582949
3009,2010,98666.368,10766,9164.626416496378
3010,1970,18375.7140930878,13831,1328.5889735440533
3010,1980,32657.0929395099,17009,1919.9890022640898
3010,1996,55872.1379647515,29835,1872.7044734289088
3010,2000,91237.2217274595,31292,2915.672431530727
3010,2007,136369.13948878,35727,3816.9770618518205
3010,2010,144057.957,37932,3797.7949224928816
3011,1970,16156.1391868184,16350,988.1430695301774
3011,1980,39868.5846585728,19200,2076.4887843006663
3011,1996,31972.2224833125,20188,1583.7241174614871
3011,2000,52558.3178003012,22978,2287.3321350988426
3011,2007,82503.2966035419,23941,3446.1090432121423
3011,2010,93059.932,25291,3679.567118737891
3012,1970,7733.1112976227,6719,1150.9318793901919
3012,1980,21665.6635056221,8554,2532.810790930804
3012,1996,22488.3168517223,10315,2180.156747622133
3012,2000,38363.9601628846,10280,3731.9027395802136
3012,2007,52051.5827527608,12580,4137.645687818823
3012,2010,71494.742,13939,5129.11557500538
3013,1970,10051.4463165828,17054,589.3893700353465
3013,1980,27629.740146015,18855,1465.3800130477325
3013,1996,21351.8991131713,22570,946.030089196779
3013,2000,54122.464978539196,26630,2032.3869687772885
3013,2007,79962.9534766014,29242,2734.5240912591958
3013,2010,95431.671,31563,3023.5297975477615
3014,1970,62809.1661596806,50090,1253.9262559329327
3014,1980,210205.545919332,66869,3143.54253718961
3014,1996,127954.6326256171,85767,1491.8865370785627
3014,2000,251207.8493099117,93104,2698.1423924848737
3014,2007,354915.8643752043,93830,3782.5414512970724
3014,2010,412064.333,107805,3822.3118872037476
3015,1970,250036.4884702759,134494,1859.0902826168892
3015,1980,568519.97542749,179420,3168.654416606231
3015,1996,379841.0615508817,218143,1741.2479958141298
3015,2000,699058.6338383607,246403,2837.0540693025678
3015,2007,1174913.2652771536,264762,4437.620448845203
3015,2010,1372180.082,289960,4732.308187336184
3016,1970,27533.0604690783,17792,1547.4966540624043
3016,1980,69937.8716192008,22274,3139.888283164263
3016,1996,32574.3657636381,25155,1294.9459655590579
3016,2000,66568.8782905012,26366,2524.800056531184
3016,2007,80517.5698851489,27753,2901.220404466144
3016,2010,108964.77,28488,3824.935762426285
3017,1970,9299.1889980829,7644,1216.5344058193223
3017,1980,13948.4581986893,8906,1566.1866380742536
3017,1996,10992.4771812551,9750,1127.4335570518053
3017,2000,20748.4174437409,10142,2045.7915050030465
3017,2007,30809.3275240324,14249,2162.209805883388
3017,2010,34402.53,11407,3015.9139125098623
3018,1970,40232.7032458414,22041,1825.3574359530605
3018,1980,71074.5823020657,28328,2508.986949381026
3018,1996,88823.1839180955,42120,2108.8125336679846
3018,2000,171975.70470493363,44181,3892.5263055370774
3018,2007,243694.21245401,52531,4639.055271249548
3018,2010,263369.919,54501,4832.38691033192
3019,1970,10006.9054609882,11050,905.6023041618281
3019,1980,32207.4279167272,12287,2621.2605124706765
3019,1996,22696.9439382066,12722,1784.0704243205942
3019,2000,33950.2551355206,14293,2375.3064531953123
3019,2007,45670.5994681428,15407,2964.2759439308625
3019,2010,47589.11,15886,2995.663477275589
3020,1970,28349.1331580514,19385,1462.426265568811
3020,1980,116603.945169659,23703,4919.374980789731
3020,1996,252128.987258914,48344,5215.3108402059
3020,2000,869606.902598882,60163,14454.18118443033
3020,2007,792641.609761205,78845,10053.162657888326
3020,2010,1102443.053,83528,13198.484975098172
3021,1970,40765.8966715209,11452,3559.7185357597714
3021,1980,53280.6267572748,12172,4377.310775326553
3021,1996,25620.4747680639,14320,1789.139299445803
3021,2000,36342.4421205645,15371,2364.3511886386377
3021,2007,53665.4823285553,16565,3239.6910551497313
3021,2010,77841.971,17841,4363.094613530632
3022,1970,71772.0214949771,57801,1241.708992837098
3022,1980,111206.85153940169,66198,1679.9125583764114
3022,1996,109620.40196823,80944,1354.2745845057075
3022,2000,199591.11884531518,88923,2244.5387452663
3022,2007,323142.9496949562,106929,3022.0328413709676
3022,2010,376611.054,122237,3080.9906493124017
3023,1970,19598.5088369829,16383,1196.2710637235487
3023,1980,59931.7407227459,19870,3016.1922859962706
3023,1996,46048.6439749289,27029,1703.6754587638793
3023,2000,62340.9389076442,22856,2727.552454832175
3023,2007,103285.95430153041,27464,3760.7760814713956
3023,2010,115602.467,31097,3717.4797247322895
3024,1970,71070.248426356,44825,1585.5047055517234
3024,1980,122636.5279265811,60881,2014.364546025543
3024,1996,103864.7003296132,67970,1528.0962237695041
3024,2000,172090.9024305284,73507,2341.1498555311523
3024,2007,355305.951332787,79878,4448.1077559877185
3024,2010,337391.646,85664,3938.5464839372435
3025,1970,35519.566333214796,34234,1037.5523261440321
3025,1980,80703.616474788,37929,2127.754923008463
3025,1996,80837.7080491567,41164,1963.7962309094526
3025,2000,150086.15931485238,42559,3526.543370728926
3025,2007,140444.6423558047,44480,3157.4784702294223
3025,2010,199187.153,45665,4361.921668674039
3026,1970,18418.2583039441,18736,983.0411135751549
3026,1980,32276.0236866563,20192,1598.4560066687945
3026,1996,39299.9309218365,21240,1850.2792336081216
3026,2000,48477.5235898861,19700,2460.787999486604
3026,2007,53609.9979056482,20735,2585.483381029573
3026,2010,64657.456,20344,3178.2076287848995
3027,1970,72601.77559399701,46119,1574.2270125977798
3027,1980,145376.3928466878,51805,2806.2231994341823
3027,1996,76434.1621140755,37533,2036.4522450663549
3027,2000,152141.7264909201,45819,3320.4942598249654
3027,2007,250391.21571257839,40281,6216.1122045773045
3027,2010,302805.83900000004,44539,6798.667213004334
3028,1970,39629.0153080428,24991,1585.731475652947
3028,1980,83666.1733412107,31953,2618.413712052411
3028,1996,79233.3010824958,47039,1684.4172087522227
3028,2000,136300.8201981018,48890,2787.9079606893392
3028,2007,359001.920395159,49940,7188.664805669983
3028,2010,250410.031,51358,4875.774582343549
3029,1970,29020.476411753698,36945,785.5048426513384
3029,1980,86685.5437336061,43910,1974.1640567890254
3029,1996,75672.3385723409,51335,1474.0886056752877
3029,2000,137139.4361629404,60812,2255.137738652575
3029,2007,218218.2216134386,67007,3256.648135470005
3029,2010,260693.206,70668,3688.985198392483
3030,1970,15188.8211332539,19231,789.8092212185481
3030,1980,36082.4029597834,22165,1627.8999756274939
3030,1996,39169.4342716358,25091,1561.0949851195967
3030,2000,67890.8709551822,24126,2814.01272300349
3030,2007,100160.303544475,25274,3962.9779039516893
3030,2010,96591.336,27013,3575.735238588827
3031,1970,17337.5989695511,13587,1276.0432008207185
3031,1980,32273.073387769,17692,1824.1619595166742
3031,1996,34722.8842776312,21799,1592.8659240162942
3031,2000,54928.2192288671,21446,2561.233760555213
3031,2007,63425.6477058329,22279,2846.880367423713
3031,2010,79207.648,22899,3459.0003056902046
3032,1970,44865.4507285999,26997,1661.8680123198837
3032,1980,110896.165169525,41965,2642.587040856071
3032,1996,106157.899844255,52190,2034.0659100259627
3032,2000,154807.48267792718,54662,2832.0859587634404
3032,2007,218635.1015302925,53317,4100.663982037483
3032,2010,245607.842,53163,4619.901849030341
3033,1970,29977.3429337948,15729,1905.8645135606077
3033,1980,59376.2891786141,17197,3452.7120531845144
3033,1996,23568.606973688,19422,1213.5005135252807
3033,2000,39122.4433888355,21977,1780.153951350753
3033,2007,59834.234341529096,25908,2309.4887425323877
3033,2010,79935.793,26229,3047.61115559114
3034,1970,12674.975927301,13448,942.5175436719959
3034,1980,46241.6754544088,16508,2801.167643228059
3034,1996,22509.2136760758,15871,1418.2605806865224
3034,2000,37993.6749868343,13405,2834.291308230832
3034,2007,61665.5025417799,12842,4801.861278755638
3034,2010,70696.226,18338,3855.176464172756
3035,1970,18814.120400293,16058,1171.635346885851
3035,1980,62732.138219455,23142,2710.7483458411116
3035,1996,87182.4814839484,33825,2577.4569544404553
3035,2000,201474.15355476033,38726,5202.555222712398
3035,2007,338024.8368651325,42205,8009.118276629131
3035,2010,355962.57300000003,45713,7786.900290945684
3036,1970,67112.90077998729,34032,1972.0527967791281
3036,1980,273865.9545180642,77459,3535.624711370715
3036,1996,236073.2689729891,130662,1806.7477076195767
3036,2000,413251.1578046215,140621,2938.7584912966163
3036,2007,562710.4768699269,150141,3747.880171771381
3036,2010,745868.2289999999,162902,4578.631502375661
3037,1970,56712.6907801367,28815,1968.1655658558632
3037,1980,109705.178910541,34953,3138.6484396343944
3037,1996,206586.9386864944,51517,4010.0731542305334
3037,2000,200174.95663048798,51118,3915.9387423312337
3037,2007,280859.0719131417,54952,5110.989079799492
3037,2010,510273.4,64219,7945.832230336817
3038,1970,176827.243282255,88334,2001.8027405331468
3038,1980,388945.229281948,125509,3098.9429386095658
3038,1996,333281.23015776,146045,2282.0447817984864
3038,2000,542155.7873803205,154590,3507.056002201439
3038,2007,1001381.6230059955,159789,6266.89961765826
3038,2010,840088.446,172367,4873.835745821416
3039,1970,11932.9262172243,11400,1046.7479137916052
3039,1980,17657.0328065928,12809,1378.4864397371223
3039,1996,21734.1446555416,15605,1392.7680009959374
3039,2000,45334.3774631438,16173,2803.090178887269
3039,2007,61602.911384199106,16741,3679.762940338039
3039,2010,74350.657,16327,4553.846818153978
3040,1970,10345.5241857068,12377,835.8668648062372
3040,1980,34048.1891005578,16073,2118.3468612304982
3040,1996,22690.8042475225,17958,1263.5485158437746
3040,2000,40408.7073762093,20191,2001.3227366752164
3040,2007,50970.4541286183,22562,2259.128363115783
3040,2010,63023.265999999996,22105,2851.086451029179
3041,1970,57797.262402678,44997,1284.4692402310823
3041,1980,93288.3113975048,52646,1771.9923906375566
3041,1996,111070.729116821,59521,1866.0763279652729
3041,2000,182268.600041032,61322,2972.3198858653013
3041,2007,282000.003424787,67649,4168.5760827918675
3041,2010,331575.374,73350,4520.454996591684
3042,1970,21800.2085843917,16660,1308.535929435276
3042,1980,384535.312082227,24470,15714.561180311688
3042,1996,94766.2583875208,41504,2283.304220979202
3042,2000,179502.624315954,42214,4252.206005494717
3042,2007,159688.623017955,44031,3626.73168944505
3042,2010,192568.42,46750,4119.110588235294
3043,1970,29242.8806880911,22824,1281.2338191417412
3043,1980,69671.700869911,31365,2221.319970346278
3043,1996,56754.5527324108,37295,1521.7737694707278
3043,2000,103773.1610320069,40858,2539.8492591905356
3043,2007,161541.9290568772,43947,3675.835189134121
3043,2010,197914.34999999998,47658,4152.804356036761
3044,1970,29828.1823683767,33880,880.4067995388635
3044,1980,64171.8878064879,38096,1684.4783653530005
3044,1996,54910.5686348011,40827,1344.9572252382272
3044,2000,111906.5155129192,42867,2610.551601766375
3044,2007,132036.5525516503,44594,2960.8591414013163
3044,2010,149777.448,43592,3435.8930078913563
3045,1970,29296.6860674548,16315,1795.690227855029
3045,1980,49187.3942958002,18501,2658.6343600778446
3045,1996,34082.2408443417,19934,1709.754231179979
3045,2000,60684.58839991,21956,2763.918218250592
3045,2007,89960.8533674954,21479,4188.316651962167
3045,2010,95514.757,22681,4211.223358758432
3046,1970,9049.5949212493,15413,587.1403958508596
3046,1980,22173.149064994,7961,2785.2215883675417
3046,1996,16102.7318644778,8414,1913.8022182645354
3046,2000,20170.4806355366,9413,2142.832320783661
3046,2007,31697.2491559393,10384,3052.508585895541
3046,2010,33705.485,10649,3165.1314677434502
3047,1970,28978.8820253334,23210,1248.5515736895045
3047,1980,108988.187405358,42955,2537.264286005308
3047,1996,42744.1826228196,27699,1543.1669960222248
3047,2000,80711.1791073768,32295,2499.18498552026
3047,2007,112336.9941253353,28060,4003.4566687574948
3047,2010,129834.66200000001,30499,4257.0137381553495
3048,1970,26854.7891766109,17831,1506.0730848864841
3048,1980,41126.5936202517,24223,1697.832375025872
3048,1996,63460.1870129213,27412,2315.051328356971
3048,2000,135701.0041746031,28526,4757.098933415238
3048,2007,133939.6133273046,28664,4672.746766930805
3048,2010,180235.33800000002,28335,6360.873054526204
3049,1970,12581.6116746994,7245,1736.5923636576122
3049,1980,23838.687236721,9796,2433.5123761454674
3049,1996,46408.6326816433,13445,3451.739135860417
3049,2000,63710.7534147511,15205,4190.11860669195
3049,2007,85537.33566529049,16407,5213.465939250959
3049,2010,112872.27399999999,16531,6827.915673582965
3050,1970,8501.4526825372,8432,1008.2367982136146
3050,1980,24211.7551189835,12254,1975.82463840244
3050,1996,27043.5267332218,15863,1704.8179243032087
3050,2000,45414.68402576,14596,3111.4472475856396
3050,2007,52344.9054741896,14486,3613.482360499075
3050,2010,61971.454,15098,4104.613458736257
3051,1970,29612.3447878432,15881,1864.639807810793
3051,1980,43699.8644331868,18613,2347.8141316921938
3051,1996,23676.4048484762,16860,1404.2944749985884
3051,2000,40222.0522960002,16790,2395.5957293627275
3051,2007,49042.5963546151,16444,2982.4006540145406
3051,2010,55325.735,17482,3164.7257178812492
3052,1970,17404.7507562632,10722,1623.2746461726547
3052,1980,36713.6393460756,12051,3046.522226045606
3052,1996,12506.8129850191,9380,1333.348932304808
3052,2000,25395.3532807764,9100,2790.698162722681
3052,2007,34674.9975632603,9920,3495.463464038337
3052,2010,34675.499,10205,3397.8930916217546
3053,1970,30553.6012847184,20290,1505.8453072803547
3053,1980,39055.4973942452,21798,1791.7009539519772
3053,1996,32468.8604128161,21880,1483.9515727978107
3053,2000,54018.9721364878,23200,2328.403971400336
3053,2007,77030.6375444087,24928,3090.1250619547777
3053,2010,84654.969,26247,3225.3198079780545
3054,1970,27551.2159434396,20440,1347.9068465479259
3054,1980,53507.4348066021,28875,1853.071335293579
3054,1996,52414.237488411,38598,1357.9521604334682
3054,2000,104614.2579355174,39562,2644.311661076725
3054,2007,148323.0418480566,39441,3760.630862504921
3054,2010,173490.442,40944,4237.26167448222
3055,1970,8714.1795917133,6012,1449.4643366123255
3055,1980,11910.8176650704,5576,2136.0863818275466
3055,1996,10883.8648595686,6032,1804.3542539072614
3055,2000,17692.9732891592,6080,2910.028501506447
3055,2007,23098.7950534189,6254,3693.443404767973
3055,2010,26702.024,6140,4348.863843648209
3056,1970,6851.8000430913,9670,708.5625690890693
3056,1980,19530.7978325693,12414,1573.2880483783874
3056,1996,15542.3090547612,12757,1218.3357415349376
3056,2000,30425.3582389932,12641,2406.8790632855944
3056,2007,32210.9743118,12387,2600.3854292241867
3056,2010,42131.164,12081,3487.3904478106115
3057,1970,24171.0747099933,16242,1488.1833955173809
3057,1980,49537.1366459752,18325,2703.2543872292063
3057,1996,26721.99452861,18998,1406.5688245399517
3057,2000,49947.4831391806,21266,2348.701360819176
3057,2007,65478.6536219191,24275,2697.3698711398188
3057,2010,86634.754,26189,3308.0588796823095
3058,1970,15513.0279094731,15228,1018.7173568080574
3058,1980,35480.7580367374,19493,1820.179450917632
3058,1996,33446.8321938348,19867,1683.537131616993
3058,2000,40371.8454584896,21489,1878.7214602117176
3058,2007,57335.6380599093,24432,2346.743535523465
3058,2010,78390.651,25145,3117.544283157685
3059,1970,47965.8053555247,31589,1518.4338014981386
3059,1980,132037.770995401,44120,2992.6965320807117
3059,1996,103627.24919527289,62872,1648.2257474753928
3059,2000,161089.831164478,58895,2735.203857109738
3059,2007,259046.4996447663,72315,3582.195943369513
3059,2010,356423.68,86537,4118.7431965517635
3060,1970,29133.3893931729,15541,1874.6148505998906
3060,1980,56245.4662939634,16490,3410.8833410529655
3060,1996,27714.9221408174,14741,1880.1249671540195
3060,2000,38326.682874177,14609,2623.498040535081
3060,2007,64548.9940043785,15583,4142.270038142752
3060,2010,76916.504,15433,4983.8983995334675
3061,1970,23675.1552489625,17766,1332.6103371024708
3061,1980,50927.6070147042,18588,2739.811007892414
3061,1996,33257.2525013511,17524,1897.8117154388895
3061,2000,26534.9100412063,9833,2698.55690442452
3061,2007,42113.7566026593,9616,4379.550395451259
3061,2010,54106.969,10729,5043.057973716096
3062,1970,61706.001292737405,43528,1417.6162767124015
3062,1980,94638.09229729351,56886,1663.6446981206889
3062,1996,92594.16160563589,54534,1697.9161918369437
3062,2000,140337.4112600773,56732,2473.6905319762623
3062,2007,219623.2515359842,62222,3529.672005656909
3062,2010,244209.31100000002,63082,3871.299435655179
3063,1970,14447.4206809923,11824,1221.872520381622
3063,1980,37879.3580523744,15753,2404.580591149267
3063,1996,40366.3611013404,19965,2021.8563035983173
3063,2000,75378.5673547153,22552,3342.4338131746763
3063,2007,98770.7021340697,22618,4366.906982671752
3063,2010,115303.081,23654,4874.570093853048
3064,1970,8531.6092030411,7643,1116.264451529648
3064,1980,9988.5882116094,8068,1238.050100596108
3064,1996,43890.6103475688,9587,4578.138139936246
3064,2000,34142.0391444491,10024,3406.029443779839
3064,2007,54457.9180505808,10340,5266.723215723481
3064,2010,90656.054,11390,7959.267251975417
3065,1970,6599.9919089172,10232,645.0343929747067
3065,1980,19963.0926020427,11240,1776.0758542742617
3065,1996,19666.7465294104,12521,1570.7009447656258
3065,2000,30400.0386683432,13021,2334.6930856572612
3065,2007,44612.2440366955,14217,3137.950625075297
3065,2010,65683.211,17587,3734.7592539944276
3066,1970,9863.2781500603,8068,1222.5183626748017
3066,1980,15400.5969851039,9903,1555.1446011414623
3066,1996,13863.9972433665,10656,1301.0507923579676
3066,2000,31005.7714709674,11799,2627.8304492725993
3066,2007,53792.6517449524,13812,3894.631606208544
3066,2010,61918.162,15150,4087.0073927392737
3067,1970,97214.6575021122,92342,1052.7675110146217
3067,1980,245742.6787982624,100720,2439.8597974410486
3067,1996,180236.79226465052,107827,1671.5367418610415
3067,2000,246165.4690051979,112267,2192.678783660362
3067,2007,370261.2194936872,117756,3144.308735806984
3067,2010,397611.885,125345,3172.1399736726635
3068,1970,20777.3121354701,19200,1082.151673722401
3068,1980,28490.7121272311,23773,1198.4483290805156
3068,1996,43067.8042156055,24858,1732.5530700621732
3068,2000,59284.1380249989,26433,2242.8077791018386
3068,2007,81147.6480452035,28278,2869.638872805838
3068,2010,88794.812,31015,2862.963469289054
3069,1970,24096.0541122013,13378,1801.1701384512855
3069,1980,30156.8693181684,15493,1946.4835292176078
3069,1996,38676.8727899631,18316,2111.644070209822
3069,2000,51567.504487636,19906,2590.550813203858
3069,2007,82438.8271923092,19445,4239.589981604999
3069,2010,120781.085,20452,5905.587962057501
3070,1970,9661.6723538107,6336,1524.885156851436
3070,1980,19321.5322446568,8037,2404.072694370636
3070,1996,12156.3277817378,7595,1600.5698198469781
3070,2000,20188.7388993933,8289,2435.6060923384366
3070,2007,33199.9988951701,10003,3319.004188260532
3070,2010,43087.371,12464,3456.945683568678
3071,1970,4702.8581836558,4638,1013.9840844449761
3071,1980,5850.8376645107,4764,1228.1355299140848
3071,1996,8611.1460372554,4713,1827.105036548992
3071,2000,13943.2658752681,4543,3069.1758475166407
3071,2007,17582.7007457496,4892,3594.1743143396566
3071,2010,17673.678,4590,3850.4745098039216
3072,1970,137426.34294549702,85431,1608.623836142583
3072,1980,149507.1041943932,67666,2209.486362344356
3072,1996,137093.9609141925,77810,1761.9067075464914
3072,2000,211534.167986096,81247,2603.593584822775
3072,2007,286928.1980110478,77816,3687.264804295361
3072,2010,335190.563,84265,3977.8147866848635
3073,1970,20176.6814570572,13487,1496.0095986547935
3073,1980,50136.4165538343,17216,2912.198916928108
3073,1996,221830.507697102,70804,3133.0222543514774
3073,2000,249009.2094030435,93276,2669.5957095398976
3073,2007,333595.6439005458,122376,2725.9891147001517
3073,2010,444822.95800000004,131448,3384.0222597529064
3074,1970,10917.9913176011,10620,1028.0594461017984
3074,1980,24462.6295809914,14138,1730.2751153622437
3074,1996,27599.0107479264,15737,1753.7656953629282
3074,2000,48428.2614937088,17264,2805.1587982917513
3074,2007,56286.2473660743,18105,3108.8786172921455
3074,2010,59742.708,18764,3183.900447665743
3075,1970,17906.8588576573,10079,1776.6503480164001
3075,1980,40981.9057208419,13550,3024.494887147004
3075,1996,31613.7362828189,18521,1706.9130329258085
3075,2000,49427.2625812267,17854,2768.4139454030865
3075,2007,56345.3604636581,19453,2896.4869410197966
3075,2010,64808.124,20103,3223.8036114012834
3076,1970,102130.932892592,33054,3089.8206841106066
3076,1980,208671.819822134,48541,4298.877646157558
3076,1996,127418.012078488,55180,2309.1339630026823
3076,2000,203259.60317147532,56230,3614.789314804825
3076,2007,317289.69240305654,56284,5637.298209136816
3076,2010,364363.93299999996,58401,6239.001609561479
3077,1970,82645.3646927222,53831,1535.2745572759598
