serie,code_amc,ano,value
IMPPIB,3001,1999,209350.4960505374
IMPPIB,3001,2000,261241.0587678254
IMPPIB,3001,2001,308022.0138602388
IMPPIB,3001,2002,435514.6395423081
IMPPIB,3001,2003,416938.88805739913
IMPPIB,3001,2004,437267.236987662
IMPPIB,3001,2005,470634.6878985557
IMPPIB,3001,2006,548862.0890101368
IMPPIB,3001,2007,522593.8848416257
IMPPIB,3001,2008,498277.4517362106
IMPPIB,3001,2009,437678.99526115815
IMPPIB,3001,2010,462756
IMPPIB,3001,2011,531019.6414277821
IMPPIB,3001,2012,755825.5983002424
IMPPIB,3001,2013,778083.8162989358
IMPPIB,3001,2014,619546.7133700603
IMPPIB,3001,2015,647794.4028406673
IMPPIB,3001,2016,804169.4003395529
IMPPIB,3001,2017,742543.1973275462
IMPPIB,3001,2018,738659.1200604144
IMPPIB,3001,2019,877117.0211904368
IMPPIB,3001,2020,759051.6821793425
IMPPIB,3001,2021,834912.8452549743
IMPPIB,3002,1999,132.5816809588
IMPPIB,3002,2000,106.362062299
IMPPIB,3002,2001,131.0749282282
IMPPIB,3002,2002,238.651764997
IMPPIB,3002,2003,183.5788392549
IMPPIB,3002,2004,246.7644305614
IMPPIB,3002,2005,221.8040475353
IMPPIB,3002,2006,236.8372633951
IMPPIB,3002,2007,260.6127568864
IMPPIB,3002,2008,352.7318412386
IMPPIB,3002,2009,346.95468267514195
IMPPIB,3002,2010,383
IMPPIB,3002,2011,378.51304342262625
IMPPIB,3002,2012,686.7798484096893
IMPPIB,3002,2013,576.7838618288315
IMPPIB,3002,2014,652.8470781161856
IMPPIB,3002,2015,672.7620352751869
IMPPIB,3002,2016,778.3892990085745
IMPPIB,3002,2017,756.3309390085665
IMPPIB,3002,2018,744.3025850582161
IMPPIB,3002,2019,784.9311552992757
IMPPIB,3002,2020,892.8902280673032
IMPPIB,3002,2021,961.1562085588363
IMPPIB,3003,1999,1218.7392162138
IMPPIB,3003,2000,1135.3624164331
IMPPIB,3003,2001,1710.9805547183998
IMPPIB,3003,2002,2734.0210490687996
IMPPIB,3003,2003,2166.9013442258997
IMPPIB,3003,2004,2398.9548298428
IMPPIB,3003,2005,3028.9955666008
IMPPIB,3003,2006,3955.7483780719
IMPPIB,3003,2007,4233.6090448866
IMPPIB,3003,2008,4543.1312431438
IMPPIB,3003,2009,5545.853755885472
IMPPIB,3003,2010,4662
IMPPIB,3003,2011,6633.2102853452925
IMPPIB,3003,2012,6420.493551695564
IMPPIB,3003,2013,5042.284298305012
IMPPIB,3003,2014,5064.913037678791
IMPPIB,3003,2015,6998.508226282653
IMPPIB,3003,2016,7338.555347132185
IMPPIB,3003,2017,7608.591339508508
IMPPIB,3003,2018,9452.232907493837
IMPPIB,3003,2019,9509.634791295806
IMPPIB,3003,2020,7631.256257731247
IMPPIB,3003,2021,7189.765868976782
IMPPIB,3004,1999,891.3962307773
IMPPIB,3004,2000,711.0090309822
IMPPIB,3004,2001,970.9982457475
IMPPIB,3004,2002,1224.9446849658
IMPPIB,3004,2003,832.7119497461
IMPPIB,3004,2004,1172.3956812233
IMPPIB,3004,2005,1487.1137240331
IMPPIB,3004,2006,2216.3300730084
IMPPIB,3004,2007,2326.6892426921
IMPPIB,3004,2008,1999.6681848573
IMPPIB,3004,2009,1989.568258465267
IMPPIB,3004,2010,2263
IMPPIB,3004,2011,6394.100826207585
IMPPIB,3004,2012,6068.978585697579
IMPPIB,3004,2013,2382.7140223135866
IMPPIB,3004,2014,1903.2152107793884
IMPPIB,3004,2015,2286.430811016792
IMPPIB,3004,2016,2767.8178578438556
IMPPIB,3004,2017,3057.7554225127883
IMPPIB,3004,2018,3476.73048583055
