code_amc,ano,pop_rural,pop_urbana,pop_total,tx_urbanizacao
3001,1940,15122,3003,18125,0.16568275862068965
3001,1950,19565,4768,24333,0.19594788969711913
3001,1960,38962,13510,52472,0.25747065101387406
3001,1970,63350,41288,104638,0.39457940709875955
3001,1980,134886,120186,255072,0.4711846066992849
3001,1991,155590,274224,429814,0.6380062073361966
3001,1996,168314,284905,453219,0.6286254548022038
3001,2000,97962,387372,485334,0.7981554970391525
3001,2007,101478,411555,513033,0.8021998584886353
3001,2010,113218,445792,559010,0.79746695050178
3001,2022,81157,511693,592850,0.863107025385848
3002,1970,2663,382,3045,0.12545155993431856
3002,1980,2836,586,3422,0.1712448860315605
3002,1991,2991,1589,4580,0.34694323144104805
3002,1996,2805,1760,4565,0.3855421686746988
3002,2000,2425,2255,4680,0.48183760683760685
3002,2007,2588,3063,5651,0.5420279596531588
3002,2010,2671,3234,5905,0.5476714648602878
3002,2022,3109,3035,6144,0.4939778645833333
3003,1940,20527,3001,23528,0.12755015300918054
3003,1950,26866,1895,28761,0.06588783421995063
3003,1960,28607,2084,30691,0.0679026424684761
3003,1970,34702,4859,39561,0.12282298222997397
3003,1980,37814,6537,44351,0.14739239250524228
3003,1991,35525,8504,44029,0.19314542687773967
3003,1996,35776,9432,45208,0.20863563970978588
3003,2000,33020,11589,44609,0.2597906252101594
3003,2007,36467,13017,49484,0.26305472475951824
3003,2010,38908,15178,54086,0.2806271493547314
3003,2022,37001,14193,51194,0.27723952025628
3004,1940,9237,1842,11079,0.1662604928242621
3004,1950,11517,3303,14820,0.2228744939271255
3004,1960,14275,1814,16089,0.11274784013922556
3004,1970,14622,2005,16627,0.1205869970529861
3004,1980,16363,2146,18509,0.11594359500783402
3004,1991,15594,3993,19587,0.2038597028641446
3004,1996,14050,4893,18943,0.25830121944781714
3004,2000,15626,5665,21291,0.2660748673148279
3004,2007,15375,5974,21349,0.27982575296266804
3004,2010,15452,6399,21851,0.2928470092901927
3004,2022,13480,4987,18467,0.27004927708886123
3005,1970,16629,216,16845,0.012822796081923419
3005,1980,17412,1582,18994,0.08328945982941982
3005,1991,14083,5437,19520,0.2785348360655738
3005,1996,13232,5893,19125,0.3081307189542484
3005,2000,11452,7375,18827,0.3917246507675147
3005,2007,10849,10796,21645,0.4987756987756988
3005,2010,10318,13634,23952,0.5692217768871075
3005,2022,7570,15716,23286,0.674911964270377
3006,1970,19519,1826,21345,0.08554696650269383
3006,1980,22748,1974,24722,0.07984790874524715
3006,1991,17468,2535,20003,0.12673099035144728
3006,1996,14070,2869,16939,0.1693724541000059
3006,2000,5971,2894,8865,0.32645234066553863
3006,2007,4643,2722,7365,0.3695858791581806
3006,2010,6480,4583,11063,0.41426376208984905
3006,2022,3481,2966,6447,0.4600589421436327
3007,1940,116830,11751,128581,0.09138986319907295
3007,1950,160377,20041,180418,0.11108093427485062
3007,1960,275186,38589,313775,0.12298302924069796
3007,1970,244331,76890,321221,0.23936791181149428
3007,1980,239932,122560,362492,0.3381040133299493
3007,1991,199556,192066,391622,0.4904372073070461
3007,1996,177116,217742,394858,0.5514438101798621
3007,2000,165926,260647,426573,0.611025545451775
3007,2007,160617,282592,443209,0.6376043807774662
3007,2010,164642,305650,470292,0.6499153717265018
3007,2022,144290,325358,469648,0.692769904268729
3008,1940,8839,1125,9964,0.11290646326776395
3008,1950,9591,1680,11271,0.14905509715198295
3008,1960,73637,8807,82444,0.10682402600553102
3008,1970,76298,16549,92847,0.17823946923433176
3008,1980,121878,25080,146958,0.17066100518515495
3008,1991,133707,41375,175082,0.236317839640854
3008,1996,134753,45865,180618,0.25393371646236806
3008,2000,139575,97672,237247,0.41168908352898037
3008,2007,140833,110938,251771,0.44063057302072123
3008,2010,144428,124823,269251,0.46359344997790164
3008,2022,100598,140367,240965,0.5825202830286557
3009,1940,9294,822,10116,0.08125741399762752
3009,1950,9256,1127,10383,0.10854281036309352
3009,1960,10252,1393,11645,0.11962215543151568
3009,1970,5891,1318,7209,0.18282702177833263
3009,1980,5502,2229,7731,0.2883197516492045
3009,1991,5828,4508,10336,0.4361455108359133
3009,1996,5065,5470,10535,0.5192216421452301
3009,2000,4136,6038,10174,0.5934735600550423
3009,2007,4044,6260,10304,0.6075310559006211
3009,2010,3738,7028,10766,0.6527958387516255
3009,2022,2747,8362,11109,0.7527230173733009
3010,1960,8948,1624,10572,0.15361331819901627
3010,1970,11899,1932,13831,0.13968621213216686
3010,1980,14139,2870,17009,0.16873419954141924
3010,1991,15758,7344,23102,0.3178945545840187
3010,1996,19750,10085,29835,0.3380258086140439
3010,2000,20474,10818,31292,0.3457113639268823
3010,2007,21480,14247,35727,0.3987740364430263
3010,2010,22624,15308,37932,0.4035642729094169
3010,2022,21283,15802,37085,0.426102197654038
3011,1940,11832,1137,12969,0.0876705991209808
3011,1950,12392,1870,14262,0.13111765530781097
3011,1960,16697,1990,18687,0.10649114357574785
3011,1970,14061,2289,16350,0.14
3011,1980,16139,3061,19200,0.15942708333333333
3011,1991,15167,4361,19528,0.22332036050798854
3011,1996,15319,4869,20188,0.24118288091935802
3011,2000,16986,5992,22978,0.2607711724257986
3011,2007,17486,6455,23941,0.2696211519986634
3011,2010,18276,7015,25291,0.2773713969396228
3011,2022,17037,8285,25322,0.32718584629966035
3012,1970,6064,655,6719,0.09748474475368359
3012,1980,7039,1515,8554,0.17711012391863457
3012,1991,6980,3269,10249,0.3189579471167919
3012,1996,6454,3861,10315,0.37430925836160933
3012,2000,5679,4601,10280,0.447568093385214
3012,2007,6472,6108,12580,0.48553259141494437
3012,2010,6775,7164,13939,0.5139536552119951
3012,2022,6077,7716,13793,0.5594141956064671
3013,1970,15761,1293,17054,0.07581798991438958
3013,1980,16694,2161,18855,0.11461150888358526
3013,1991,17875,4330,22205,0.19500112587255122
3013,1996,16752,5818,22570,0.2577758085954807
3013,2000,13428,13202,26630,0.49575666541494556
3013,2007,13773,15469,29242,0.5289993844470282
3013,2010,13715,17848,31563,0.5654722301428888
3013,2022,13872,19937,33809,0.5896950516134757
3014,1940,2166,898,3064,0.29308093994778067
3014,1950,6045,585,6630,0.08823529411764706
3014,1960,36054,1123,37177,0.03020684832019797
3014,1970,48153,1937,50090,0.038670393292074265
3014,1980,63458,3411,66869,0.051010184091282954
3014,1991,51499,31875,83374,0.38231343104564974
3014,1996,50283,35484,85767,0.4137255587813495
3014,2000,48443,44661,93104,0.4796893796184912
3014,2007,47558,46272,93830,0.4931471810721518
3014,2010,55514,52291,107805,0.48505171374240524
3014,2022,39419,51027,90446,0.5641708864958097
3015,1940,57371,5460,62831,0.08689977877162547
3015,1950,51046,8943,59989,0.14907733084398805
3015,1960,99089,9899,108988,0.09082651301060667
3015,1970,114552,19942,134494,0.14827427245825092
3015,1980,135785,43635,179420,0.24320031211682086
3015,1991,144957,81066,226023,0.3586626139817629
3015,1996,124635,93508,218143,0.42865459813058404
3015,2000,131818,114585,246403,0.46503086407227184
3015,2007,131787,132975,264762,0.5022435243728329
3015,2010,138939,151021,289960,0.5208339081252586
3015,2022,126561,172670,299231,0.5770458274710842
3016,1940,6940,4019,10959,0.3667305411077653
3016,1950,9468,3766,13234,0.28457004684902526
3016,1960,11693,4308,16001,0.2692331729266921
3016,1970,11903,5889,17792,0.33099145683453235
3016,1980,13595,8679,22274,0.38964712220526176
3016,1991,11951,12875,24826,0.5186095222750342
3016,1996,11132,14023,25155,0.5574637249055854
3016,2000,10913,15453,26366,0.5860957293484033
3016,2007,11338,16415,27753,0.5914675890894678
3016,2010,11005,17483,28488,0.6136969952260601
3016,2022,11978,17494,29472,0.5935803474484256
3017,1940,5546,1192,6738,0.17690709409320274
3017,1950,7626,621,8247,0.07530010913059294
3017,1960,11317,782,12099,0.06463344078022977
3017,1970,6893,751,7644,0.09824699110413396
3017,1980,7987,919,8906,0.10318886144172468
3017,1991,8093,1265,9358,0.13517845693524258
3017,1996,8459,1291,9750,0.13241025641025642
3017,2000,8940,1202,10142,0.11851705777953067
3017,2007,12408,1841,14249,0.1292020492666152
3017,2010,6704,4703,11407,0.41229069869378454
3017,2022,6920,4870,11790,0.41306191687871074
3018,1940,16033,4080,20113,0.20285387560284393
3018,1950,19570,5316,24886,0.21361408020573816
3018,1960,24493,6901,31394,0.2198190737083519
3018,1970,13488,8553,22041,0.3880495440315775
3018,1980,16675,11653,28328,0.41135978537136403
3018,1991,21221,19695,40916,0.48135203832241663
3018,1996,22145,19975,42120,0.4742402659069326
3018,2000,20524,23657,44181,0.5354564179172042
3018,2007,27439,25092,52531,0.4776608098075422
3018,2010,27925,26576,54501,0.48762408029210474
3018,2022,18049,37392,55441,0.6744467091141935
3019,1940,6476,896,7372,0.12154096581660337
3019,1950,7617,1344,8961,0.14998326079678606
3019,1960,7509,2162,9671,0.22355495812222106
3019,1970,9639,1411,11050,0.1276923076923077
3019,1980,10665,1622,12287,0.13200944087246683
3019,1991,9779,2259,12038,0.1876557567702276
3019,1996,9975,2747,12722,0.21592516899858513
3019,2000,10301,3992,14293,0.2792975582452949
3019,2007,10829,4578,15407,0.2971376646978646
3019,2010,10577,5309,15886,0.3341936296109782
3019,2022,10314,5059,15373,0.32908345801079814
3020,1940,10735,2165,12900,0.16782945736434107
3020,1950,13294,3528,16822,0.2097253596480799
3020,1960,12073,4572,16645,0.27467708020426557
3020,1970,12277,7108,19385,0.366675264379675
3020,1980,10189,13514,23703,0.5701388009956545
3020,1991,11015,30633,41648,0.7355215136381099
3020,1996,10749,37595,48344,0.7776559655800099
3020,2000,10019,50144,60163,0.8334690756777421
3020,2007,12582,66263,78845,0.8404210793328682
3020,2010,10757,72771,83528,0.8712168374676755
3020,2022,12265,89502,101767,0.87947959554669
3021,1940,7085,791,7876,0.10043169121381412
3021,1950,8045,1086,9131,0.11893549446938999
3021,1960,7269,1922,9191,0.2091176150582091
3021,1970,8729,2723,11452,0.23777506112469438
3021,1980,7890,4282,12172,0.3517909957279001
3021,1991,7834,5666,13500,0.4197037037037037
3021,1996,7159,7161,14320,0.5000698324022347
3021,2000,7677,7694,15371,0.5005529893956151
3021,2007,7870,8695,16565,0.5249019015997586
3021,2010,7503,10338,17841,0.5794518244493022
3021,2022,6488,12496,18984,0.6582385166455963
3022,1940,26764,3808,30572,0.12455841946879498
3022,1950,33082,6064,39146,0.1549072702191795
3022,1960,37917,7377,45294,0.16286925420585507
3022,1970,47343,10458,57801,0.18093112575906992
3022,1980,53390,12808,66198,0.1934801655639143
3022,1991,55443,17510,72953,0.24001754554302085
3022,1996,60016,20928,80944,0.25854912037952166
3022,2000,60712,28211,88923,0.3172520045432565
3022,2007,72081,34848,106929,0.32589849339281207
3022,2010,76577,45660,122237,0.3735366542045371
3022,2022,71599,64402,136001,0.4735406357306196
3023,1940,6989,833,7822,0.10649450268473536
3023,1950,9887,1142,11029,0.10354519902076344
3023,1960,11801,1100,12901,0.08526470816215798
3023,1970,14779,1604,16383,0.09790636635536837
3023,1980,16968,2902,19870,0.14604932058379466
3023,1991,16488,6900,23388,0.29502308876346844
3023,1996,17418,9611,27029,0.3555810425838914
3023,2000,10121,12735,22856,0.5571841092054602
