serie,code_amc,ano,value
area_plantada_ha,3001,1988,114751
area_plantada_ha,3001,1989,117185
area_plantada_ha,3001,1990,95006
area_plantada_ha,3001,1991,69828
area_plantada_ha,3001,1992,75561
area_plantada_ha,3001,1993,77789
area_plantada_ha,3001,1994,80287
area_plantada_ha,3001,1995,81823
area_plantada_ha,3001,1996,40925
area_plantada_ha,3001,1997,42136
area_plantada_ha,3001,1998,44178
area_plantada_ha,3001,1999,35834
area_plantada_ha,3001,2000,40785
area_plantada_ha,3001,2001,40661
area_plantada_ha,3001,2002,41259
area_plantada_ha,3001,2003,49156
area_plantada_ha,3001,2004,52603
area_plantada_ha,3001,2005,52307
area_plantada_ha,3001,2006,53115
area_plantada_ha,3001,2007,55686
area_plantada_ha,3001,2008,45551
area_plantada_ha,3001,2009,41629
area_plantada_ha,3001,2010,42243
area_plantada_ha,3001,2011,36783
area_plantada_ha,3001,2012,33839
area_plantada_ha,3001,2013,40015
area_plantada_ha,3001,2014,46256
area_plantada_ha,3001,2015,47353
area_plantada_ha,3001,2016,51485
area_plantada_ha,3001,2017,59485
area_plantada_ha,3001,2018,79404
area_plantada_ha,3001,2019,95393
area_plantada_ha,3001,2020,104858
area_plantada_ha,3001,2021,114680
area_plantada_ha,3001,2022,133596
area_plantada_ha,3001,2023,160311
area_plantada_ha,3001,2024,167788
area_plantada_ha,3002,1988,1536
area_plantada_ha,3002,1989,1611
area_plantada_ha,3002,1990,1635
area_plantada_ha,3002,1991,1516
area_plantada_ha,3002,1992,1492
area_plantada_ha,3002,1993,1282
area_plantada_ha,3002,1994,1331
area_plantada_ha,3002,1995,1456
area_plantada_ha,3002,1996,1078
area_plantada_ha,3002,1997,1049
area_plantada_ha,3002,1998,1083
area_plantada_ha,3002,1999,886
area_plantada_ha,3002,2000,1214
area_plantada_ha,3002,2001,1297
area_plantada_ha,3002,2002,1389
area_plantada_ha,3002,2003,1498
area_plantada_ha,3002,2004,1583
area_plantada_ha,3002,2005,1672
area_plantada_ha,3002,2006,1709
area_plantada_ha,3002,2007,1985
area_plantada_ha,3002,2008,1951
area_plantada_ha,3002,2009,2181
area_plantada_ha,3002,2010,2520
area_plantada_ha,3002,2011,2341
area_plantada_ha,3002,2012,2512
area_plantada_ha,3002,2013,2527
area_plantada_ha,3002,2014,2429
area_plantada_ha,3002,2015,3114
area_plantada_ha,3002,2016,4868
area_plantada_ha,3002,2017,6388
area_plantada_ha,3002,2018,6691
area_plantada_ha,3002,2019,7306
area_plantada_ha,3002,2020,7996
area_plantada_ha,3002,2021,10096
area_plantada_ha,3002,2022,10586
area_plantada_ha,3002,2023,8452
area_plantada_ha,3002,2024,11476
area_plantada_ha,3003,1988,13493
area_plantada_ha,3003,1989,14977
area_plantada_ha,3003,1990,14828
area_plantada_ha,3003,1991,16246
area_plantada_ha,3003,1992,17146
area_plantada_ha,3003,1993,16686
area_plantada_ha,3003,1994,16050
area_plantada_ha,3003,1995,17891
area_plantada_ha,3003,1996,10542
area_plantada_ha,3003,1997,10415
area_plantada_ha,3003,1998,10480
area_plantada_ha,3003,1999,10309
area_plantada_ha,3003,2000,10440
area_plantada_ha,3003,2001,10517
