"code_amc","x","y","sabem_7a14","nsabem_7a14","sabem_15a","nsabem_15a","numeroestabelecimento","commaquinas","cominstruagra","fabeofi","casaneg","popu"
3001,-385149.610664923,9577683.61086525,185,1815,507,1493,260,11,0,0,23,16776
3002,22645.8213591728,9532812.29591259,65.9002145364376,952.981485099017,133.071467375625,887.02694408653,75.4717864878488,7.28749542244942,0.250706615921963,1.8319030534749,20.2557237208751,13721.5496897134
3003,161251.083330241,9671488.23484914,59,941,150,850,31,16,1,0,0,15265
3004,-115953.615037613,9734139.36113066,164,836,266,734,53,0,0,0,16,10885
3005,13253.763229409,9500829.68555142,66.9150229646881,977.131363832479,141.059516066031,903.113953862436,118.758030215193,10.3869241875854,0.788696107342619,5.52519415657132,39.1546378966322,22586.5473724608
3006,-222480.372479594,9541414.82880968,107.467373177119,1076.85264563143,260.815326054646,909.709856624869,96.21948853517,14.1352653175743,0.303656768385848,12.4566428038663,44.9163666210064,18774.707547303
3007,-87284.4178174426,9520078.33036696,259,3741,523,3477,427,88,3,12,146,66006
3008,-282562.244419883,9514620.16737767,120.711616016104,1189.60247206755,296.367263800129,1004.09591026422,130.965822312883,13.998020171638,0.352816364742529,10.5299890912952,46.4243246627287,20672.0075388077
3009,-293704.849971273,8940699.26629981,74,926,185,815,0,0,0,0,0,9321
3010,-342572.723157479,9411397.82324908,125.926241051566,1247.63818919526,341.642508977099,1024.45805116864,222.255036809759,13.4527764660431,0.171260120779561,3.68448819159765,44.2417440534144,22363.2638266899
3011,-122056.945170582,9638994.29322985,58,942,215,785,133,7,0,95,4,10262
3012,43383.7917094619,9607268.1565925,59.4242186577114,962.272473001266,135.487383580418,884.845667133854,50.3039721989034,13.0734926343064,0.104729752220619,2.76396150004044,22.4333153986799,15066.0272586341
3013,-183931.677446377,9817860.86302516,109.160561411257,893.488986789613,200.879932962612,799.065076429918,314.692587035657,16.6737491282856,0.856993476198743,233.159145673324,83.1713874359268,24978.3044360626
3014,-255614.170092089,9629898.46515497,118.32163859319,960.710736569195,270.781537892696,806.435648925373,58.1497819922653,11.0913425738063,0.307754058571345,8.29465059498476,44.413021911174,16843.1544859556
3015,-242157.60156311,9362416.24249636,164,1836,452,1548,311,5,0,1,82,42015
3016,-137172.087339045,9607489.63974504,179,821,426,574,144,19,0,9,29,6187
3017,-67937.559489612,9687084.06754417,147.582425290123,795.693160108819,265.972419810611,680.134544486039,99.0471872797556,19.1421660862463,0.0620150617411655,32.0988719283201,93.0698801142624,22487.9981057995
3018,-87638.3600049612,9673702.95409485,117,883,210,790,186,10,0,5,26,17153
3019,-123223.534597776,9690128.69836342,151.277024876267,855.770762574177,294.551720378957,720.056441810749,79.6054004916855,12.6197424040553,0.260892266911924,25.7952620076398,93.8919853399531,23472.8813383103
3020,-310771.951201988,9081933.66678603,90,910,210,790,223,21,0,2,29,11253
3021,36228.6895564327,9269739.09169892,55,945,182,818,93,18,0,1,16,7494
3022,87069.3211676003,9682377.521295,131,1869,308,1692,2,1,1,0,9,9868
3023,13202.3549387156,9640690.92122779,66.897457243612,960.112136954896,149.180729756101,873.472701280711,54.4349725753297,13.6527852844979,0.103508047051444,10.2947580167721,30.2045255788978,14717.4401433958
