"variavel","n_na_original","n_negativos","escala","loo_rmse_rel_pct"
"pib_1920",818,0,"LOG",136.4
"pib_1939",758,0,"LOG",100.2
"pib_1949",736,0,"LOG",137.5
"pib_1959",451,0,"LOG",1030.3
"pibag_1920",819,0,"LOG",330.4
"pibag_1939",758,0,"LOG",409.2
"pibag_1949",736,0,"LOG",151.6
"pibag_1959",452,0,"LOG",1199.2
"pibg_1920",824,0,"LOG",223.6
"pibg_1939",758,0,"LOG",83.2
"pibi_1920",818,0,"LOG",970.5
"pibi_1939",918,1,"NÍVEL",2645.7
"pibi_1949",752,2,"NÍVEL",4244.8
"pibi_1959",497,0,"LOG",3076.3
"pibse_1920",818,0,"LOG",148.3
"pibse_1939",758,0,"LOG",102.7
"pibse_1949",741,0,"LOG",535.9
"pibse_1959",484,0,"LOG",918.5
"pop_urbana_1940",758,0,"LOG",132.6
"pop_rural_1940",759,0,"LOG",78.7
"pop_total_1940",759,0,"LOG",67.6
"tx_urbanizacao_1940",759,0,"LOG",76.4
"pop_urbana_1950",735,0,"LOG",127.4
"pop_rural_1950",735,0,"NÍVEL",Inf
"pop_total_1950",735,0,"LOG",169.7
"tx_urbanizacao_1950",735,0,"LOG",69.8
"pop_urbana_1960",451,0,"LOG",107.1
"pop_rural_1960",451,0,"LOG",97.3
"pop_total_1960",451,0,"LOG",97.3
"tx_urbanizacao_1960",451,0,"LOG",37.8
"pop_rural_1970",1,0,"LOG",103.6
"pop_total_1970",1,0,"LOG",95.9
"tx_urbanizacao_1970",1,0,"LOG",92
"pop_rural_1980",3,0,"LOG",107.9
"pop_total_1980",3,0,"LOG",95.6
"tx_urbanizacao_1980",3,0,"LOG",80.5
"pop_rural_1991",9,0,"LOG",185.3
"pop_total_1991",9,0,"LOG",95
"tx_urbanizacao_1991",9,0,"LOG",70.2
"pop_rural_1996",9,0,"LOG",157.6
"pop_total_1996",9,0,"LOG",95.4
"tx_urbanizacao_1996",9,0,"LOG",75.9
"pop_rural_2000",8,0,"LOG",306.9
"pop_total_2000",8,0,"LOG",98.3
"tx_urbanizacao_2000",8,0,"LOG",47.4
"pop_urbana_2007",10,0,"LOG",138.9
"pop_rural_2007",17,0,"LOG",1037.5
"pop_total_2007",17,0,"LOG",97.2
"tx_urbanizacao_2007",17,0,"LOG",40.8
"pop_rural_2022",7,0,"LOG",3222.2
"pop_total_2022",7,0,"LOG",105.5
"tx_urbanizacao_2022",7,0,"LOG",31.6
"pib_percapita_1970",1,3,"NÍVEL",73.2
"pib_percapita_1980",3,4,"NÍVEL",133.4
"pib_percapita_1996",9,1,"NÍVEL",84
"pib_percapita_2000",8,0,"LOG",30.4
"pib_percapita_2007",17,0,"LOG",39
"area_plantada_ha_1988",338,0,"LOG",983.6
"area_plantada_ha_1989",338,0,"LOG",890.5
"area_plantada_ha_1990",339,0,"LOG",469.2
"area_plantada_ha_1991",338,0,"LOG",438
"area_plantada_ha_1992",339,0,"LOG",383.6
"area_plantada_ha_1993",341,0,"LOG",629.3
"area_plantada_ha_1994",339,0,"LOG",376.7
"area_plantada_ha_1995",339,0,"LOG",390.9
"area_plantada_ha_1996",339,0,"LOG",226.1
"area_plantada_ha_1997",339,0,"LOG",252.1
"area_plantada_ha_1998",339,0,"LOG",413.3
"area_plantada_ha_1999",339,0,"LOG",1625
"area_plantada_ha_2000",339,0,"LOG",339
"area_plantada_ha_2001",339,0,"LOG",2856.9
"area_plantada_ha_2002",339,0,"LOG",407.2
"area_plantada_ha_2003",340,0,"LOG",447.9
"area_plantada_ha_2004",339,0,"LOG",523.2
"area_plantada_ha_2005",339,0,"LOG",507.5
"area_plantada_ha_2006",339,0,"LOG",509.6
"area_plantada_ha_2007",340,0,"LOG",532.3
"area_plantada_ha_2008",340,0,"LOG",455
"area_plantada_ha_2009",340,0,"LOG",525.2
"area_plantada_ha_2010",340,0,"LOG",531
"area_plantada_ha_2011",340,0,"LOG",338.3
"area_plantada_ha_2012",340,0,"LOG",400.6
"area_plantada_ha_2013",351,0,"LOG",1475.3
"area_plantada_ha_2014",340,0,"LOG",1019
"area_plantada_ha_2015",341,0,"LOG",1779.6
"area_plantada_ha_2016",342,0,"LOG",1704.8
"area_plantada_ha_2017",341,0,"LOG",1749.1
"area_plantada_ha_2018",341,0,"LOG",2235.9
"area_plantada_ha_2019",342,0,"LOG",2006.2
"area_plantada_ha_2020",342,0,"LOG",1762.7
"area_plantada_ha_2021",342,0,"LOG",1708.8
"area_plantada_ha_2022",342,0,"LOG",2082.9
"area_plantada_ha_2023",342,0,"LOG",7961.1
"area_plantada_ha_2024",343,0,"LOG",9658.8
"valor_producao_mil_reais_1974",337,0,"LOG",157.5
"valor_producao_mil_reais_1975",338,0,"LOG",175.8
"valor_producao_mil_reais_1976",338,0,"LOG",176.5
"valor_producao_mil_reais_1977",337,0,"LOG",306.7
"valor_producao_mil_reais_1978",337,0,"LOG",566.4
"valor_producao_mil_reais_1979",337,0,"LOG",603
"valor_producao_mil_reais_1980",337,0,"LOG",820.5
"valor_producao_mil_reais_1981",337,0,"LOG",826.8
"valor_producao_mil_reais_1982",337,0,"LOG",1217.9
"valor_producao_mil_reais_1983",340,0,"LOG",1526.1
"valor_producao_mil_reais_1984",337,0,"LOG",1470.2
"valor_producao_mil_reais_1985",337,0,"LOG",2344.7
"valor_producao_mil_reais_1986",337,0,"LOG",3065.8
"valor_producao_mil_reais_1987",337,0,"LOG",3223
"valor_producao_mil_reais_1988",338,0,"LOG",2689
"valor_producao_mil_reais_1989",338,0,"LOG",2050.8
"valor_producao_mil_reais_1990",339,0,"LOG",768.4
"valor_producao_mil_reais_1991",338,0,"LOG",1038.2
"valor_producao_mil_reais_1992",339,0,"LOG",583.1
"valor_producao_mil_reais_1993",341,0,"NÍVEL",Inf
"valor_producao_mil_reais_1994",339,0,"LOG",2354
"valor_producao_mil_reais_1995",339,0,"LOG",4063.3
"valor_producao_mil_reais_1996",339,0,"LOG",280.2
"valor_producao_mil_reais_1997",339,0,"LOG",302.5
"valor_producao_mil_reais_1998",339,0,"LOG",877.3
"valor_producao_mil_reais_1999",339,0,"LOG",579.8
"valor_producao_mil_reais_2000",339,0,"LOG",330.3
"valor_producao_mil_reais_2001",339,0,"NÍVEL",Inf
"valor_producao_mil_reais_2002",339,0,"LOG",1007.8
"valor_producao_mil_reais_2003",342,0,"LOG",606.2
"valor_producao_mil_reais_2004",339,0,"LOG",580.2
"valor_producao_mil_reais_2005",339,0,"LOG",457.8
"valor_producao_mil_reais_2006",339,0,"LOG",395.2
"valor_producao_mil_reais_2007",340,0,"LOG",501.4
"valor_producao_mil_reais_2008",340,0,"LOG",469.8
"valor_producao_mil_reais_2009",340,0,"LOG",478.7
"valor_producao_mil_reais_2010",340,0,"LOG",961.5
"valor_producao_mil_reais_2011",340,0,"LOG",520.6
"valor_producao_mil_reais_2012",347,0,"LOG",1070.6
"valor_producao_mil_reais_2013",353,0,"LOG",6909.4
"valor_producao_mil_reais_2014",340,0,"LOG",1578.4
"valor_producao_mil_reais_2015",342,0,"LOG",2112.5
"valor_producao_mil_reais_2016",350,0,"LOG",2744.3
"valor_producao_mil_reais_2017",347,0,"LOG",1326.8
"valor_producao_mil_reais_2018",351,0,"LOG",1636
"valor_producao_mil_reais_2019",345,0,"LOG",3531.6
"valor_producao_mil_reais_2020",342,0,"LOG",1460.6
"valor_producao_mil_reais_2021",343,0,"LOG",2714
"valor_producao_mil_reais_2022",342,0,"LOG",2199.8
"valor_producao_mil_reais_2023",342,0,"LOG",9529.3
"valor_producao_mil_reais_2024",343,0,"LOG",7958.4
