code_amc,pib_2021,pib_2023
3001,16795705,17909063
3002,85052,105581
3003,384411,482070
3004,148763,170261
3005,249396,335246
3006,71512,88343
3007,8814272,11954586
3008,2831074,3660626
3009,578961,573769
3010,388636,500782
3011,207606,255439
3012,149102,192813
3013,256818,326480
3014,1010605,1214414
3015,3517659,4371003
3016,313251,422713
3017,97422,118131
3018,1042461,988621
3019,110243,133913
3020,6307425,7529798
3021,268538,309910
3022,1300192,1617486
3023,308196,416014
3024,1079281,1337723
3025,915546,1042625
3026,138114,166173
3027,469901,739890
3028,534358,714898
3029,611419,912134
3030,277919,332530
3031,238673,309327
3032,580215,744357
3033,210873,275495
3034,128078,155103
3035,1391545,1782632
3036,1541809,2000142
3037,1744255,1894941
3038,2268998,2904580
3039,124439,149934
3040,170397,202389
3041,894366,1130462
3042,465859,486211
3043,628860,813270
3044,336977,461416
3045,262555,314608
3046,86904,108748
3047,248699,323998
3048,791201,820684
3049,433122,450166
3050,143297,214307
3051,150061,187080
3052,91904,123047
3053,220256,340498
3054,426996,588157
3055,54153,66886
3056,93393,104271
3057,184363,241228
3058,178923,211921
3059,1561410,1468294
3060,116543,139774
3061,86638,108264
3062,620037,800354
3063,312146,391206
3064,413263,390947
3065,140962,181567
3066,179196,226303
3067,1087083,1310677
3068,256347,334401
3069,277811,389857
3070,88513,109174
3071,50966,53436
3072,798275,1014474
3073,1526502,2024608
3074,139099,188190
3075,183353,210302
3076,1313160,1266700
3077,1362764,1744838
3078,253736,313292
3079,95936,110020
3080,130764,185469
3081,817639,1066003
3082,84479,102458
3083,76166,108884
3084,185015,252166
3085,474703,433340
3086,425395,482013
3087,357951,483903
3088,1465933,1837615
3089,354631,364746
3090,355267,499937
3091,143437,186474
3092,312160,404149
3093,98973,127389
3094,388969,507499
3095,2293735,3135579
3096,36533730,42389051
3097,739621,1090033
3098,221499,292191
3099,2351422,2616708
3100,196337,248536
3101,2320671,2840126
3102,433473,467351
4001,726354,844286
4002,47283,57335
4003,403469,493353
4004,267998,314842
4005,107729,124191
4006,162195,185476
4007,609461,858897
4008,258400,334241
4009,192594,243954
4010,66749,84772
4011,1210068,1603303
4012,816579,830428
4013,102778,121179
4014,3142453,3967864
4015,227644,287637
4016,356341,474557
4017,2464560,3584709
4018,79959,101935
4019,646389,859249
4020,634679,692220
4021,2244807,2934471
4022,229788,299994
4023,381243,410200
4024,595888,834288
4025,3157868,5042021
4026,122426,136352
4027,1820018,2231620
4028,3657829,4511924
4029,989808,1304789
4030,398350,501146
4031,327942,400545
4032,319917,383912
4033,57498,75221
4034,1421409,1358011
4035,370672,418097
4036,175101,223958
4037,105481,120907
4038,106411,133031
4039,142584,187837
4040,562951,714252
4041,329737,425246
4042,126152,158793
4043,115991,156630
4044,727449,821799
4045,75069,89547
4046,167055,215350
4047,78053,93969
4048,46532,55943
4049,519065,706577
4050,48120,55149
4051,65635,80890
4052,1375704,1693508
4053,44797,57191
4054,46763,66833
4055,83053,111541
4056,34066,41161
4057,163649,190110
4058,82428,101790
4059,80798,93919
4060,139281,165647
4061,131859,164342
4062,304150,388702
4063,526405,692419
4064,390737,553848
4065,497690,705187
4066,494871,636160
4067,338293,439398
4068,109799,129242
4069,54884,68705
4070,312836,421897
4071,23618,34693
4072,72882,91424
4073,298089,391314
4074,67047,78812
4075,24049409,29583139
4076,78547,117751
4077,58176,66803
4078,134551,145099
4079,141457,180249
4080,138834,167663
4081,165495,195452
4082,99184,121721
4083,106976,120257
4084,27584,43355
4085,97930,125613
4086,615148,789358
4087,62465,87685
4088,72021,97849
4089,74786,105807
4090,59388,70932
4091,58406,67264
4092,59723,72738
4093,68088,81017
4094,134836,159452
4095,41067,52907
4096,117971,143730
4097,829877,1030725
4098,2711306,3238272
4099,564520,693535
4100,151596,169076
4101,98202,115643
4102,74654,92128
4103,232268,273863
4104,2562078,3499959
4105,78953,101191
4106,120978,166864
