code_amc,ano,dens_placebo_5km,dens_placebo_10km,dens_placebo_20km,dens_placebo_50km
3001,1858,0,0,0,0
3002,1858,0,0,0,0
3003,1858,0,0,0,0
3004,1858,0,0,0,0
3005,1858,0,0,0,0
3006,1858,0,0,0,0
3007,1858,0,0,0,0
3008,1858,0,0,0,0
3009,1858,0,0,0,0
3010,1858,0,0,0,0
3011,1858,0,0,0,0
3012,1858,0,0,0,0
3013,1858,0,0,0,0
3014,1858,0,0,0,0
3015,1858,0,0,0,0
3016,1858,0,0,0,0
3017,1858,0,0,0,0
3018,1858,0,0,0,0
3019,1858,0,0,0,0
3020,1858,0,0,0,0
3021,1858,0,0,0,0
3022,1858,0,0,0,0
3023,1858,0,0,0,0
3024,1858,0,0,0,0
3025,1858,0,0,0,0
3026,1858,0,0,0,0
3027,1858,0,0,0,0
3028,1858,0,0,0,0
3029,1858,0,0,0,0
3030,1858,0,0,0,0
3031,1858,0,0,0,0
3032,1858,0,0,0,0
3033,1858,0,0,0,0
3034,1858,0,0,0,0
3035,1858,0,0,0,0
3036,1858,0,0,0,0
3037,1858,0,0,0,0
3038,1858,0,0,0,0
3039,1858,0,0,0,0
3040,1858,0,0,0,0
3041,1858,0,0,0,0
3042,1858,0,0,0,0
3043,1858,0,0,0,0
3044,1858,0,0,0,0
3045,1858,0,0,0,0
3046,1858,0,0,0,0
3047,1858,0,0,0,0
3048,1858,0,0,0,0
3049,1858,0,0,0,0
3050,1858,0,0,0,0
3051,1858,0,0,0,0
3052,1858,0,0,0,0
3053,1858,0,0,0,0
3054,1858,0,0,0,0
3055,1858,0,0,0,0
3056,1858,0,0,0,0
3057,1858,0,0,0,0
3058,1858,0,0,0,0
3059,1858,0,0,0,0
3060,1858,0,0,0,0
3061,1858,0,0,0,0
3062,1858,0,0,0,0
3063,1858,0,0,0,0
3064,1858,0,0,0,0
3065,1858,0,0,0,0
3066,1858,0,0,0,0
3067,1858,0,0,0,0
3068,1858,0,0,0,0
3069,1858,0,0,0,0
3070,1858,0,0,0,0
3071,1858,0,0,0,0
3072,1858,0,0,0,0
3073,1858,0,0,0,0
3074,1858,0,0,0,0
3075,1858,0,0,0,0
3076,1858,0,0,0,0
3077,1858,0,0,0,0
3078,1858,0,0,0,0
3079,1858,0,0,0,0
3080,1858,0,0,0,0
3081,1858,0,0,0,0
3082,1858,0,0,0,0
3083,1858,0,0,0,0
3084,1858,0,0,0,0
3085,1858,0,0,0,0
3086,1858,0,0,0,0
3087,1858,0,0,0,0
3088,1858,0,0,0,0
3089,1858,0,0,0,0
3090,1858,0,0,0,0
3091,1858,0,0,0,0
3092,1858,0,0,0,0
3093,1858,0,0,0,0
3094,1858,0,0,0,0
3095,1858,0,0,0,0
3096,1858,0,0,0,0
3097,1858,0,0,0,0
3098,1858,0,0,0,0
3099,1858,0,0,0,0
3100,1858,0,0,0,0
3101,1858,0,0,0,0
3102,1858,0,0,0,0
4001,1858,0,0,0,0
4002,1858,0,0,0,0
4003,1858,0,0,0,0
4004,1858,0,0,0,0
4005,1858,0,0,0,0
4006,1858,0,0,0,0
4007,1858,0,0,0,0
4008,1858,0,0,0,0
4009,1858,0,0,0,0
4010,1858,0,0,0,0
4011,1858,0,0,0,0
4012,1858,0,0,0,0
4013,1858,0,0,0,0
4014,1858,0,0,0,0
4015,1858,0,0,0,0
4016,1858,0,0,0,0
4017,1858,0,0,0,0
4018,1858,0,0,0,0
4019,1858,0,0,0,0
4020,1858,0,0,0,0
4021,1858,0,0,0,0
4022,1858,0,0,0,0
4023,1858,0,0,0,0
4024,1858,0,0,0,0
4025,1858,0,0,0,0
4026,1858,0,0,0,0
4027,1858,0,0,0,0
4028,1858,0,0,0,0
4029,1858,0,0,0,0
4030,1858,0,0,0,0
4031,1858,0,0,0,0
4032,1858,0,0,0,0
4033,1858,0,0,0,0
4034,1858,0,0,0,0
