ano,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_estatistica,n_observacoes,n_pontas_excluidas,significancia,coeficiente_sig,instrumento_forte
1858,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,0.5514726266948224,0.004050241712648365,136.15795446791407,0,18538.98856488656,1321,2,***,+0.5515***,TRUE
1860,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,0.3357586624969625,0.1359405870070758,2.469892692750297,0.013642115947160376,6.1003699137013125,1318,5,**,+0.3358**,FALSE
1862,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,0.3129566341037224,0.13138655765280222,2.381953220288572,0.0173633656150935,5.673701143643099,1317,6,**,+0.3130**,FALSE
1863,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,0.2919527117839032,0.13656068492764198,2.137897242816241,0.03271013146824838,4.570604620841285,1316,7,**,+0.2920**,FALSE
1873,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,0.2916642184529999,0.1367886120069815,2.1322258788481148,0.033174557406063336,4.546387198429615,1314,9,**,+0.2917**,FALSE
1875,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,0.28941507113429904,0.13736007514871648,2.1069810192004934,0.035309946966391496,4.43936901527115,1312,11,**,+0.2894**,FALSE
1876,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,0.5223669037034797,0.19749192287820347,2.6450038872001467,0.008267365952265035,6.996045563303886,1310,13,***,+0.5224***,FALSE
1880,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,0.5057219673179834,0.19768095870156346,2.55827354662654,0.010631777720142017,6.544763539369135,1310,13,**,+0.5057**,FALSE
1881,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,0.6168112206512433,0.1975522284875046,3.1222691101672755,0.0018343992766243395,9.74856439630475,1303,20,***,+0.6168***,FALSE
1882,densidade_buffer_real_1882,densidade_buffer_sintetica_1882,0.42862138480729667,0.14122535953069562,3.0350171260433925,0.0024534514327195956,9.211328955376693,1297,26,***,+0.4286***,FALSE
1883,densidade_buffer_real_1883,densidade_buffer_sintetica_1883,0.27162216710809595,0.10186582311010046,2.6664700565420882,0.007761523020792103,7.110062562435568,1293,30,***,+0.2716***,FALSE
