ano,tratamento,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_estatistica,n_observacoes,significancia,coeficiente_sig
1858,Distancia,dist_rail_real_1858,dist_rail_sintetica_km,-0.05809161232071663,0.3310846445813817,-0.1754584915714432,0.8607193837041367,0.0307856822645262,1323,,-0.0581
1858,Dummy,dummy_atendida_real_1858,dummy_atendida_sintetica,-0.0023465946897829825,0.001687876817498604,-1.3902641860207452,0.16444866893419774,1.9328345069319253,1323,,-0.0023
1858,Densidade,densidade_real_1858,densidade_sintetica,0.005709073714421246,0.003629624607214632,1.5729102406549917,0.11573960353111712,2.474046625157344,1323,,+0.0057
1860,Distancia,dist_rail_real_1860,dist_rail_sintetica_km,0.356203066507639,0.312257246185197,1.140735950436129,0.25397982131912733,1.3012785086174186,1323,,+0.3562
1860,Dummy,dummy_atendida_real_1860,dummy_atendida_sintetica,0.00660645604471101,0.004466670158473633,1.4790561671938167,0.13912530386890576,2.1876071457140633,1323,,+0.0066
1860,Densidade,densidade_real_1860,densidade_sintetica,0.007623942560888362,0.0037345773495964514,2.0414472233952217,0.04120639464929576,4.16750676590806,1323,**,+0.0076**
1862,Distancia,dist_rail_real_1862,dist_rail_sintetica_km,0.35554871121679377,0.30781912984370863,1.1550572292154788,0.24806699153734946,1.3341572027629391,1323,,+0.3555
1862,Dummy,dummy_atendida_real_1862,dummy_atendida_sintetica,0.008583887050434304,0.005401254919794112,1.5892393856429035,0.11200635761260025,2.525681824878633,1323,,+0.0086
1862,Densidade,densidade_real_1862,densidade_sintetica,0.007457398494898935,0.003603310182271502,2.069596598036376,0.03849013691698766,4.283230078603742,1323,**,+0.0075**
1863,Distancia,dist_rail_real_1863,dist_rail_sintetica_km,0.34107127205607823,0.3164685505906524,1.0777414419837539,0.2811491586439785,1.1615266157692212,1323,,+0.3411
1863,Dummy,dummy_atendida_real_1863,dummy_atendida_sintetica,0.021770162609533763,0.0076142229411683545,2.859144364138262,0.004247854214125102,8.174706494983585,1323,***,+0.0218***
1863,Densidade,densidade_real_1863,densidade_sintetica,0.007801542338160621,0.004070778123642654,1.9164744678296461,0.05530473005888892,3.6728743858429254,1323,*,+0.0078*
1873,Distancia,dist_rail_real_1873,dist_rail_sintetica_km,-0.10444093557675661,0.28781275232798575,-0.3628780682300615,0.7166959706734366,0.1316804924023812,1323,,-0.1044
1873,Dummy,dummy_atendida_real_1873,dummy_atendida_sintetica,0.03161330871380993,0.008648664070181562,3.6552823022465093,2.5689912874793386e-4,13.361088709116542,1323,***,+0.0316***
1873,Densidade,densidade_real_1873,densidade_sintetica,0.00870015406165308,0.004105663569022991,2.1190616121825645,0.03408526037421633,4.490422116225769,1323,**,+0.0087**
1875,Distancia,dist_rail_real_1875,dist_rail_sintetica_km,-0.0780639663813919,0.27892482302308474,-0.279874575289884,0.7795737339938584,0.07832977789369296,1323,,-0.0781
1875,Dummy,dummy_atendida_real_1875,dummy_atendida_sintetica,0.043374492096173584,0.009410290453562193,4.609261776798239,4.04101264517287e-6,21.24529412705326,1323,***,+0.0434***
1875,Densidade,densidade_real_1875,densidade_sintetica,0.00862942646575209,0.004102104203889602,2.1036585217824784,0.03540824508421947,4.425379176268042,1323,**,+0.0086**
1876,Distancia,dist_rail_real_1876,dist_rail_sintetica_km,-0.10353362255632491,0.28179420296933233,-0.3674086317793857,0.713314233924109,0.13498910270600023,1323,,-0.1035
1876,Dummy,dummy_atendida_real_1876,dummy_atendida_sintetica,0.058316452288511456,0.01030794851235371,5.657425647656394,1.5366034888941726e-8,32.00646495876037,1323,***,+0.0583***
1876,Densidade,densidade_real_1876,densidade_sintetica,0.013625876273526294,0.004537601273244041,3.002880917252746,0.0026743705528586847,9.017293803200692,1323,***,+0.0136***
1880,Distancia,dist_rail_real_1880,dist_rail_sintetica_km,-0.13387990889072302,0.28361797282691203,-0.47204310628236523,0.6368960205883178,0.22282469418870435,1323,,-0.1339
1880,Dummy,dummy_atendida_real_1880,dummy_atendida_sintetica,0.07431193202678632,0.01124976191083343,6.605644867490443,3.957900673867698e-11,43.63454411540283,1323,***,+0.0743***
1880,Densidade,densidade_real_1880,densidade_sintetica,0.013240292433421709,0.004611025663184305,2.8714419308345733,0.004086038461301067,8.245178762154982,1323,***,+0.0132***
1881,Distancia,dist_rail_real_1881,dist_rail_sintetica_km,-0.13216227882945955,0.26429866832920107,-0.5000489774123376,0.6170405913768917,0.2500489798111245,1323,,-0.1322
1881,Dummy,dummy_atendida_real_1881,dummy_atendida_sintetica,0.0907551071605332,0.013083605820465425,6.936551620851625,4.0178971261184415e-12,48.115748388739306,1323,***,+0.0908***
1881,Densidade,densidade_real_1881,densidade_sintetica,0.02253617005229393,0.008455310570576528,2.6653272950986704,0.0076913426261793205,7.103969589997995,1323,***,+0.0225***
1882,Distancia,dist_rail_real_1882,dist_rail_sintetica_km,-0.3428176455244855,0.2501504321340101,-1.3704459456653342,0.17054773803620638,1.878122089990552,1323,,-0.3428
1882,Dummy,dummy_atendida_real_1882,dummy_atendida_sintetica,0.10607867179324924,0.01676092974933437,6.328925267255056,2.4687474287077293e-10,40.05529503849949,1323,***,+0.1061***
1882,Densidade,densidade_real_1882,densidade_sintetica,0.022575602162171804,0.008393723388589566,2.6895813832584827,0.007154170037777963,7.233848017170613,1323,***,+0.0226***
1883,Distancia,dist_rail_real_1883,dist_rail_sintetica_km,-0.2951352743758532,0.23080397655719517,-1.278726990662209,0.20099321158925787,1.635142716648029,1323,,-0.2951
1883,Dummy,dummy_atendida_real_1883,dummy_atendida_sintetica,0.13030001696325355,0.017730583640022564,7.348884820076218,1.9984014443252818e-13,54.00610809874666,1323,***,+0.1303***
1883,Densidade,densidade_real_1883,densidade_sintetica,0.02355592554889578,0.008880585392786437,2.652519457560748,0.007989352298664931,7.035859472738363,1323,***,+0.0236***
1884,Distancia,dist_rail_real_1884,dist_rail_sintetica_km,-0.2644336417172582,0.2313514723599138,-1.1429952834096444,0.25304054935149045,1.3064382178966933,1323,,-0.2644
1884,Dummy,dummy_atendida_real_1884,dummy_atendida_sintetica,0.17099889507366475,0.018919303153100045,9.038329461180261,0,81.69139944883906,1323,***,+0.1710***
1884,Densidade,densidade_real_1884,densidade_sintetica,0.03191319706451073,0.008998306512579067,3.546578127773052,3.9026900315008994e-4,12.578216416398206,1323,***,+0.0319***
1885,Distancia,dist_rail_real_1885,dist_rail_sintetica_km,-0.25150778706677485,0.2306932358387244,-1.0902261011354564,0.2756135584400097,1.1885929515970184,1323,,-0.2515
1885,Dummy,dummy_atendida_real_1885,dummy_atendida_sintetica,0.1868270394943528,0.019202037606507693,9.729542422676849,0,94.66399575466848,1323,***,+0.1868***
1885,Densidade,densidade_real_1885,densidade_sintetica,0.03641722365310626,0.011517640775498364,3.1618648612984286,0.0015676229566643496,9.99738940111373,1323,***,+0.0364***
1886,Distancia,dist_rail_real_1886,dist_rail_sintetica_km,-0.25173400460968504,0.23071086454361298,-1.0911233205582216,0.27521862255239715,1.1905501006659995,1323,,-0.2517
1886,Dummy,dummy_atendida_real_1886,dummy_atendida_sintetica,0.1868270394943528,0.019202037606507693,9.729542422676849,0,94.66399575466848,1323,***,+0.1868***
1886,Densidade,densidade_real_1886,densidade_sintetica,0.03906554134094698,0.011987589490266461,3.2588320923624345,0.001118718576694544,10.619986606211324,1323,***,+0.0391***
1887,Distancia,dist_rail_real_1887,dist_rail_sintetica_km,-0.32652782487710647,0.2515148673095864,-1.2982446261325284,0.19420328773834283,1.6854391092819885,1323,,-0.3265
1887,Dummy,dummy_atendida_real_1887,dummy_atendida_sintetica,0.18481941783837783,0.020702669207794164,8.927323138061675,0,79.69709841137136,1323,***,+0.1848***
