Escopo,Outcome,Tratamento,Modelo,Desc_Modelo,Coeficiente,DP,P_Valor,F_Stat,N_Obs
1_PIB,PIB Total (2000),Distância,M1,Base (Efeito Fixo UF),-0.005530051279816987,0.0018252575968464486,0.0024476642200725873,527.5421805875112,1147
1_PIB,PIB Total (2000),Distância,M2,+ Lag Espacial,-0.003158236061544077,0.006515441445228023,0.6278672155527272,51.309999989849786,1147
1_PIB,PIB Total (2000),Distância,M3,+ Clima,-0.004947298053798056,0.00586515660592779,0.39894520026037616,69.08072741804395,1147
1_PIB,PIB Total (2000),Distância,M4,+ Geografia/Solo (Completa),-0.004238758965971583,0.005812453616454822,0.46584589276109734,71.45418178592121,1146
1_PIB,PIB Total (2000),Dummy,M1,Base (Efeito Fixo UF),1.0770348294618937,0.19908364341260026,6.303832922327501e-8,155.01299472130762,1147
1_PIB,PIB Total (2000),Dummy,M2,+ Lag Espacial,1.4263811145146408,0.33463833914987084,2.021925410233827e-5,59.79712440336832,1147
1_PIB,PIB Total (2000),Dummy,M3,+ Clima,1.33872504036587,0.36242107751588276,2.2089385795709404e-4,51.19071243877514,1147
1_PIB,PIB Total (2000),Dummy,M4,+ Geografia/Solo (Completa),1.2970434098086034,0.36448004535792156,3.728184576465843e-4,50.21578243295201,1146
1_PIB,PIB Total (2000),Densidade,M1,Base (Efeito Fixo UF),0.06435400103373898,0.028787794490948163,0.02538707836549925,6.151074784921649,1147
1_PIB,PIB Total (2000),Densidade,M2,+ Lag Espacial,0.08280169301626328,0.05037556929861714,0.10024077151913202,3.0149122378827538,1147
1_PIB,PIB Total (2000),Densidade,M3,+ Clima,0.09390398352705351,0.07448110068217458,0.20738956626142357,1.8287897435562888,1147
1_PIB,PIB Total (2000),Densidade,M4,+ Geografia/Solo (Completa),0.09379877784542559,0.07498389598121098,0.21096404245630462,1.8226173461252555,1146
1_PIB,PIB Total (2010),Distância,M1,Base (Efeito Fixo UF),-0.006570370160669632,0.001888503299919516,5.030229483609094e-4,527.5421805875112,1147
1_PIB,PIB Total (2010),Distância,M2,+ Lag Espacial,-0.003949667828175102,0.006555324152793501,0.5468327319958621,51.309999989849786,1147
1_PIB,PIB Total (2010),Distância,M3,+ Clima,-0.005575004446850593,0.005889747533699511,0.34386260007954816,69.08072741804395,1147
1_PIB,PIB Total (2010),Distância,M4,+ Geografia/Solo (Completa),-0.004758022940684545,0.005832919930361241,0.4146609354792792,71.45418178592121,1146
1_PIB,PIB Total (2010),Dummy,M1,Base (Efeito Fixo UF),1.1598668889718475,0.2050284449814343,1.5395000385609592e-8,155.01299472130762,1147
1_PIB,PIB Total (2010),Dummy,M2,+ Lag Espacial,1.4597079469779417,0.34059416348018795,1.8210804609841702e-5,59.79712440336832,1147
1_PIB,PIB Total (2010),Dummy,M3,+ Clima,1.3426392560733142,0.36664589245347023,2.503018394368617e-4,51.19071243877514,1147
1_PIB,PIB Total (2010),Dummy,M4,+ Geografia/Solo (Completa),1.2918423052933319,0.36827220598147514,4.517499206133646e-4,50.21578243295201,1146
1_PIB,PIB Total (2010),Densidade,M1,Base (Efeito Fixo UF),0.07433189332987715,0.032382925727958776,0.02170998926305545,6.151074784921649,1147
1_PIB,PIB Total (2010),Densidade,M2,+ Lag Espacial,0.09527888870628248,0.056858845187319686,0.09379517129513948,3.0149122378827538,1147
1_PIB,PIB Total (2010),Densidade,M3,+ Clima,0.1081895795288991,0.0843609190077254,0.1996810150250119,1.8287897435562888,1147
1_PIB,PIB Total (2010),Densidade,M4,+ Geografia/Solo (Completa),0.10796158953150717,0.08488614417767185,0.20342999066859102,1.8226173461252555,1146
1_PIB,PIB p.c. (2000),Distância,M1,Base (Efeito Fixo UF),-0.001546435313869911,5.757477219147803e-4,0.007232176035654625,525.2676823529052,1144
1_PIB,PIB p.c. (2000),Distância,M2,+ Lag Espacial,-7.951794584889777e-4,0.0017472704046837375,0.6490386578256353,51.49658168295517,1144
1_PIB,PIB p.c. (2000),Distância,M3,+ Clima,-0.0017473585208438347,0.00152261261977104,0.2511314842779031,69.05380668595322,1144
1_PIB,PIB p.c. (2000),Distância,M4,+ Geografia/Solo (Completa),-0.0016256426811757255,0.0015207787776785006,0.28509036094530105,71.4640631377188,1143
1_PIB,PIB p.c. (2000),Dummy,M1,Base (Efeito Fixo UF),0.4112364955142516,0.07028026921750283,4.8751371828359424e-9,152.9319798612134,1144
1_PIB,PIB p.c. (2000),Dummy,M2,+ Lag Espacial,0.6153021604641642,0.1166338241525206,1.3239200447046073e-7,58.98027326797992,1144
1_PIB,PIB p.c. (2000),Dummy,M3,+ Clima,0.6201267537991718,0.12774668534680186,1.2078400859483196e-6,50.7389283403097,1144
1_PIB,PIB p.c. (2000),Dummy,M4,+ Geografia/Solo (Completa),0.6163705694564777,0.13019451186835593,2.198898863881027e-6,49.6961926147695,1143
1_PIB,PIB p.c. (2000),Densidade,M1,Base (Efeito Fixo UF),0.0158554140902028,0.008541782041850786,0.0634224161910617,6.439039289571748,1144
1_PIB,PIB p.c. (2000),Densidade,M2,+ Lag Espacial,0.019841278029004535,0.01387605639545112,0.1527476875085978,3.2120269305214864,1144
1_PIB,PIB p.c. (2000),Densidade,M3,+ Clima,0.022068674386806215,0.019528324368245583,0.2584402382807387,1.948980939148129,1144
1_PIB,PIB p.c. (2000),Densidade,M4,+ Geografia/Solo (Completa),0.022130984002162235,0.01977604626311253,0.26310587865348056,1.9427374202008099,1143
1_PIB,PIB p.c. (2010),Distância,M1,Base (Efeito Fixo UF),-0.0014978475700488936,5.885354377428285e-4,0.010926450873851357,527.5421805875112,1147
1_PIB,PIB p.c. (2010),Distância,M2,+ Lag Espacial,-0.001854055223993692,0.0016716462352852205,0.2673786886083427,51.309999989849786,1147
1_PIB,PIB p.c. (2010),Distância,M3,+ Clima,-0.002635959322399622,0.001482381298705563,0.07537224266412634,69.08072741804395,1147
1_PIB,PIB p.c. (2010),Distância,M4,+ Geografia/Solo (Completa),-0.002489518439598695,0.0014801306161396214,0.09257686542346732,71.45418178592121,1146
1_PIB,PIB p.c. (2010),Dummy,M1,Base (Efeito Fixo UF),0.38731741249626483,0.06822252783979266,1.3686485722530506e-8,155.01299472130762,1147
1_PIB,PIB p.c. (2010),Dummy,M2,+ Lag Espacial,0.5924857119006645,0.11191473132595736,1.1961606283250603e-7,59.79712440336832,1147
1_PIB,PIB p.c. (2010),Dummy,M3,+ Clima,0.568356064748634,0.12039835192053373,2.3511535318654353e-6,51.19071243877514,1147
1_PIB,PIB p.c. (2010),Dummy,M4,+ Geografia/Solo (Completa),0.5628798625429577,0.12209008249280122,4.019622934281486e-6,50.21578243295201,1146
1_PIB,PIB p.c. (2010),Densidade,M1,Base (Efeito Fixo UF),0.020969541925221106,0.010735773688864449,0.050791170822648724,6.151074784921649,1147
1_PIB,PIB p.c. (2010),Densidade,M2,+ Lag Espacial,0.027956639126320786,0.018623538823012764,0.1333179655030432,3.0149122378827538,1147
1_PIB,PIB p.c. (2010),Densidade,M3,+ Clima,0.03142307152297136,0.026728364347696175,0.23973671122090567,1.8287897435562888,1147
