Limiar_km,Outcome,Modelo,Coef,DP,P,F_Stat,N
10 km,PIB Total (2000),M1,1.9646549737363435,0.41415060284288274,2.0972756940018655e-6,72.34370880223697,1233
10 km,PIB Total (2000),M2,2.358650783811004,0.5018447546898822,2.6021115784313764e-6,56.9525301155607,1233
10 km,PIB Total (2000),M3,2.1743118610186833,0.5787228165579442,1.7190287586776876e-4,38.557181050904155,1233
10 km,PIB Total (2000),M4,2.1398565304125055,0.5949451259686592,3.2224360110544303e-4,36.2223414736542,1231
10 km,PIB Total (2010),M1,2.130173616103942,0.43368836119270526,9.026199481176889e-7,72.34370880223697,1233
10 km,PIB Total (2010),M2,2.5431836072261884,0.528096115339128,1.4664144079024055e-6,56.9525301155607,1233
10 km,PIB Total (2010),M3,2.3490679333637834,0.6083172097513821,1.1265431994811337e-4,38.557181050904155,1233
10 km,PIB Total (2010),M4,2.302085695516375,0.6229217510235092,2.193458361827716e-4,36.2223414736542,1231
10 km,PIB p.c. (2000),M1,0.5716553764814944,0.14659008977566484,9.631736908710664e-5,74.54471318038217,1229
10 km,PIB p.c. (2000),M2,0.8917871300584335,0.19256004615707978,3.6352471608491754e-6,58.93789293999641,1229
10 km,PIB p.c. (2000),M3,0.7921303881237595,0.2130316068440297,2.0051224124939537e-4,40.12338998638239,1229
10 km,PIB p.c. (2000),M4,0.8023410356670362,0.21900718253277374,2.48755735043682e-4,38.4167443618956,1228
10 km,PIB p.c. (2010),M1,0.5593549156262111,0.14721460557666752,1.4493657495218137e-4,72.34370880223697,1233
10 km,PIB p.c. (2010),M2,0.8853912499289469,0.1953792813367646,5.8523723212022816e-6,56.9525301155607,1233
10 km,PIB p.c. (2010),M3,0.7682097633607177,0.21748515806852306,4.120552831405888e-4,38.557181050904155,1233
10 km,PIB p.c. (2010),M4,0.7919886495081513,0.2262403878461194,4.641231452131578e-4,36.2223414736542,1231
10 km,Pop. Total (1991),M1,1.308488861934523,0.3033345014023991,1.6055716800522646e-5,73.45886619879487,1228
10 km,Pop. Total (1991),M2,1.369364644657998,0.34516774515933735,7.270856313712493e-5,57.97995133252102,1228
10 km,Pop. Total (1991),M3,1.3416500137537564,0.40950058788533317,0.0010517383078512132,39.76397098916748,1228
10 km,Pop. Total (1991),M4,1.319756766704054,0.4175900130672217,0.0015754582760283409,38.03770834107424,1227
10 km,Pop. Total (2000),M1,1.4304854987071907,0.31731305246505115,6.540440739000175e-6,74.54471318038217,1229
10 km,Pop. Total (2000),M2,1.507805102089749,0.362155192164274,3.1351236930987625e-5,58.93789293999641,1229
10 km,Pop. Total (2000),M3,1.464373593941008,0.42906293542382073,6.426194627624504e-4,40.12338998638239,1229
10 km,Pop. Total (2000),M4,1.4392853001322095,0.43676500360603504,9.830577796841045e-4,38.4167443618956,1228
10 km,Pop. Total (2010),M1,1.5708187004777336,0.3397388073981381,3.771242128358665e-6,72.34370880223697,1233
10 km,Pop. Total (2010),M2,1.6577923572972424,0.3899041040159722,2.1206384442029602e-5,56.9525301155607,1233
10 km,Pop. Total (2010),M3,1.580858170003048,0.4643659399059984,6.632486124273917e-4,38.557181050904155,1233
10 km,Pop. Total (2010),M4,1.5100970460082237,0.47023660304128,0.0013211025098400775,36.2223414736542,1231
10 km,Tx. Urban. (2010),M1,0.14024599847213687,0.05740319257357213,0.014558708500504336,72.34370880223697,1233
10 km,Tx. Urban. (2010),M2,0.21193259969046674,0.06734023440131853,0.001648470727006579,56.9525301155607,1233
10 km,Tx. Urban. (2010),M3,0.12009327252467761,0.07563280195937017,0.11232107566492466,38.557181050904155,1233
10 km,Tx. Urban. (2010),M4,0.1447894930499662,0.07913554300813422,0.06730390524821694,36.2223414736542,1231
10 km,Val. Prod. (2000),M1,2.9813935004942484,0.7134689711064152,2.9314269852642738e-5,45.01066448213833,928
10 km,Val. Prod. (2000),M2,3.2984211905332197,0.8161524952830247,5.3126792205704376e-5,37.83473939728721,928
10 km,Val. Prod. (2000),M3,2.7613095435156456,1.0217708140028712,0.0068825468834534664,19.17806535455944,928
