Outcome,Modelo,Coef,DP,P,F_Stat,N
PIB Total (2000),M1,1.0770348294618937,0.19908364341260026,6.303832922327501e-8,155.01299472130762,1147
PIB Total (2000),M1,1.0770348294618937,0.19908364341260026,6.303832922327501e-8,1.889132762411624e-33,1147
PIB Total (2000),M1,1.0770348294618937,0.19908364341260026,6.303832922327501e-8,1,1147
PIB Total (2000),M1,1.0770348294618937,0.19908364341260026,6.303832922327501e-8,1137,1147
PIB Total (2000),M2,1.4263811145146408,0.33463833914987084,2.021925410233827e-5,59.79712440336832,1147
PIB Total (2000),M2,1.4263811145146408,0.33463833914987084,2.021925410233827e-5,2.3072951954810944e-14,1147
PIB Total (2000),M2,1.4263811145146408,0.33463833914987084,2.021925410233827e-5,1,1147
PIB Total (2000),M2,1.4263811145146408,0.33463833914987084,2.021925410233827e-5,1136,1147
PIB Total (2000),M3,1.33872504036587,0.36242107751588276,2.2089385795709404e-4,51.19071243877514,1147
PIB Total (2000),M3,1.33872504036587,0.36242107751588276,2.2089385795709404e-4,1.501867660726048e-12,1147
PIB Total (2000),M3,1.33872504036587,0.36242107751588276,2.2089385795709404e-4,1,1147
PIB Total (2000),M3,1.33872504036587,0.36242107751588276,2.2089385795709404e-4,1133,1147
PIB Total (2000),M4,1.2970434098086034,0.36448004535792156,3.728184576465843e-4,50.21578243295201,1146
PIB Total (2000),M4,1.2970434098086034,0.36448004535792156,3.728184576465843e-4,2.4195958924039067e-12,1146
PIB Total (2000),M4,1.2970434098086034,0.36448004535792156,3.728184576465843e-4,1,1146
PIB Total (2000),M4,1.2970434098086034,0.36448004535792156,3.728184576465843e-4,1130,1146
PIB Total (2010),M1,1.1598668889718475,0.2050284449814343,1.5395000385609592e-8,155.01299472130762,1147
PIB Total (2010),M1,1.1598668889718475,0.2050284449814343,1.5395000385609592e-8,1.889132762411624e-33,1147
PIB Total (2010),M1,1.1598668889718475,0.2050284449814343,1.5395000385609592e-8,1,1147
PIB Total (2010),M1,1.1598668889718475,0.2050284449814343,1.5395000385609592e-8,1137,1147
PIB Total (2010),M2,1.4597079469779417,0.34059416348018795,1.8210804609841702e-5,59.79712440336832,1147
PIB Total (2010),M2,1.4597079469779417,0.34059416348018795,1.8210804609841702e-5,2.3072951954810944e-14,1147
PIB Total (2010),M2,1.4597079469779417,0.34059416348018795,1.8210804609841702e-5,1,1147
PIB Total (2010),M2,1.4597079469779417,0.34059416348018795,1.8210804609841702e-5,1136,1147
PIB Total (2010),M3,1.3426392560733142,0.36664589245347023,2.503018394368617e-4,51.19071243877514,1147
PIB Total (2010),M3,1.3426392560733142,0.36664589245347023,2.503018394368617e-4,1.501867660726048e-12,1147
PIB Total (2010),M3,1.3426392560733142,0.36664589245347023,2.503018394368617e-4,1,1147
PIB Total (2010),M3,1.3426392560733142,0.36664589245347023,2.503018394368617e-4,1133,1147
PIB Total (2010),M4,1.2918423052933319,0.36827220598147514,4.517499206133646e-4,50.21578243295201,1146
PIB Total (2010),M4,1.2918423052933319,0.36827220598147514,4.517499206133646e-4,2.4195958924039067e-12,1146
PIB Total (2010),M4,1.2918423052933319,0.36827220598147514,4.517499206133646e-4,1,1146
PIB Total (2010),M4,1.2918423052933319,0.36827220598147514,4.517499206133646e-4,1130,1146
