ano_trat,outcome_var,variavel_endogena,variavel_instrumento,tipo_inferencia,cutoff_km,coef,se,t_stat,p_valor,sig,F_stat_1estagio,n_obs
1996,adh_idhm_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,hetero,NA,0.05136792666865524,0.03046841303031945,1.685940341478844,0.09206425240548796,*,35.199880281341734,1233
1996,adh_idhm_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,cluster,NA,0.05136792666865524,0.045891662098697855,1.1193302730718215,0.2954780331206305,,35.199880281341734,1233
1996,adh_idhm_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_50,50,0.05136792666865524,0.04505836460185327,1.1400308715719,0.25449830806273704,,35.199880281341734,1233
1996,adh_idhm_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_100,100,0.05136792666865524,0.04594687423484816,1.1179852280287548,0.2637944863740356,,35.199880281341734,1233
1996,adh_idhm_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_200,200,0.05136792666865524,0.056078497608983716,0.9160004076219429,0.35984859648265455,,35.199880281341734,1233
2003,adh_idhm_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,hetero,NA,0.05146058569959121,0.030472711802109552,1.6887432281635242,0.09152545332448996,*,35.200680551072516,1233
2003,adh_idhm_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,cluster,NA,0.05146058569959121,0.04591168916533558,1.1208602130553973,0.29486374775611685,,35.200680551072516,1233
2003,adh_idhm_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_50,50,0.05146058569959121,0.04506392219712201,1.141946443864527,0.2537014633822365,,35.200680551072516,1233
2003,adh_idhm_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_100,100,0.05146058569959121,0.045955371988512815,1.1197947807375925,0.2630227156753305,,35.200680551072516,1233
2003,adh_idhm_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_200,200,0.05146058569959121,0.05607929851234913,0.9176396114915588,0.35898983728976797,,35.200680551072516,1233
1996,log(pib_2003),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,hetero,NA,4.437392927698358,1.3550628737332848,3.2746767797372067,0.0010876765364178803,***,35.199880281341734,1233
1996,log(pib_2003),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,cluster,NA,4.437392927698358,1.6950325777637663,2.617880615340474,0.030751528729171508,**,35.199880281341734,1233
1996,log(pib_2003),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_50,50,4.437392927698358,1.5638511727801825,2.8374777631874344,0.0046227903428631935,***,35.199880281341734,1233
1996,log(pib_2003),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_100,100,4.437392927698358,1.673643332000752,2.651337260964491,0.008121745414646976,***,35.199880281341734,1233
1996,log(pib_2003),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_200,200,4.437392927698358,1.5425903042900795,2.8765855168138796,0.004090321489345942,***,35.199880281341734,1233
2003,log(pib_2003),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,hetero,NA,4.438873230055469,1.3553002399161727,3.275195487554861,0.0010856989206373688,***,35.200680551072516,1233
2003,log(pib_2003),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,cluster,NA,4.438873230055469,1.6955514015350883,2.6179526176774592,0.030748089772877765,**,35.200680551072516,1233
2003,log(pib_2003),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_50,50,4.438873230055469,1.5641393828466303,2.8379013269118083,0.00461670152157678,***,35.200680551072516,1233
2003,log(pib_2003),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_100,100,4.438873230055469,1.6739107246702174,2.6517980706109556,0.008110735068356972,***,35.200680551072516,1233
2003,log(pib_2003),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_200,200,4.438873230055469,1.5428240474741093,2.8771091799630244,0.004083586133011277,***,35.200680551072516,1233
1996,log(pib_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,hetero,NA,4.422920530159027,1.375847164444823,3.2146888436868997,0.0013402499392253294,***,35.199880281341734,1233
1996,log(pib_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,cluster,NA,4.422920530159027,1.772653434129664,2.4950847385070447,0.0372260740925999,**,35.199880281341734,1233
1996,log(pib_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_50,50,4.422920530159027,1.587590395126145,2.7859330364666235,0.005420456591309181,***,35.199880281341734,1233
1996,log(pib_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_100,100,4.422920530159027,1.677490143425079,2.636629817167427,0.008480269221708381,***,35.199880281341734,1233
1996,log(pib_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_200,200,4.422920530159027,1.5528977726302362,2.8481723704630353,0.004471261357537574,***,35.199880281341734,1233
2003,log(pib_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,hetero,NA,4.424912654306167,1.3761658516154966,3.215391988626743,0.0013369989397444767,***,35.200680551072516,1233
2003,log(pib_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,cluster,NA,4.424912654306167,1.7733067699910203,2.495288874540627,0.03721423384065403,**,35.200680551072516,1233
2003,log(pib_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_50,50,4.424912654306167,1.5879715654576607,2.7865188209657186,0.005410732582446552,***,35.200680551072516,1233
2003,log(pib_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_100,100,4.424912654306167,1.6778705817312127,2.637219284064555,0.008465631543031303,***,35.200680551072516,1233
2003,log(pib_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_200,200,4.424912654306167,1.5532747437990033,2.848763666551163,0.004463016406315879,***,35.200680551072516,1233
1996,log(pop_total_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,hetero,NA,2.999610281945015,1.0121592077190615,2.9635755512265196,0.0031001637341135416,***,35.199880281341734,1233
1996,log(pop_total_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,cluster,NA,2.999610281945015,1.2569246246896533,2.386467909868221,0.04409825758656484,**,35.199880281341734,1233
1996,log(pop_total_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_50,50,2.999610281945015,1.2069239723693899,2.485334909751016,0.013076782942679308,**,35.199880281341734,1233
1996,log(pop_total_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_100,100,2.999610281945015,1.3036113057822096,2.3010005119165107,0.02156039593942309,**,35.199880281341734,1233
1996,log(pop_total_2010),densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_200,200,2.999610281945015,1.1502385224803628,2.6078158775944016,0.00922399196005975,***,35.199880281341734,1233
2003,log(pop_total_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,hetero,NA,3.000710161367128,1.0123175399923028,2.964198527460014,0.0030939397616749353,***,35.200680551072516,1233
2003,log(pop_total_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,cluster,NA,3.000710161367128,1.2572987721478517,2.386632539409066,0.04408692842273563,**,35.200680551072516,1233
2003,log(pop_total_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_50,50,3.000710161367128,1.2071329609494492,2.485815778741533,0.013059218953738894,**,35.200680551072516,1233
2003,log(pop_total_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_100,100,3.000710161367128,1.3038135008643421,2.301487259778991,0.02153280549591282,**,35.200680551072516,1233
2003,log(pop_total_2010),densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_200,200,3.000710161367128,1.1504459159519311,2.608301806942575,0.009210981167376439,***,35.200680551072516,1233
1996,tx_urbanizacao_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,hetero,NA,0.1545267377024866,0.1560885687227379,0.9899939436114273,0.32237435159854266,,35.199880281341734,1233
1996,tx_urbanizacao_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,cluster,NA,0.1545267377024866,0.20425245016863997,0.7565477798425546,0.4710108996569038,,35.199880281341734,1233
1996,tx_urbanizacao_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_50,50,0.1545267377024866,0.17951488504511043,0.8608018085166333,0.38951718051005446,,35.199880281341734,1233
1996,tx_urbanizacao_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_100,100,0.1545267377024866,0.214714523749054,0.7196846072838955,0.47185772812540394,,35.199880281341734,1233
1996,tx_urbanizacao_2010,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,conley_200,200,0.1545267377024866,0.2841073022822777,0.5439027313312594,0.5866082791479543,,35.199880281341734,1233
2003,tx_urbanizacao_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,hetero,NA,0.15477052858043272,0.15609680729264383,0.9915034859763361,0.3216373668361276,,35.200680551072516,1233
2003,tx_urbanizacao_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,cluster,NA,0.15477052858043272,0.20425648869603016,0.7577263741704612,0.4703432999169467,,35.200680551072516,1233
2003,tx_urbanizacao_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_50,50,0.15477052858043272,0.17953674449951543,0.8620548902781873,0.3888275594059244,,35.200680551072516,1233
2003,tx_urbanizacao_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_100,100,0.15477052858043272,0.21471192463604283,0.7208287515599495,0.4711536622556962,,35.200680551072516,1233
2003,tx_urbanizacao_2010,densidade_buffer_real_2003,densidade_buffer_sintetica_2003,conley_200,200,0.15477052858043272,0.28407684578998516,0.5448192306910252,0.5859779162574315,,35.200680551072516,1233
