ano_tratamento,ano_outcome,escopo,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
1920,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1920,densidade_buffer_sintetica_future_1920,7.498631371500702,4.414943461750075,1.6984660022188052,0.0896717276168314,3.867772805366704,1254,*
1921,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1921,densidade_buffer_sintetica_future_1921,7.584964193622528,4.5584859292744015,1.6639218177492252,0.09638153823393916,3.716455844901842,1255,*
1922,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1922,densidade_buffer_sintetica_future_1922,7.465280374107152,4.447366084857205,1.6785846345156101,0.09348579872349834,3.8716328887329663,1255,*
1923,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1923,densidade_buffer_sintetica_future_1923,10.227967647363107,7.023442461491034,1.4562613281794825,0.14557517977271497,2.5334510248288993,1251,
1924,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1924,densidade_buffer_sintetica_future_1924,10.496341302353146,7.374057960309743,1.4234145376736709,0.15486920634224594,2.3995684051453265,1251,
1925,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1925,densidade_buffer_sintetica_future_1925,8.336279676602345,5.355181132626124,1.5566755764457816,0.11980436086102969,3.1929827791043794,1251,
1926,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1926,densidade_buffer_sintetica_future_1926,9.709443217990405,6.14840709060309,1.579180277901543,0.11455245701581619,3.245499022402053,1246,
1927,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1927,densidade_buffer_sintetica_future_1927,10.143143031876146,7.0200630253360945,1.4448791977035749,0.1487473493313406,2.760428767599318,1245,
1929,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1929,densidade_buffer_sintetica_future_1929,9.915855173790314,6.748712825775443,1.4692957649521794,0.14200913098631762,2.9040358769819763,1245,
1931,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1931,densidade_buffer_sintetica_future_1931,9.88991381723985,7.124084741909669,1.388236408679886,0.16531726177632186,2.609421972358775,1245,
1932,1920,PIB_Agro,pibag_1920,densidade_buffer_real_future_1932,densidade_buffer_sintetica_future_1932,9.383154991124897,6.541826343618202,1.4343326310210784,0.15173258161461908,2.837513908603549,1244,
