ano_tratamento,subamostra,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
1858,Geral,casaneg,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,66.65289019888084,79.95194585423073,0.8336618888601302,0.404624450803294,540442.995673689,1321,,+66.6529
1860,Geral,casaneg,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,557.7806346151476,558.7504054292194,0.9982643935384229,0.31833708394907817,1793.0965125807795,1318,,+557.7806
1862,Geral,casaneg,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,598.2374825935826,602.6681349635808,0.9926482717221048,0.3210663989641517,135.34418150922664,1317,,+598.2375
1863,Geral,casaneg,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,642.7253722261422,668.2143566090781,0.9618550781933475,0.3363016894916516,77.42493233462334,1316,,+642.7254
1873,Geral,casaneg,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,655.618842169588,676.1435233930583,0.9696444903879692,0.3324047895682811,75.81103653449414,1314,,+655.6188
1875,Geral,casaneg,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,661.301755345847,684.361801418242,0.9663043056690097,0.33407262983115904,73.55405600103427,1312,,+661.3018
1876,Geral,casaneg,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,245.3145153887134,270.5779086092045,0.9066317226326892,0.3647707645411755,309.4134597922913,1310,,+245.3145
1880,Geral,casaneg,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,252.19967860693663,281.6761762077002,0.8953532457106758,0.37076518881484144,155.18005427420718,1310,,+252.1997
1881,Geral,casaneg,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,241.52854802584207,231.0510572781732,1.045347079866657,0.296059337339182,146.42890024908056,1303,,+241.5285
1882,Geral,casaneg,densidade_buffer_real_1882,densidade_buffer_sintetica_1882,241.55613867300747,181.35106291454957,1.3319808265299542,0.18310397418515695,92.03118727540532,1297,,+241.5561
1883,Geral,casaneg,densidade_buffer_real_1883,densidade_buffer_sintetica_1883,99.39170673986919,96.88037150528962,1.0259220231669164,0.3051230892571855,72.30247667307313,1293,,+99.3917
1884,Geral,casaneg,densidade_buffer_real_1884,densidade_buffer_sintetica_1884,95.23705613956362,55.73522941738516,1.7087407217140993,0.08774312749897213,133.2966495688799,1290,*,+95.2371*
1885,Geral,casaneg,densidade_buffer_real_1885,densidade_buffer_sintetica_1885,94.95915950959542,62.46388719595787,1.5202249455224486,0.1287035573579669,98.5019973378443,1288,,+94.9592
1886,Geral,casaneg,densidade_buffer_real_1886,densidade_buffer_sintetica_1886,94.69582981796667,62.40633770650827,1.5174072585914775,0.12941315512192744,96.25219800457552,1287,,+94.6958
1887,Geral,casaneg,densidade_buffer_real_1887,densidade_buffer_sintetica_1887,61.86331325987753,55.68960722863064,1.1108592130287627,0.2668395512433136,65.13695439532785,1287,,+61.8633
