ano_tratamento,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
1858,sabem_7a14,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,212.82875355515182,82.39870989475827,2.582913662446683,0.009905264483280506,540442.9956736892,1321,***,+212.8288***
1858,nsabem_7a14,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,-189.3940636574622,74.81405269280626,-2.5315305994066724,0.011473445205492773,540442.9956736892,1321,**,-189.3941**
1858,sabem_15a,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,223.87418061183448,87.29331792909444,2.5646199035953736,0.010440192273069838,540442.9956736892,1321,**,+223.8742**
1858,nsabem_15a,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,-209.0209628874387,79.37059192266005,-2.6334812154495713,0.0085515634810771,540442.9956736892,1321,***,-209.0210***
1860,sabem_7a14,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,207.96192363846876,76.64029473473222,2.7134802176618398,0.006746078421581488,1793.0965125807872,1318,***,+207.9619***
1860,nsabem_7a14,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,-269.29576687508285,163.3343861135756,-1.6487389660118865,0.09944292654375181,1793.0965125807872,1318,*,-269.2958*
1860,sabem_15a,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,219.5669626250649,83.94218061038427,2.615692861782802,0.009007853029264764,1793.0965125807872,1318,***,+219.5670***
1860,nsabem_15a,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,-299.0638331627171,169.44414838285115,-1.764969968080552,0.07780375757620726,1793.0965125807872,1318,*,-299.0638*
1862,sabem_7a14,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,226.75432030410857,82.8069380370579,2.738349293903744,0.0062592775313738275,135.3441815092272,1317,***,+226.7543***
1862,nsabem_7a14,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,-291.98123731597286,176.15692798870433,-1.657506410049882,0.0976587803020664,135.3441815092272,1317,*,-291.9812*
1862,sabem_15a,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,237.58882644337046,90.70959883098439,2.6192247513525038,0.008915688601343638,135.3441815092272,1317,***,+237.5888***
1862,nsabem_15a,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,-322.37464274122055,183.16982907937296,-1.7599767623385507,0.07864726646575722,135.3441815092272,1317,*,-322.3746*
1863,sabem_7a14,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,245.87311450907765,92.54369461806516,2.656832705067748,0.007984671007275556,77.4249323346236,1316,***,+245.8731***
1863,nsabem_7a14,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,-315.0938879342262,197.29091114046193,-1.5971029081511718,0.11048636070525021,77.4249323346236,1316,,-315.0939
1863,sabem_15a,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,257.1575885044215,101.5896719214985,2.5313359482363045,0.011480234653131218,77.4249323346236,1316,**,+257.1576**
1863,nsabem_15a,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,-347.5812466035901,206.7829511465144,-1.6808989555300147,0.09302331652241688,77.4249323346236,1316,*,-347.5812*
1873,sabem_7a14,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,253.58275746089652,94.56929208339797,2.6814492513835155,0.007423548870454566,75.81103653449412,1314,***,+253.5828***
1873,nsabem_7a14,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,-322.13566417573776,200.46389065016191,-1.6069510729885537,0.10830887894769405,75.81103653449412,1314,,-322.1357
1873,sabem_15a,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,264.2136046198249,103.57076044003317,2.5510443632670143,0.010854249171900105,75.81103653449412,1314,**,+264.2136**
1873,nsabem_15a,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,-354.19362386637226,210.14000056513675,-1.6855126245066487,0.09213062306577442,75.81103653449412,1314,*,-354.1936*
1875,sabem_7a14,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,258.8031582996728,96.91214346563585,2.6704925620744526,0.007668987396400756,73.55405600103424,1312,***,+258.8032***
1875,nsabem_7a14,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,-326.9860887992863,204.20541770705574,-1.6012605956829529,0.10956348146065945,73.55405600103424,1312,,-326.9861
1875,sabem_15a,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,269.81317540093335,106.24252836433983,2.5395967091036944,0.011214333350278813,73.55405600103424,1312,**,+269.8132**
1875,nsabem_15a,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,-359.70823768030215,214.49700770719917,-1.676984875105226,0.09378715015204375,73.55405600103424,1312,*,-359.7082*
1876,sabem_7a14,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,101.64398999031205,73.94017307554508,1.3746788215718921,0.16946958933600903,309.41345979229095,1310,,+101.6440
1876,nsabem_7a14,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,-119.46929467660803,108.14959842984007,-1.1046670206002789,0.26950973570130576,309.41345979229095,1310,,-119.4693
1876,sabem_15a,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,63.72573798380412,97.41064443114648,0.6541968627345226,0.513101499306275,309.41345979229095,1310,,+63.7257
1876,nsabem_15a,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,-91.40812874199251,130.9486654427833,-0.6980455160265255,0.48527443511441326,309.41345979229095,1310,,-91.4081
1880,sabem_7a14,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,103.35750706077259,76.38272106977958,1.3531529855600477,0.17624365710672094,155.18005427420627,1310,,+103.3575
1880,nsabem_7a14,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,-122.20725139622874,112.09274185707696,-1.0902334029088896,0.2758137891827274,155.18005427420627,1310,,-122.2073
1880,sabem_15a,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,64.4189485987527,100.4956677261497,0.6410121954141753,0.5216285302039608,155.18005427420627,1310,,+64.4189
1880,nsabem_15a,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,-93.30628150284025,135.45962127833283,-0.6888125082759615,0.49106502803332985,155.18005427420627,1310,,-93.3063
1881,sabem_7a14,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,92.54695590192166,51.54593944196316,1.795426699054007,0.072820815006359,146.42890024908004,1303,*,+92.5470*
1881,nsabem_7a14,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,-101.58222940788549,80.47225661080687,-1.2623260945591988,0.20706069473257557,146.42890024908004,1303,,-101.5822
1881,sabem_15a,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,65.17544323979327,74.75507809058305,0.8718530553980314,0.3834515386158419,146.42890024908004,1303,,+65.1754
1881,nsabem_15a,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,-82.86530024668544,100.32248863761897,-0.8259892808880398,0.40896361946975546,146.42890024908004,1303,,-82.8653
1882,sabem_7a14,densidade_buffer_real_1882,densidade_buffer_sintetica_1882,79.5932211891804,45.16883597499183,1.7621269061095124,0.07828689249885389,92.03118727540645,1297,*,+79.5932*
1882,nsabem_7a14,densidade_buffer_real_1882,densidade_buffer_sintetica_1882,-97.13996984653699,67.08817006459411,-1.4479448426303516,0.14787774671232612,92.03118727540645,1297,,-97.1400
