ano_tratamento,subamostra,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
1858,Geral,pct_commaquinas,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,-0.11282261463913812,0.13177243430411748,-0.8561928390785808,0.39206948460223934,477224.9930975597,1321,,-0.1128
1858,Geral,pct_cominstruagra,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,0.09581789668840857,0.07380350163243879,1.29828388313616,0.19445010228978726,477224.9930975597,1321,,+0.0958
1860,Geral,pct_commaquinas,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,-0.47217774891496134,0.45636630290173485,-1.0346463924104208,0.30105197751444523,4174.9718224172775,1318,,-0.4722
1860,Geral,pct_cominstruagra,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,0.12048903678763109,0.11522458824224774,1.0456885863138465,0.29592495749062275,4174.9718224172775,1318,,+0.1205
1862,Geral,pct_commaquinas,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,-0.5175512580255305,0.4945450638156639,-1.0465199147522821,0.2955415369745187,168.61429193364975,1317,,-0.5176
1862,Geral,pct_cominstruagra,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,0.13749953933004166,0.1229303777652729,1.118515551888953,0.2635810647997661,168.61429193364975,1317,,+0.1375
1863,Geral,pct_commaquinas,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,-0.5395603985852074,0.5271510785627327,-1.0235403483500565,0.3062682505110518,109.78342469617517,1316,,-0.5396
1863,Geral,pct_cominstruagra,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,0.14334320764783343,0.12602548140171815,1.137414482003948,0.2556026017801672,109.78342469617517,1316,,+0.1433
1873,Geral,pct_commaquinas,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,-0.5409927105745596,0.5277600911729835,-1.0250731717363577,0.3055449844489263,109.67458281163755,1314,,-0.5410
1873,Geral,pct_cominstruagra,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,0.14355554492491995,0.12598509310849185,1.139464530151177,0.25474756410996646,109.67458281163755,1314,,+0.1436
1875,Geral,pct_commaquinas,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,-0.5400370586885597,0.5271945406403212,-1.024360111985682,0.3058815783023872,109.50984701764358,1312,,-0.5400
1875,Geral,pct_cominstruagra,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,0.14283114909784195,0.1264503331679937,1.1295434778181703,0.2589052162699175,109.50984701764358,1312,,+0.1428
1876,Geral,pct_commaquinas,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,-0.5407356171102266,0.5274038662902295,-1.0252780680463587,0.3054487427443455,109.37674116557282,1310,,-0.5407
