ano_tratamento,subamostra,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
1863,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1863,vizinhos_dens_sint_1863,1116.3328582568065,756.3013273340734,1.4760424422258087,0.18344312848710997,20.400014826380385,17,,+1116.3329
1873,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1873,vizinhos_dens_sint_1873,1122.9939177257315,758.7176001321186,1.4801210852762345,0.17710983240863187,19.40479435470239,19,,+1122.9939
1875,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1875,vizinhos_dens_sint_1875,1395.8068716875264,537.6259535057108,2.596241611078956,0.026662888709680622,15.287184142693395,21,**,+1395.8069**
1876,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1876,vizinhos_dens_sint_1876,1209.3120376970812,537.0739974395824,2.251667448921918,0.04575593478414167,17.553918791566037,22,**,+1209.3120**
1880,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1880,vizinhos_dens_sint_1880,1790.1071703135403,1043.5102474740793,1.7154667859244062,0.1017123451263385,5.457825555138208,31,,+1790.1072
1881,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1881,vizinhos_dens_sint_1881,958.4860331567252,417.35806768062247,2.29655566138521,0.028128351632332297,16.539629562069397,45,**,+958.4860**
1882,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1882,vizinhos_dens_sint_1882,751.3204754670619,237.27800568184594,3.166414321917681,0.002581611548928979,28.656497242924864,66,***,+751.3205***
1883,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1883,vizinhos_dens_sint_1883,824.8136848419372,351.70105688426327,2.345212414625653,0.021775693432537803,7.499505228751175,87,**,+824.8137**
1884,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1884,vizinhos_dens_sint_1884,618.0163082146694,275.65855479103624,2.2419631006306275,0.027449348237962815,8.759138161350325,104,**,+618.0163**
1885,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1885,vizinhos_dens_sint_1885,633.7061588192789,273.2150978581156,2.3194404840261478,0.02244704498341501,8.819425455937628,113,**,+633.7062**
1886,Atendidos_Dummy1,casaneg,vizinhos_dens_real_1886,vizinhos_dens_sint_1886,499.4162678753523,202.1501332703809,2.470521586089535,0.015183401412795243,14.782255974117223,115,**,+499.4163**
