ano_tratamento,subamostra,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
1863,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1863,vizinhos_dens_sint_1863,-0.43319349370278537,0.946829601707619,-0.45752001513420737,0.6633966924707851,22.299404675299595,17,,-0.4332
1863,Atendidos_Dummy1,pct_cominstruagra,vizinhos_dens_real_1863,vizinhos_dens_sint_1863,-0.8464275133977918,0.5417692094297365,-1.5623396432749233,0.16923505568466626,22.299404675299595,17,,-0.8464
1873,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1873,vizinhos_dens_sint_1873,-0.43319349370278537,0.946829601707619,-0.45752001513420737,0.6633966924707851,22.299404675299595,19,,-0.4332
1873,Atendidos_Dummy1,pct_cominstruagra,vizinhos_dens_real_1873,vizinhos_dens_sint_1873,-0.8464275133977918,0.5417692094297365,-1.5623396432749233,0.16923505568466626,22.299404675299595,19,,-0.8464
1875,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1875,vizinhos_dens_sint_1875,-0.43319349370278537,0.946829601707619,-0.45752001513420737,0.6633966924707851,22.299404675299595,21,,-0.4332
1875,Atendidos_Dummy1,pct_cominstruagra,vizinhos_dens_real_1875,vizinhos_dens_sint_1875,-0.8464275133977918,0.5417692094297365,-1.5623396432749233,0.16923505568466626,22.299404675299595,21,,-0.8464
1876,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1876,vizinhos_dens_sint_1876,-0.43319349370278537,0.946829601707619,-0.45752001513420737,0.6633966924707851,22.299404675299595,22,,-0.4332
1876,Atendidos_Dummy1,pct_cominstruagra,vizinhos_dens_real_1876,vizinhos_dens_sint_1876,-0.8464275133977918,0.5417692094297365,-1.5623396432749233,0.16923505568466626,22.299404675299595,22,,-0.8464
1880,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1880,vizinhos_dens_sint_1880,-0.6158807553684587,0.9528809929028876,-0.646335439530827,0.5293079407169394,8.342905789106764,31,,-0.6159
1880,Atendidos_Dummy1,pct_cominstruagra,vizinhos_dens_real_1880,vizinhos_dens_sint_1880,-0.7153231399495118,0.6081513376912742,-1.176225547188787,0.260595126212843,8.342905789106764,31,,-0.7153
1881,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1881,vizinhos_dens_sint_1881,-0.8416548544275446,0.39050105916282163,-2.1553202857680644,0.04138171309553756,14.338155339289958,45,**,-0.8417**
1881,Atendidos_Dummy1,pct_cominstruagra,vizinhos_dens_real_1881,vizinhos_dens_sint_1881,0.039327628117023034,0.2556513612835252,0.153833047943005,0.8790276006037068,14.338155339289958,45,,+0.0393
1882,Atendidos_Dummy1,pct_commaquinas,vizinhos_dens_real_1882,vizinhos_dens_sint_1882,-0.5688065157651716,0.40827309296670433,-1.3932010841859694,0.1714494890532908,35.61229479474089,66,,-0.5688
