grupo,ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
Nao_Semiarido,1950,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.0430967726719677,0.05694205923228286,0.7568530757934782,0.44969477006090286,20.692662961500933,339,
Nao_Semiarido,1950,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.050484416809705515,0.07239435089981011,0.6973529865551696,0.486088245638302,20.692662961500933,339,
Nao_Semiarido,1950,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.04926379745205993,0.06021379866024336,0.8181479751847436,0.4138814928821818,20.692662961500933,339,
Nordeste,1950,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.07292993098982826,0.0440663676379924,1.6550021002173723,0.09818275820161419,38.61768059769291,1232,*
Nordeste,1950,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.09492237439603553,0.05641059450390723,1.6827047335844123,0.09268961471220873,38.61768059769291,1232,*
Nordeste,1950,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.06093355373126444,0.045518236216882856,1.3386624525812358,0.18093141813727634,38.61768059769291,1232,
Semiarido,1950,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.10998431706524466,0.07436101450681151,1.479058856239381,0.13948407682548436,15.854796691165589,893,
Semiarido,1950,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.15894360496973986,0.09463859181707414,1.6794798180953512,0.09341515264449922,15.854796691165589,893,*
Semiarido,1950,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.08525086690537911,0.07371376623281198,1.1565121586126699,0.24778701894524927,15.854796691165589,893,
Nao_Semiarido,1950,1991,IDH_Geral,adh_idhm (1991),adh_idhm_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.036765599214479805,0.058239922407792744,0.6312783000816707,0.5283092253475591,20.692662961500933,339,
Nao_Semiarido,1950,2000,IDH_Geral,adh_idhm (2000),adh_idhm_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.026455074851174144,0.05749810638060573,0.46010341064201576,0.6457544648547368,20.692662961500933,339,
Nao_Semiarido,1950,2010,IDH_Geral,adh_idhm (2010),adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.012910570929117324,0.043773596273915145,0.29493969031762607,0.7682312082521852,20.692662961500933,339,
Nordeste,1950,1991,IDH_Geral,adh_idhm (1991),adh_idhm_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.1046788363493254,0.04833404898798101,2.1657369606124943,0.030525647891202125,38.61768059769291,1232,**
Nordeste,1950,2000,IDH_Geral,adh_idhm (2000),adh_idhm_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.10404894254187122,0.047022389203853564,2.212753207643142,0.027100322546182536,38.61768059769291,1232,**
Nordeste,1950,2010,IDH_Geral,adh_idhm (2010),adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.04999070371485832,0.03215084629324677,1.5548798703118052,0.12023553666889983,38.61768059769291,1232,
Semiarido,1950,1991,IDH_Geral,adh_idhm (1991),adh_idhm_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.19224829444047956,0.08784061585049666,2.18860367244787,0.02888904519705601,15.854796691165589,893,**
Semiarido,1950,2000,IDH_Geral,adh_idhm (2000),adh_idhm_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.21534418323419557,0.08730422665913637,2.4665951635419456,0.013830874154872306,15.854796691165589,893,**
Semiarido,1950,2010,IDH_Geral,adh_idhm (2010),adh_idhm_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.1195996730193342,0.055590624138319285,2.1514360537084296,0.03171460159631999,15.854796691165589,893,**
Nao_Semiarido,1950,1991,IDH_Longevidade,adh_idhm_l (1991),adh_idhm_l_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.013989780874417553,0.05046485683007221,0.27721828125906794,0.7817914972922583,20.692662961500933,339,
Nao_Semiarido,1950,2000,IDH_Longevidade,adh_idhm_l (2000),adh_idhm_l_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.02897424188590335,0.040166519028951346,0.7213530718213148,0.47121901427403823,20.692662961500933,339,
Nao_Semiarido,1950,2010,IDH_Longevidade,adh_idhm_l (2010),adh_idhm_l_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.011109398938523474,0.03339873720082448,0.3326293108545801,0.7396319129935449,20.692662961500933,339,
Nordeste,1950,1991,IDH_Longevidade,adh_idhm_l (1991),adh_idhm_l_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.03995895794494693,0.045007112296010385,0.887836519751325,0.3748047033827494,38.61768059769291,1232,
Nordeste,1950,2000,IDH_Longevidade,adh_idhm_l (2000),adh_idhm_l_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.05532058531412687,0.03753993341382186,1.4736463356048024,0.140836289736102,38.61768059769291,1232,
Nordeste,1950,2010,IDH_Longevidade,adh_idhm_l (2010),adh_idhm_l_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.01000425907424149,0.026483177854226676,0.3777590109959113,0.7056757148253907,38.61768059769291,1232,
Semiarido,1950,1991,IDH_Longevidade,adh_idhm_l (1991),adh_idhm_l_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.1045148211297689,0.08365508084910371,1.2493541344881587,0.2118692920170083,15.854796691165589,893,
Semiarido,1950,2000,IDH_Longevidade,adh_idhm_l (2000),adh_idhm_l_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.11279675147444987,0.06990286687955537,1.6136212505962293,0.10696974537154162,15.854796691165589,893,
Semiarido,1950,2010,IDH_Longevidade,adh_idhm_l (2010),adh_idhm_l_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.040814234943267164,0.045599494701195904,0.8950589301639073,0.3710014510464341,15.854796691165589,893,
Nao_Semiarido,1950,1991,IDH_Renda,adh_idhm_r (1991),adh_idhm_r_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.013795213537704045,0.050680568115740815,-0.27219926789690835,0.7856443502127258,20.692662961500933,339,
Nao_Semiarido,1950,2000,IDH_Renda,adh_idhm_r (2000),adh_idhm_r_2000,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.03296786759067899,0.05325257813485114,-0.6190849109163257,0.5363009010918032,20.692662961500933,339,
Nao_Semiarido,1950,2010,IDH_Renda,adh_idhm_r (2010),adh_idhm_r_2010,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,-0.026027836103326693,0.04736275512405255,-0.5495422729348107,0.5830166659226799,20.692662961500933,339,
Nordeste,1950,1991,IDH_Renda,adh_idhm_r (1991),adh_idhm_r_1991,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,0.1422504694760718,0.05297063428598434,2.685459054691937,0.007341830075347708,38.61768059769291,1232,***
