ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1858,densidade_buffer_sintetica_5km_1858,0.5071403949491218,0.07999773920014897,6.33943408925958,3.1723859811255014e-10,540442.9956736887,0.15550493482401118,1319,***
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1858,densidade_buffer_sintetica_10km_1858,0.2689096458654099,0.024178605305861783,11.121801380339184,1.6310766957238657e-27,42302.861721482506,0.164261902263796,1319,***
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1858,densidade_buffer_sintetica_20km_1858,0.17135748180058877,0.029776900846926652,5.754711770760892,1.0809080033205199e-8,31162.400037494364,0.16770552656780924,1319,***
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1858,densidade_buffer_sintetica_50km_1858,0.03537870932639272,0.018041641327794084,1.96094738187096,0.0500980662294534,27731.517200288035,0.1528738526919965,1319,*
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1858,densidade_buffer_sintetica_5km_1858,0.5448805201262221,0.07540713613486166,7.225848216165274,8.455054761123159e-13,540442.9956736887,0.19446150118256866,1319,***
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1858,densidade_buffer_sintetica_10km_1858,0.2765968124505514,0.023082624000222058,11.982901616726526,1.8425685459445325e-31,42302.861721482506,0.19993706926744748,1319,***
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1858,densidade_buffer_sintetica_20km_1858,0.1875904531991456,0.03454764318423992,5.429905947527019,6.719944437264092e-8,31162.400037494364,0.2039899994172436,1319,***
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1858,densidade_buffer_sintetica_50km_1858,0.041941423335068964,0.0193699775764959,2.165279911627875,0.03054739354048608,27731.517200288035,0.19323719222864588,1319,**
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1858,densidade_buffer_sintetica_5km_1858,0.42113162862950987,0.05520586115412306,7.628386186274671,4.567879697363896e-14,540442.9956736887,0.2598118706364768,1319,***
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1858,densidade_buffer_sintetica_10km_1858,0.2104588537281006,0.019622767620059003,10.725238039967564,8.912289345296293e-26,42302.861721482506,0.2636351542959543,1319,***
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1858,densidade_buffer_sintetica_20km_1858,0.150333182911124,0.027297992648865944,5.507114931301345,4.390115246527925e-8,31162.400037494364,0.2677142151655021,1319,***
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1858,densidade_buffer_sintetica_50km_1858,0.048596774950996895,0.014681670816934948,3.3100302790430165,9.583916655489278e-4,27731.517200288035,0.2626049523733478,1319,***
1860,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1860,densidade_buffer_sintetica_5km_1860,0.5484047517508781,0.09215372312212079,5.9509777051996045,3.423754505013079e-9,1792.9981538243378,0.1541905274326717,1316,***
1860,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1860,densidade_buffer_sintetica_10km_1860,0.2911817148583049,0.040262359514640036,7.232107565688658,8.098304845739013e-13,3034.530300620885,0.16581600449987266,1316,***
1860,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1860,densidade_buffer_sintetica_20km_1860,0.14115798682852004,0.026803502283525984,5.266400835807148,1.6267441283195058e-7,6337.210265910083,0.1735314275035198,1316,***
1860,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1860,densidade_buffer_sintetica_50km_1860,0.0671261623370612,0.013616010504712598,4.929943489234851,9.287129119041289e-7,6450.495814826803,0.17328860419432224,1316,***
1860,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1860,densidade_buffer_sintetica_5km_1860,0.8021000852013588,0.2850754123856573,2.8136417605747677,0.004972210140081914,1792.9981538243378,0.1961351092544532,1316,***
