ano_tratamento,tratamento_tipo,variavel_endogena,variavel_tratamento,coeficiente,erro_padrao,t_estatistica,p_valor,r2,n_observacoes,significancia,coeficiente_sig
1858,dummy,log(pib_2010),dummy_atendida_sintetica_1858,2.5761432812570777,0.4265555125183964,6.039409187440695,1.546795358464692e-9,0.32745528130476487,1321,***,+2.5761***
1858,densidade,log(pib_2010),densidade_sintetica_1858,0.06344903095818237,0.015152798680341402,4.18728132648515,2.8231580526227873e-5,0.31919519371999217,1321,***,+0.0634***
1860,dummy,log(pib_2010),dummy_atendida_sintetica_1860,1.913031018977775,0.3724604608822095,5.136198925508956,2.803509069337906e-7,0.33819813551277733,1321,***,+1.9130***
1860,densidade,log(pib_2010),densidade_sintetica_1860,0.026615130774718557,0.0066442252681243085,4.00575382391153,6.182000832333223e-5,0.3340808513548459,1321,***,+0.0266***
1862,dummy,log(pib_2010),dummy_atendida_sintetica_1862,1.8024958935952458,0.37365524595903876,4.823954468962121,1.4073955825200102e-6,0.33530396392093387,1321,***,+1.8025***
1862,densidade,log(pib_2010),densidade_sintetica_1862,0.01852348972667662,0.00421654100443298,4.39305338361522,1.117696678254454e-5,0.3302860025477645,1321,***,+0.0185***
1863,dummy,log(pib_2010),dummy_atendida_sintetica_1863,1.8024958935952458,0.37365524595903876,4.823954468962121,1.4073955825200102e-6,0.33530396392093387,1321,***,+1.8025***
1863,densidade,log(pib_2010),densidade_sintetica_1863,0.01974179522428935,0.004269039563129902,4.624411400351464,3.756636132390412e-6,0.33900265421293607,1321,***,+0.0197***
1876,dummy,log(pib_2010),dummy_atendida_sintetica_1876,1.393614286800577,0.29227179728163777,4.76821335401605,1.85866889790276e-6,0.33193296599796285,1321,***,+1.3936***
1876,densidade,log(pib_2010),densidade_sintetica_1876,0.019648455754138053,0.004124671876749019,4.763640924966027,1.901307157048393e-6,0.33966818570950785,1321,***,+0.0196***
1881,dummy,log(pib_2010),dummy_atendida_sintetica_1881,1.393614286800577,0.29227179728163777,4.76821335401605,1.85866889790276e-6,0.33193296599796285,1321,***,+1.3936***
1881,densidade,log(pib_2010),densidade_sintetica_1881,0.019020270690796506,0.0038816939392971954,4.899992371433654,9.58403765460858e-7,0.33840275838451206,1321,***,+0.0190***
1882,dummy,log(pib_2010),dummy_atendida_sintetica_1882,0.7399037631451116,0.21065829626876892,3.512340962831597,4.4417775366767387e-4,0.31621644898400714,1321,***,+0.7399***
1882,densidade,log(pib_2010),densidade_sintetica_1882,0.01673770432544212,0.002802943681595559,5.971473645847312,2.3512005675740966e-9,0.3376890649941897,1321,***,+0.0167***
1883,dummy,log(pib_2010),dummy_atendida_sintetica_1883,0.4906196639785613,0.13812195825532833,3.552075789945113,3.8220475451455904e-4,0.31387820797854227,1321,***,+0.4906***
1883,densidade,log(pib_2010),densidade_sintetica_1883,0.012734159118668664,0.0027977157350182785,4.551627229056374,5.323259117506751e-6,0.33174701677528995,1321,***,+0.0127***
1884,dummy,log(pib_2010),dummy_atendida_sintetica_1884,0.48846494489516484,0.12928069299078515,3.778328639760475,1.5788443651088002e-4,0.31505329493741574,1321,***,+0.4885***
1884,densidade,log(pib_2010),densidade_sintetica_1884,0.011745882057742523,0.002809187120730203,4.181238754465516,2.899252320309742e-5,0.32975701561936865,1321,***,+0.0117***
1885,dummy,log(pib_2010),dummy_atendida_sintetica_1885,0.48846494489516484,0.12928069299078515,3.778328639760475,1.5788443651088002e-4,0.31505329493741574,1321,***,+0.4885***
1885,densidade,log(pib_2010),densidade_sintetica_1885,0.011069952704991297,0.0023916183390811823,4.628645183095635,3.680657793436737e-6,0.330298982924197,1321,***,+0.0111***
1886,dummy,log(pib_2010),dummy_atendida_sintetica_1886,0.48846494489516484,0.12928069299078515,3.778328639760475,1.5788443651088002e-4,0.31505329493741574,1321,***,+0.4885***
1886,densidade,log(pib_2010),densidade_sintetica_1886,0.010348534001114495,0.002061977080693794,5.01874346616526,5.201054786851955e-7,0.33046631223787226,1321,***,+0.0103***
1887,dummy,log(pib_2010),dummy_atendida_sintetica_1887,0.3085189315605517,0.1089965161282718,2.8305393834558283,0.004646958975688342,0.30885911568006164,1321,***,+0.3085***
1887,densidade,log(pib_2010),densidade_sintetica_1887,0.009641726847651126,0.001641045547621429,5.875356026300476,4.219355309587058e-9,0.3334176704580706,1321,***,+0.0096***
1888,dummy,log(pib_2010),dummy_atendida_sintetica_1888,0.29468542732801434,0.10798318935529108,2.7289935506389544,0.0063527946349895,0.3084109341554808,1321,***,+0.2947***
1888,densidade,log(pib_2010),densidade_sintetica_1888,0.008213007761012215,0.0019613629301044183,4.187398280528822,2.821704148270321e-5,0.32930023356233484,1321,***,+0.0082***
1894,dummy,log(pib_2010),dummy_atendida_sintetica_1894,0.19856487074654222,0.10374882585551039,1.9138999319672387,0.05563294310491318,0.30551822995856814,1321,*,+0.1986*
1894,densidade,log(pib_2010),densidade_sintetica_1894,0.006881719916997364,0.0013533519210603294,5.084944876426264,3.677328548334913e-7,0.32857258879267137,1321,***,+0.0069***
1896,dummy,log(pib_2010),dummy_atendida_sintetica_1896,0.2235879101367532,0.10381678964890877,2.153677751863553,0.03126545206911935,0.3062342733735083,1321,**,+0.2236**
1896,densidade,log(pib_2010),densidade_sintetica_1896,0.00655438031165462,0.0013313306090215762,4.923180063043526,8.514903619971648e-7,0.3300814103445583,1321,***,+0.0066***
1901,dummy,log(pib_2010),dummy_atendida_sintetica_1901,0.24215158442681076,0.09718059373818104,2.4917689336124362,0.012710869897820887,0.3070152069213936,1321,**,+0.2422**
1901,densidade,log(pib_2010),densidade_sintetica_1901,0.006113131463150544,0.0011480411109136067,5.324836719728388,1.0104376246822255e-7,0.3303401009775492,1321,***,+0.0061***
1902,dummy,log(pib_2010),dummy_atendida_sintetica_1902,0.22438674332733677,0.09687826784302622,2.31617212325591,0.020548872615224534,0.3064597770764529,1321,**,+0.2244**
1902,densidade,log(pib_2010),densidade_sintetica_1902,0.0060295435910231515,0.0011497728830998232,5.2441170596816615,1.5703248279486104e-7,0.32961432993703943,1321,***,+0.0060***
1904,dummy,log(pib_2010),dummy_atendida_sintetica_1904,0.20726547947084265,0.09709973042238494,2.134562872309073,0.032796732885742585,0.3059241654140634,1321,**,+0.2073**
1904,densidade,log(pib_2010),densidade_sintetica_1904,0.005835194196297805,0.00112804182643612,5.172852689986888,2.305467714514009e-7,0.3287963511527149,1321,***,+0.0058***
1905,dummy,log(pib_2010),dummy_atendida_sintetica_1905,0.19049779378690865,0.09695248840256214,1.9648571885636554,0.04943076894484055,0.30547916135946185,1321,**,+0.1905**
1905,densidade,log(pib_2010),densidade_sintetica_1905,0.005998418443482417,0.001087040907626776,5.518116568932206,3.426521244520586e-8,0.33191809934868677,1321,***,+0.0060***
1906,dummy,log(pib_2010),dummy_atendida_sintetica_1906,0.19049779378690865,0.09695248840256214,1.9648571885636554,0.04943076894484055,0.30547916135946185,1321,**,+0.1905**
1906,densidade,log(pib_2010),densidade_sintetica_1906,0.005707656793029411,0.0010911929490078607,5.230657692774639,1.6890802156943607e-7,0.33028288085408586,1321,***,+0.0057***
1907,dummy,log(pib_2010),dummy_atendida_sintetica_1907,0.23887445569293955,0.09792446368085883,2.439374664041505,0.014712705418846728,0.3069361225962529,1321,**,+0.2389**
1907,densidade,log(pib_2010),densidade_sintetica_1907,0.005280237397607349,9.785819764845565e-4,5.395804873267743,6.821705156312419e-8,0.3298395086525303,1321,***,+0.0053***
1910,dummy,log(pib_2010),dummy_atendida_sintetica_1910,0.23887445569293955,0.09792446368085883,2.439374664041505,0.014712705418846728,0.3069361225962529,1321,**,+0.2389**
1910,densidade,log(pib_2010),densidade_sintetica_1910,0.004504561026772607,0.0012209975503984765,3.6892465716270513,2.2491915248212813e-4,0.32522497638949566,1321,***,+0.0045***
1912,dummy,log(pib_2010),dummy_atendida_sintetica_1912,0.24802197638033385,0.09415319084946366,2.634238671495292,0.008432618910948042,0.30746902766717443,1321,***,+0.2480***
1912,densidade,log(pib_2010),densidade_sintetica_1912,0.0043462473283920515,9.653588304326054e-4,4.5022091178721295,6.725076227453997e-6,0.3300608815286944,1321,***,+0.0043***
1913,dummy,log(pib_2010),dummy_atendida_sintetica_1913,0.28123216542352913,0.08811731174677344,3.191565423962527,0.0014150406005484228,0.3092061706156518,1321,***,+0.2812***
1913,densidade,log(pib_2010),densidade_sintetica_1913,0.0040630535353023715,8.313223809337614e-4,4.887458377745889,1.021460813710462e-6,0.3323335187588585,1321,***,+0.0041***
1915,dummy,log(pib_2010),dummy_atendida_sintetica_1915,0.3220947268423256,0.08703253442743125,3.7008542720411293,2.148748570047765e-4,0.31112568123811024,1321,***,+0.3221***
1915,densidade,log(pib_2010),densidade_sintetica_1915,0.00413447425327256,8.075453231752037e-4,5.119804591296669,3.058524065124857e-7,0.33402846715746937,1321,***,+0.0041***
1916,dummy,log(pib_2010),dummy_atendida_sintetica_1916,0.2977308025328232,0.08605442751386655,3.4597964466714712,5.405838684011677e-4,0.3099740525712713,1321,***,+0.2977***
1916,densidade,log(pib_2010),densidade_sintetica_1916,0.003611765854944114,7.15373622768568e-4,5.048782538229767,4.446345120978634e-7,0.3336064466474281,1321,***,+0.0036***
1917,dummy,log(pib_2010),dummy_atendida_sintetica_1917,0.29756404259730396,0.08579738254789404,3.4682181875559777,5.239217189358936e-4,0.30998146397816106,1321,***,+0.2976***
1917,densidade,log(pib_2010),densidade_sintetica_1917,0.0032189748850807586,7.121504856617436e-4,4.520076795411614,6.181720314968331e-6,0.33059500660743246,1321,***,+0.0032***
