ano_tratamento,tratamento_tipo,variavel_endogena,variavel_tratamento,coeficiente,erro_padrao,t_estatistica,p_valor,r2,n_observacoes,significancia,coeficiente_sig
1858,dummy,log(pib_2010),dummy_atendida_sintetica_1858,2.3135343207731696,0.4206559826193916,5.4998250740830406,3.801682124660033e-8,0.33016135162256066,1164,***,+2.3135***
1860,dummy,log(pib_2010),dummy_atendida_sintetica_1860,1.2838878926730228,0.4587787345834909,2.7984904179105414,0.005134209277356749,0.32361226065927895,1164,***,+1.2839***
1862,dummy,log(pib_2010),dummy_atendida_sintetica_1862,1.1315562727566804,0.4457148308034955,2.5387449430767433,0.011125089575668712,0.32170916605140487,1164,**,+1.1316**
1863,dummy,log(pib_2010),dummy_atendida_sintetica_1863,1.1315562727566804,0.4457148308034955,2.5387449430767433,0.011125089575668712,0.32170916605140487,1164,**,+1.1316**
1876,dummy,log(pib_2010),dummy_atendida_sintetica_1876,0.8866024635064463,0.3048126302337683,2.9086802040535167,0.003629579284467166,0.3214950041998189,1164,***,+0.8866***
1876,densidade,log(pib_2010),densidade_sintetica_1876,0.012445353280334644,0.0012246993971747329,10.161965710969493,0,0.312381956801259,1164,***,+0.0124***
1881,dummy,log(pib_2010),dummy_atendida_sintetica_1881,0.8866024635064463,0.3048126302337683,2.9086802040535167,0.003629579284467166,0.3214950041998189,1164,***,+0.8866***
1881,densidade,log(pib_2010),densidade_sintetica_1881,0.013540892768179746,0.0020333824600977856,6.659294566516799,2.751443517468033e-11,0.3125257552098707,1164,***,+0.0135***
1882,dummy,log(pib_2010),dummy_atendida_sintetica_1882,0.3571292714270272,0.1959273061499099,1.8227641590385406,0.0683391182527262,0.31485463577676653,1164,*,+0.3571*
1882,densidade,log(pib_2010),densidade_sintetica_1882,0.008122922092822548,0.00885622028658327,0.9171996438625591,0.35903803341225093,0.3131169934269946,1164,,+0.0081
1883,dummy,log(pib_2010),dummy_atendida_sintetica_1883,0.2523785389611694,0.1377158525342987,1.8326033954465302,0.06686157284818406,0.31483929014841205,1164,*,+0.2524*
1883,densidade,log(pib_2010),densidade_sintetica_1883,0.005465997252212005,0.004178275062931389,1.3081946903651618,0.19080728255033375,0.31400614852286435,1164,,+0.0055
1884,dummy,log(pib_2010),dummy_atendida_sintetica_1884,0.235672980996787,0.1241393697042766,1.8984547896304331,0.05763619798901787,0.3148355039361206,1164,*,+0.2357*
1884,densidade,log(pib_2010),densidade_sintetica_1884,0.0036719730864052786,0.003191295599686312,1.1506214237146237,0.2498880153615779,0.31313337554684983,1164,,+0.0037
1885,dummy,log(pib_2010),dummy_atendida_sintetica_1885,0.235672980996787,0.1241393697042766,1.8984547896304331,0.05763619798901787,0.3148355039361206,1164,*,+0.2357*
1885,densidade,log(pib_2010),densidade_sintetica_1885,0.0036719730864052786,0.003191295599686312,1.1506214237146237,0.2498880153615779,0.31313337554684983,1164,,+0.0037
1886,dummy,log(pib_2010),dummy_atendida_sintetica_1886,0.235672980996787,0.1241393697042766,1.8984547896304331,0.05763619798901787,0.3148355039361206,1164,*,+0.2357*
1886,densidade,log(pib_2010),densidade_sintetica_1886,0.0036719730864052786,0.003191295599686312,1.1506214237146237,0.2498880153615779,0.31313337554684983,1164,,+0.0037
1887,dummy,log(pib_2010),dummy_atendida_sintetica_1887,0.10031431240451666,0.10026036287815031,1.0005380942659454,0.31705017180564954,0.3125152251756729,1164,,+0.1003
1887,densidade,log(pib_2010),densidade_sintetica_1887,0.0033628669835902483,0.002229226283188911,1.5085354990430413,0.13141752824433395,0.31355555619283293,1164,,+0.0034
1888,dummy,log(pib_2010),dummy_atendida_sintetica_1888,0.09523481328283445,0.09953991148495538,0.9567500298332935,0.3386934395324108,0.31245098334042765,1164,,+0.0952
1888,densidade,log(pib_2010),densidade_sintetica_1888,0.0034743970787399978,0.002044414289484658,1.699458420247982,0.08923284257369435,0.31388109912926343,1164,*,+0.0035*
1894,dummy,log(pib_2010),dummy_atendida_sintetica_1894,0.0349838563293001,0.09633545077047977,0.36314623588204836,0.7164956474687694,0.31190351676313843,1164,,+0.0350
1894,densidade,log(pib_2010),densidade_sintetica_1894,0.0031894318110478985,0.0019303760038960427,1.6522334532809808,0.09848696926412037,0.31404701173325433,1164,*,+0.0032*
1896,dummy,log(pib_2010),dummy_atendida_sintetica_1896,0.07141445953240573,0.09807229693254989,0.72818177779115,0.466502318984265,0.31219468456373733,1164,,+0.0714
1896,densidade,log(pib_2010),densidade_sintetica_1896,0.0022413226037305443,0.0016418565742074955,1.3651147359277735,0.17221699121546097,0.3133019056570747,1164,,+0.0022
1901,dummy,log(pib_2010),dummy_atendida_sintetica_1901,0.14940453031595638,0.09305343090006311,1.605577880050579,0.10836668884398692,0.31360454449400255,1164,,+0.1494
1901,densidade,log(pib_2010),densidade_sintetica_1901,0.0029085280727649764,0.001365505490048731,2.130001009853999,0.033171529994701965,0.31517166268760755,1164,**,+0.0029**
1902,dummy,log(pib_2010),dummy_atendida_sintetica_1902,0.14388786097547396,0.09298393821075654,1.5474485566457623,0.12175512019551671,0.3134814533175214,1164,,+0.1439
1902,densidade,log(pib_2010),densidade_sintetica_1902,0.0029085280727649764,0.001365505490048731,2.130001009853999,0.033171529994701965,0.31517166268760755,1164,**,+0.0029**
1904,dummy,log(pib_2010),dummy_atendida_sintetica_1904,0.12934064109116208,0.09339657550176725,1.3848542132973034,0.16609704987877016,0.313148328254673,1164,,+0.1293
1904,densidade,log(pib_2010),densidade_sintetica_1904,0.002767645831861629,0.0012885367407863171,2.147898266503988,0.031721838133200286,0.3150932806750909,1164,**,+0.0028**
1905,dummy,log(pib_2010),dummy_atendida_sintetica_1905,0.11150734047051927,0.0933329650952433,1.1947262187237875,0.23219401518143057,0.3128098197283363,1164,,+0.1115
1905,densidade,log(pib_2010),densidade_sintetica_1905,0.002994639091981041,0.0012964572854988767,2.3098632908902235,0.020895723963890056,0.3156995951156404,1164,**,+0.0030**
1906,dummy,log(pib_2010),dummy_atendida_sintetica_1906,0.11150734047051927,0.0933329650952433,1.1947262187237875,0.23219401518143057,0.3128098197283363,1164,,+0.1115
1906,densidade,log(pib_2010),densidade_sintetica_1906,0.003105145912012689,0.0012644713748252345,2.455686996031728,0.014061557354319465,0.3161927845602259,1164,**,+0.0031**
1907,dummy,log(pib_2010),dummy_atendida_sintetica_1907,0.1373747805383153,0.09209411673607223,1.491678137616658,0.13578354309459173,0.31334531866096105,1164,,+0.1374
1907,densidade,log(pib_2010),densidade_sintetica_1907,0.003000116857624727,0.0012630385031673708,2.3753170232746013,0.017533883372883752,0.3164925674358626,1164,**,+0.0030**
1910,dummy,log(pib_2010),dummy_atendida_sintetica_1910,0.1373747805383153,0.09209411673607223,1.491678137616658,0.13578354309459173,0.31334531866096105,1164,,+0.1374
1910,densidade,log(pib_2010),densidade_sintetica_1910,0.003000116857624727,0.0012630385031673708,2.3753170232746013,0.017533883372883752,0.3164925674358626,1164,**,+0.0030**
1912,dummy,log(pib_2010),dummy_atendida_sintetica_1912,0.13582327689694138,0.08920128037553303,1.522660620174195,0.12784363501024543,0.31338513012586156,1164,,+0.1358
1912,densidade,log(pib_2010),densidade_sintetica_1912,0.0027181439267291462,0.0010849761343939288,2.505256881293071,0.012236248792242943,0.3168854974226828,1164,**,+0.0027**
1913,dummy,log(pib_2010),dummy_atendida_sintetica_1913,0.19731015000263552,0.08409097486227707,2.3463891377854416,0.018956304584336614,0.31551660314297203,1164,**,+0.1973**
1913,densidade,log(pib_2010),densidade_sintetica_1913,0.0024394306047908617,8.611065997104402e-4,2.832901995654378,0.00461275258812055,0.31774032340003167,1164,***,+0.0024***
1915,dummy,log(pib_2010),dummy_atendida_sintetica_1915,0.2465383970019193,0.08380797003126174,2.9417058653246992,0.0032640980146689813,0.3176020787227264,1164,***,+0.2465***
1915,densidade,log(pib_2010),densidade_sintetica_1915,0.0025762898163868794,8.622298981348791e-4,2.9879383931823122,0.002808661635961718,0.3184222372239892,1164,***,+0.0026***
1916,dummy,log(pib_2010),dummy_atendida_sintetica_1916,0.2004871335380333,0.08242040027882232,2.4324940531688717,0.014995237751711743,0.315666599303816,1164,**,+0.2005**
1916,densidade,log(pib_2010),densidade_sintetica_1916,0.0019918483203023914,7.15201379750934e-4,2.785017446409352,0.005352484306385463,0.31767612240571363,1164,***,+0.0020***
