ano,tratamento,variavel_endogena,variavel_tratamento,coeficiente,erro_padrao,t_estatistica,p_valor,r2,n_observacoes,significancia,coeficiente_sig
1920,dummy,pib_total,dummy_sintetica,2607.0691313522975,1024.2644903429275,2.545308517411788,0.010918122628583493,0.18675749412981169,1321,**,+2607.0691**
1920,densidade,pib_total,densidade_sintetica,59.08888703544273,29.702172911834452,1.9893792690129926,0.046659356108634364,0.24322909055670416,1321,**,+59.0889**
1949,dummy,pib_total,dummy_sintetica,14107.217060119889,4660.973003261766,3.0266678331429095,0.0024726551061757807,0.0790975368203517,1321,***,+14107.2171***
1949,densidade,pib_total,densidade_sintetica,375.1786255496359,254.21712565610488,1.4758196348154886,0.1399923182553513,0.17335892589304824,1321,,+375.1786
1985,dummy,pib_total,dummy_sintetica,160697.56820683376,57159.04903374947,2.8114108076212068,0.004932476409352571,0.061951853910455434,1321,***,+160697.5682***
1985,densidade,pib_total,densidade_sintetica,2373.9347872107733,1186.4036717070992,2.000950303698026,0.045397745735768824,0.10920702082847367,1321,**,+2373.9348**
1996,dummy,pib_total,dummy_sintetica,187435.15132580145,69788.3888927697,2.6857641263763337,0.007236415429257903,0.04535727610916651,1321,***,+187435.1513***
1996,densidade,pib_total,densidade_sintetica,3205.6963847710717,1842.4277209817021,1.7399306080039754,0.0818712033824025,0.09592876322955046,1321,*,+3205.6964*
2003,dummy,pib_total,dummy_sintetica,223841.58637734805,71725.27545306689,3.120818776413313,0.0018034898342118577,0.0628240005166133,1321,***,+223841.5864***
2003,densidade,pib_total,densidade_sintetica,3199.1196207764037,1499.4533152305607,2.1335239905648526,0.032881765790064854,0.11916874850390224,1321,**,+3199.1196**
