ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1858,dens_placebo_5km,7.339180360742696,6.300016204492345,1.164946267203147,0.24425413310379046,1.0430409137413776,0.14960948304488164,1319,
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1858,dens_placebo_10km,2.01167605501729,1.2366894827520316,1.626662216404286,0.10405083323520022,2.365922107318132,0.1500763977332329,1319,
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1858,dens_placebo_20km,1.6809538992709396,1.8416470679553978,0.9127448622048631,0.3615457178579713,1.7301236330104695,0.15098452897999404,1319,
1858,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1858,dens_placebo_50km,-0.08691392823205589,0.04768000936327633,-1.8228588750865045,0.06855400816481406,178.59970846078284,0.1518143706769267,1319,*
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1858,dens_placebo_5km,9.004559795484465,7.816253536315157,1.1520301578816894,0.24952016626597726,1.0430409137413776,0.19038590320747006,1319,
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1858,dens_placebo_10km,2.470517390574144,1.592621407234587,1.5512270394907774,0.12109030844228193,2.365922107318132,0.19083740345295053,1319,
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1858,dens_placebo_20km,1.9898249286208674,2.0893101327387127,0.9523837066795642,0.3410791856804334,1.7301236330104695,0.19153621654418296,1319,
1858,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1858,dens_placebo_50km,-0.08786664945744614,0.05428254127332769,-1.6186907870619602,0.10575600280660508,178.59970846078284,0.19145653939384344,1319,
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1858,dens_placebo_5km,4.332037087599783,4.817706776835827,0.8991906913946677,0.36871736228264806,1.0430409137413776,0.25626335521405874,1319,
1858,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1858,dens_placebo_10km,1.3770522673829488,1.1603985379984039,1.1867063101943023,0.2355599691262159,2.365922107318132,0.25655053954833584,1319,
