ano,subamostra,tipo_outcome,outcome_var,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
1863,Atendidos_Dummy1,contemporaneo,log(pib_1920),vizinhos_dens_real_1863,vizinhos_dens_sint_1863,2.213944374898199,3.462456414901617,0.6394143664509078,0.5429038124111378,20.400014826380385,17,,+2.2139
1863,Atendidos_Dummy1,contemporaneo,log(pop_total_1940),vizinhos_dens_real_1863,vizinhos_dens_sint_1863,-0.9396271099167691,1.5432843687669984,-0.6088489775008095,0.5618544931596872,20.400014826380385,17,,-0.9396
1863,Atendidos_Dummy1,persistencia,log(pib_2010),vizinhos_dens_real_1863,vizinhos_dens_sint_1863,12.82772661358087,2.8832885869910028,4.448991568675362,0.0029752560727821157,20.400014826380385,17,***,+12.8277***
1863,Atendidos_Dummy1,persistencia,log(pib_2003),vizinhos_dens_real_1863,vizinhos_dens_sint_1863,12.787091521319875,2.7257243739174264,4.691263593516682,0.00223120293167379,20.400014826380385,17,***,+12.7871***
1863,Atendidos_Dummy1,persistencia,log(pop_total_2010),vizinhos_dens_real_1863,vizinhos_dens_sint_1863,1.8063650105817786,2.1435522360634,0.8426969868945855,0.4272496145035337,20.400014826380385,17,,+1.8064
1863,Atendidos_Dummy1,persistencia,log(pop_total_2000),vizinhos_dens_real_1863,vizinhos_dens_sint_1863,1.230201482394742,2.157596883406242,0.5701720705364564,0.5863872134854949,20.400014826380385,17,,+1.2302
1873,Atendidos_Dummy1,contemporaneo,log(pib_1920),vizinhos_dens_real_1873,vizinhos_dens_sint_1873,3.8168844110802955,3.5754352759588315,1.067529997464914,0.3168848667569302,19.40479435470239,19,,+3.8169
1873,Atendidos_Dummy1,contemporaneo,log(pop_total_1940),vizinhos_dens_real_1873,vizinhos_dens_sint_1873,-0.7461039414238488,1.409311574022814,-0.5294102135939536,0.6108924841781459,19.40479435470239,19,,-0.7461
1873,Atendidos_Dummy1,persistencia,log(pib_2010),vizinhos_dens_real_1873,vizinhos_dens_sint_1873,15.629708096315284,4.7175428183030315,3.3131036003903227,0.01064886592018016,19.40479435470239,19,**,+15.6297**
1873,Atendidos_Dummy1,persistencia,log(pib_2003),vizinhos_dens_real_1873,vizinhos_dens_sint_1873,15.73229665506235,4.768048642544938,3.2995252008723766,0.010866541785026435,19.40479435470239,19,**,+15.7323**
