outcome_var,modelo_especificacao,controles_adicionados,coef_1st_estagio,F_stat_1st_estagio,coef_2nd_estagio,se_2nd_estagio,p_val_2nd_estagio,n_obs,sig_2nd_estagio,coef_final_formatado
adh_idhm_2010,1_Baseline,1,0.21521061639969027,33.62917061678306,0.050215897068581566,0.024547473932292695,0.041003120565058476,1232,**,0.0502**
adh_idhm_2010,2_Hidrografia,dist_rio_km + densidade_hidro_km_km2,0.2148719532966419,33.604239365868146,0.05320926935747641,0.024082855454228377,0.027330284962586417,1232,**,0.0532**
adh_idhm_2010,3_Clima,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15,0.16698283269003603,20.733291495843066,0.048971698962094246,0.03050448398396868,0.10866667832309759,1232,,0.0490
adh_idhm_2010,4_Full_Soil,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15 + pct_solo_latossolos + pct_solo_neossolos,0.1594610956226771,19.267677613803897,0.04999070371485807,0.03215084629324666,0.1202355366689004,1232,,0.0500
log(pib_2021),1_Baseline,1,0.21521061639969027,33.62917061678306,4.428445266537626,1.0529775981414953,2.7934290826371686e-5,1232,***,4.4284***
log(pib_2021),2_Hidrografia,dist_rio_km + densidade_hidro_km_km2,0.2148719532966419,33.604239365868146,4.433231483401709,1.0560461814081983,2.88887396175777e-5,1232,***,4.4332***
log(pib_2021),3_Clima,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15,0.16698283269003603,20.733291495843066,4.290151284490052,1.3520213488025403,0.0015457482714505645,1232,***,4.2902***
log(pib_2021),4_Full_Soil,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15 + pct_solo_latossolos + pct_solo_neossolos,0.1594610956226771,19.267677613803897,4.364501216100068,1.4243297337221543,0.0022303225226761245,1232,***,4.3645***
log(pibag_2010),1_Baseline,1,0.21521061639969027,33.62917061678306,2.9691291572507876,0.8949834452119183,9.349152119409081e-4,1232,***,2.9691***
log(pibag_2010),2_Hidrografia,dist_rio_km + densidade_hidro_km_km2,0.2148719532966419,33.604239365868146,2.9182745748836476,0.8874828489621429,0.0010368300304159353,1232,***,2.9183***
log(pibag_2010),3_Clima,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15,0.16698283269003603,20.733291495843066,2.221973067860077,1.0593814446230994,0.03616184484706937,1232,**,2.2220**
log(pibag_2010),4_Full_Soil,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15 + pct_solo_latossolos + pct_solo_neossolos,0.1594610956226771,19.267677613803897,2.0627730621432554,1.0934206434611826,0.05946197335383506,1232,*,2.0628*
log(pibi_2010),1_Baseline,1,0.21521061639969027,33.62917061678306,8.050784866647628,1.7542607125289107,4.906421403107344e-6,1232,***,8.0508***
log(pibi_2010),2_Hidrografia,dist_rio_km + densidade_hidro_km_km2,0.2148719532966419,33.604239365868146,8.054109992957711,1.7587985873856078,5.1423522148320334e-6,1232,***,8.0541***
log(pibi_2010),3_Clima,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15,0.16698283269003603,20.733291495843066,7.685127819179982,2.209360708986556,5.221506374155328e-4,1232,***,7.6851***
log(pibi_2010),4_Full_Soil,dist_rio_km + densidade_hidro_km_km2 + bio_1 + bio_12 + bio_15 + pct_solo_latossolos + pct_solo_neossolos,0.1594610956226771,19.267677613803897,7.8573870602519245,2.3462717301904763,8.363015361683837e-4,1232,***,7.8574***
log(pibse_2010),1_Baseline,1,0.21521061639969027,33.62917061678306,4.664838041578032,1.132014023518634,4.029489537818264e-5,1232,***,4.6648***
log(pibse_2010),2_Hidrografia,dist_rio_km + densidade_hidro_km_km2,0.2148719532966419,33.604239365868146,4.679091393533547,1.1367039331487472,4.107614091905578e-5,1232,***,4.6791***
