"especificacao","tratamento","outcome","n_obs","coef_ss","se_ss","t_stat","p_value","f_stat","r2_ss","erro"
"Amostra completa, sem FE","Distância até ferrovia (km)","População (2003)",1048,-0.00356677444415365,0.00140926239013761,-2.53095127572756,0.0113753649262835,334.475015987707,0.00466212258215881,NA
"Amostra completa, sem FE","Dummy atendimento (≤25km)","População (2003)",1048,0.739653753621297,0.201819707604468,3.66492332389506,0.000247412695323579,127.346967631984,0.0138114332847807,NA
"Amostra completa, sem FE","Densidade de ferrovias (km/1000km²)","População (2003)",1048,0.0228978101258399,0.0079707628882165,2.87272503861464,0.00406948131614104,29.1692935753887,0.0450274684994002,NA
"Amostra completa, sem FE","Distância até ferrovia (km)","População (2010)",1048,-0.00340165767528422,0.00135277271494613,-2.51458181976983,0.0119173646257917,334.475015987707,0.00413739867281926,NA
"Amostra completa, sem FE","Dummy atendimento (≤25km)","População (2010)",1048,0.767329883445413,0.204108272126973,3.75942569818075,0.000170303845616671,127.346967631984,0.014689400175249,NA
"Amostra completa, sem FE","Densidade de ferrovias (km/1000km²)","População (2010)",1048,0.0232342767819931,0.00806757296058988,2.87995868094315,0.00397727291677241,29.1692935753887,0.0455030246181359,NA
"Amostra completa, sem FE","Distância até ferrovia (km)","PIB Total (2003)",1048,-0.00367020642005378,0.00179802991782895,-2.04123768112013,0.0412272080003604,334.475015987707,0.00407503470791937,NA
"Amostra completa, sem FE","Dummy atendimento (≤25km)","PIB Total (2003)",1048,1.55378490867143,0.26373340730458,5.89149825405698,3.82709708368623e-09,127.346967631984,0.0427773877252822,NA
"Amostra completa, sem FE","Densidade de ferrovias (km/1000km²)","PIB Total (2003)",1048,0.0326065716954073,0.0109379177440886,2.98105841150887,0.00287253996420445,29.1692935753887,0.0613098164030952,NA
"Amostra completa, sem FE","Distância até ferrovia (km)","PIB Valor Adicionado (2003)",1048,-0.00351876365034309,0.00175967119753577,-1.99967110632415,0.0455357901536768,334.475015987707,0.00371718940996157,NA
"Amostra completa, sem FE","Dummy atendimento (≤25km)","PIB Valor Adicionado (2003)",1048,1.4987760069294,0.257354655675746,5.82377654289567,5.75324898832719e-09,127.346967631984,0.041416818787284,NA
"Amostra completa, sem FE","Densidade de ferrovias (km/1000km²)","PIB Valor Adicionado (2003)",1048,0.0317120093214407,0.0106672090746344,2.97284970225706,0.00295048890183214,29.1692935753887,0.0604333375805665,NA
"Amostra completa, sem FE","Distância até ferrovia (km)","PIB Agropecuária (2003)",1048,-0.000657999176633783,0.00269053148424491,-0.244561039514633,0.806796334020429,334.475015987707,0.0143799420834673,NA
"Amostra completa, sem FE","Dummy atendimento (≤25km)","PIB Agropecuária (2003)",1048,0.628840210048899,0.227317795874884,2.76634835222058,0.00566879437009526,127.346967631984,0.0220353705608985,NA
"Amostra completa, sem FE","Densidade de ferrovias (km/1000km²)","PIB Agropecuária (2003)",1048,0.0145495628622193,0.00656066366421596,2.21769680734854,0.026575512091441,29.1692935753887,0.0278415708882709,NA
"Amostra completa, sem FE","Distância até ferrovia (km)","PIB Indústria (2003)",1048,-0.00715421004138872,0.00268108761990645,-2.66839844705946,0.00762138146382418,334.475015987707,0.0138976251340964,NA
"Amostra completa, sem FE","Dummy atendimento (≤25km)","PIB Indústria (2003)",1048,2.84060624111521,0.430739650496721,6.5947173375831,4.26065849268298e-11,127.346967631984,0.0641619882802296,NA
"Amostra completa, sem FE","Densidade de ferrovias (km/1000km²)","PIB Indústria (2003)",1048,0.0528659943790336,0.0171600751830424,3.08075540550521,0.00206476186787441,29.1692935753887,0.0713909062477798,NA
"Amostra completa + FE Estado","Distância até ferrovia (km)","População (2003)",1048,-0.00441497070040436,0.00145929931346398,-3.02540449356097,0.00248300809977331,310.252036343356,0.171574564306772,NA
"Amostra completa + FE Estado","Dummy atendimento (≤25km)","População (2003)",1048,0.755938795954235,0.193730840635195,3.90200544980706,9.53990092424917e-05,123.523217818321,0.178489236107507,NA
"Amostra completa + FE Estado","Densidade de ferrovias (km/1000km²)","População (2003)",1048,0.0210154899133037,0.00677423717154286,3.1022666288664,0.00192044901390909,32.0296815041895,0.203952687174924,NA
"Amostra completa + FE Estado","Distância até ferrovia (km)","População (2010)",1048,-0.00432073479079317,0.00140950048558057,-3.06543689413024,0.00217352239876867,310.252036343356,0.170073640859609,NA
"Amostra completa + FE Estado","Dummy atendimento (≤25km)","População (2010)",1048,0.7974975190213,0.196178173020868,4.06516946682172,4.79975732445848e-05,123.523217818321,0.178767210844026,NA
"Amostra completa + FE Estado","Densidade de ferrovias (km/1000km²)","População (2010)",1048,0.0214742636805883,0.00689336594190809,3.11520726761885,0.00183815697884615,32.0296815041895,0.203834208421722,NA
"Amostra completa + FE Estado","Distância até ferrovia (km)","PIB Total (2003)",1048,-0.00328770538080354,0.00163103808108329,-2.0157134397622,0.0438299494283827,310.252036343356,0.107389969242993,NA
"Amostra completa + FE Estado","Dummy atendimento (≤25km)","PIB Total (2003)",1048,1.49325309159704,0.26161492089714,5.70782846206296,1.14426654818089e-08,123.523217818321,0.141773284026204,NA
"Amostra completa + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Total (2003)",1048,0.0302860845997439,0.00948284792929532,3.19377520609408,0.0014042541814252,32.0296815041895,0.159097820431693,NA
"Amostra completa + FE Estado","Distância até ferrovia (km)","PIB Valor Adicionado (2003)",1048,-0.00315963694615971,0.00161191981651312,-1.96017004927366,0.0499759179281447,310.252036343356,0.108538300415081,NA
"Amostra completa + FE Estado","Dummy atendimento (≤25km)","PIB Valor Adicionado (2003)",1048,1.4430678321235,0.255129836867714,5.65620959837691,1.54752468617403e-08,123.523217818321,0.142144833153858,NA
"Amostra completa + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Valor Adicionado (2003)",1048,0.0294049695233827,0.00923769685173024,3.18314943598469,0.00145682405736203,32.0296815041895,0.159561170096458,NA
